delta_time,direction,length
0.0,1,566
9.298324584960938e-05,1,102
0.12320613861083984,-1,66
0.16620492935180664,-1,1116
0.16636896133422852,1,66
2.0032670497894287,1,566
2.0033090114593506,1,102
2.0458030700683594,1,602
2.1271181106567383,-1,66
2.1622400283813477,-1,66
2.1703031063079834,-1,602
2.1704399585723877,1,66
2.2877731323242188,-1,602
2.2879791259765625,1,66
2.2906899452209473,1,1116
2.4474639892578125,-1,66
2.4765000343322754,-1,1440
2.4767119884490967,1,66
2.476823091506958,-1,1440
2.476891040802002,1,66
2.476928949356079,1,66
2.4771311283111572,-1,424
2.4771840572357178,1,66
2.5088679790496826,-1,1440
2.5090630054473877,1,66
2.5098791122436523,-1,1440
2.509948968887329,1,66
2.5939059257507324,-1,424
2.5940511226654053,1,66
2.5987391471862793,1,602
2.7150280475616455,-1,66
2.715193033218384,1,1116
2.8321759700775146,-1,66
2.898648977279663,-1,602
2.898815155029297,1,66
2.9002809524536133,1,602
3.0068359375,1,566
3.006930112838745,1,102
3.017730951309204,-1,66
3.129112958908081,-1,66
3.16817307472229,-1,602
3.1683640480041504,1,66
3.3291001319885254,-1,1440
3.3292651176452637,1,66
3.33010196685791,-1,256
3.330165147781372,1,66
3.3491740226745605,-1,1440
3.349295139312744,1,66
3.349848985671997,-1,1440
3.3498950004577637,1,66
3.3660099506378174,-1,1440
3.3660781383514404,1,66
3.367341995239258,-1,1440
3.367406129837036,1,66
3.437727928161621,-1,1440
3.4379501342773438,1,66
3.445708990097046,-1,458
3.4458420276641846,1,66
3.4460151195526123,1,602
3.4472219944000244,-1,1440
3.4475579261779785,-1,1440
3.4476170539855957,1,66
3.4495179653167725,1,566
3.4495201110839844,1,566
3.4495389461517334,1,116
3.4594340324401855,-1,1440
3.4597229957580566,-1,1440
3.4598331451416016,1,66
3.4628350734710693,-1,1440
3.4631130695343018,-1,1440
3.463170051574707,1,66
3.465001106262207,-1,1440
3.4747159481048584,-1,1440
3.4747180938720703,-1,1440
3.4748151302337646,1,66
3.4766900539398193,-1,1440
3.4816009998321533,-1,1440
3.4816999435424805,1,1116
3.4826271533966064,-1,1440
3.482628107070923,-1,1440
3.4826841354370117,1,66
3.484555959701538,-1,1440
3.48464298248291,1,66
3.5244300365448,-1,1440
3.5246529579162598,1,66
3.5248279571533203,1,66
3.5248780250549316,-1,1440
3.5249359607696533,1,66
3.525006055831909,1,66
3.5255119800567627,-1,424
3.5255589485168457,1,66
3.539731979370117,-1,1440
3.539876937866211,1,66
3.5400540828704834,1,66
3.5404341220855713,-1,1440
3.540476083755493,1,66
3.540511131286621,1,66
3.553126096725464,-1,1440
3.553389072418213,-1,1440
3.5534939765930176,1,602
3.5546090602874756,-1,1440
3.554664134979248,1,66
3.5547709465026855,1,66
3.5549309253692627,-1,1440
3.5549559593200684,1,66
3.5549890995025635,1,66
3.557429075241089,-1,1440
3.5574700832366943,1,66
3.557539939880371,1,66
3.5588841438293457,1,566
3.5589020252227783,1,102
3.5605509281158447,-1,1440
3.5605521202087402,-1,1440
3.560631036758423,1,66
3.5624160766601562,-1,66
3.5641541481018066,-1,1440
3.5641560554504395,-1,1440
3.5641579627990723,-1,1440
3.564160108566284,-1,1440
3.5642740726470947,1,66
3.5695130825042725,-1,1440
3.569559097290039,1,66
3.5696239471435547,1,66
3.5702669620513916,-1,1440
3.5703001022338867,1,66
3.5703461170196533,1,66
3.5709640979766846,-1,66
3.5753259658813477,-1,1440
3.5753281116485596,-1,1440
3.5754470825195312,1,66
3.575688123703003,-1,1440
3.5764429569244385,-1,1440
3.5764949321746826,1,602
3.5786170959472656,-1,1440
3.578618049621582,-1,1440
3.5786690711975098,1,66
3.578953981399536,-1,1440
3.580915927886963,-1,1440
3.5810019969940186,1,66
3.5878989696502686,1,566
3.587913990020752,1,102
3.5908091068267822,-1,1440
3.590811014175415,-1,1440
3.5908761024475098,1,66
3.591939926147461,-1,1440
3.5919411182403564,-1,1440
3.5919430255889893,-1,1440
3.592057943344116,1,66
3.5927021503448486,-1,1440
3.592769145965576,1,66
3.5966391563415527,-1,1440
3.596708059310913,1,66
3.5974979400634766,-1,1440
3.5975000858306885,-1,1440
3.5975749492645264,1,602
3.5999269485473633,-1,1440
3.599928140640259,-1,1440
3.599929094314575,-1,1440
3.5999300479888916,-1,1440
3.5999319553375244,-1,1440
3.59993314743042,-1,1440
3.600024938583374,1,66
3.601994037628174,-1,1440
3.6020491123199463,1,66
3.6140029430389404,1,566
3.614021062850952,1,102
3.6151490211486816,1,566
3.615149974822998,1,566
3.6151509284973145,1,566
3.6151509284973145,1,566
3.61515212059021,1,566
3.6151530742645264,1,566
3.6151540279388428,1,566
3.615154981613159,1,566
