delta_time,direction,length
0.0,-1,602
0.0008060932159423828,1,66
1.621683120727539,1,590
1.7205390930175781,1,602
1.7314579486846924,-1,56
1.7315731048583984,1,590
1.7933800220489502,-1,590
1.7935049533843994,1,54
1.8599450588226318,-1,56
1.8599469661712646,-1,602
1.8601760864257812,1,1104
1.8601789474487305,1,66
1.8610849380493164,1,602
2.1480259895324707,-1,590
2.148029088973999,-1,56
2.1481709480285645,1,54
2.1490530967712402,1,590
2.150428056716919,-1,66
2.1504290103912354,-1,602
2.1504299640655518,-1,1440
2.150430917739868,-1,1440
2.15043306350708,-1,1440
2.1504340171813965,-1,1440
2.150567054748535,1,66
2.150660991668701,1,54
2.1513190269470215,1,602
2.1514899730682373,1,54
2.2696571350097656,-1,744
2.269663095474243,-1,56
2.269861936569214,1,54
2.275315999984741,1,590
2.3016791343688965,-1,66
2.3456690311431885,-1,602
2.3458199501037598,1,66
2.3467419147491455,1,602
2.3771169185638428,-1,590
2.377295970916748,1,1104
2.3816139698028564,-1,56
2.672029972076416,-1,1104
2.672032117843628,-1,66
2.6723580360412598,1,590
2.672938108444214,-1,602
2.6730411052703857,1,66
2.6733150482177734,1,602
3.3634870052337646,1,602
3.3720059394836426,-1,56
3.3720080852508545,-1,66
3.372009038925171,-1,590
3.3720099925994873,-1,1440
3.37201189994812,-1,1440
3.3720130920410156,-1,1440
3.372014045715332,-1,1440
3.3720149993896484,-1,1440
3.3720169067382812,-1,1440
3.3720180988311768,-1,1440
3.372019052505493,-1,1440
3.372020959854126,-1,1440
3.3720219135284424,-1,1440
3.372023105621338,-1,1440
3.3720250129699707,-1,1440
3.372025966644287,-1,1440
3.372028112411499,-1,1440
3.3720290660858154,-1,1354
3.372030019760132,-1,1354
3.3720319271087646,-1,1354
3.37203311920166,-1,272
3.3720340728759766,-1,1354
3.372035026550293,-1,1354
3.3720359802246094,-1,1354
3.3720381259918213,-1,1354
3.3720390796661377,-1,1354
3.3720409870147705,-1,1354
3.372246026992798,1,590
3.3723621368408203,1,54
3.3723649978637695,1,66
3.373526096343994,1,1104
3.373718023300171,1,66
3.4168341159820557,-1,1440
3.416914939880371,1,54
3.6555991172790527,-1,1354
3.655761957168579,1,66
3.6573739051818848,-1,1440
3.6573760509490967,-1,1440
3.6573779582977295,-1,1440
3.657378911972046,-1,1440
3.6573801040649414,-1,1440
3.657382011413574,-1,1440
3.6573829650878906,-1,1440
3.6573851108551025,-1,1440
3.657386064529419,-1,1440
3.6573870182037354,-1,1440
3.657388925552368,-1,1440
3.6573901176452637,-1,1440
3.6573920249938965,-1,1440
3.657392978668213,-1,1440
3.6573939323425293,-1,1288
3.657396078109741,-1,1440
3.6573970317840576,-1,1440
3.6573989391326904,-1,1440
3.657400131225586,-1,1440
3.6574010848999023,-1,1440
3.657402992248535,-1,1440
3.6574039459228516,-1,1440
3.6574060916900635,-1,1440
3.65740704536438,-1,1440
3.6574079990386963,-1,1440
3.6574089527130127,-1,1440
3.6574110984802246,-1,1354
3.657412052154541,-1,1354
3.6574130058288574,-1,1354
3.6574149131774902,-1,1354
3.6574161052703857,-1,1354
3.657417058944702,-1,1354
3.657418966293335,-1,1354
3.6574199199676514,-1,1354
3.6575980186462402,1,54
3.6576619148254395,-1,1354
3.657663106918335,-1,1354
3.6576650142669678,-1,1354
3.657665967941284,-1,1354
3.6576669216156006,-1,1440
3.6576690673828125,-1,1440
3.657670021057129,-1,1440
3.6576709747314453,-1,1440
3.6576731204986572,-1,1440
3.657755136489868,1,54
3.657757043838501,1,66
3.657778024673462,1,54
3.657987117767334,1,590
3.658143997192383,1,66
3.6742630004882812,1,1440
3.6743860244750977,1,746
3.6744449138641357,1,602
3.6746909618377686,1,54
3.69348406791687,1,1440
3.6935060024261475,1,254
3.768738031387329,-1,1440
3.7687411308288574,-1,1440
3.768742084503174,-1,1440
3.7687430381774902,-1,1440
3.768744945526123,-1,1440
3.7687461376190186,-1,1440
3.7687480449676514,-1,1440
3.7687489986419678,-1,1440
3.768749952316284,-1,1440
3.768752098083496,-1,1440
3.7687530517578125,-1,1440
3.7687549591064453,-1,1440
3.7687559127807617,-1,1440
3.7687571048736572,-1,1440
3.76875901222229,-1,1440
3.768760919570923,-1,1440
3.7687621116638184,-1,1440
3.7687630653381348,-1,1440
3.768764019012451,-1,1440
3.768765926361084,-1,212
3.769010066986084,1,54
3.7693231105804443,1,590
3.775270938873291,-1,1354
3.7753961086273193,1,66
3.776210069656372,-1,1354
3.7763071060180664,1,66
3.7781450748443604,-1,1354
3.778146982192993,-1,1354
3.778149127960205,-1,1354
3.7781500816345215,-1,1354
3.778151035308838,-1,1354
3.7781519889831543,-1,1354
3.778154134750366,-1,1354
3.778156042098999,-1,1354
3.7781569957733154,-1,1354
3.778157949447632,-1,1354
3.7781600952148438,-1,1354
3.77816104888916,-1,1354
3.7781620025634766,-1,1354
3.778162956237793,-1,1354
3.7782819271087646,1,66
3.778365135192871,1,66
3.7786030769348145,1,602
3.7801060676574707,-1,56
3.800478935241699,-1,66
3.800481081008911,-1,56
3.800602912902832,1,590
3.813408136367798,-1,1440
3.8135340213775635,1,54
3.818531036376953,-1,1440
3.818639039993286,1,590
3.8191781044006348,-1,1440
3.8192639350891113,1,54
3.8198740482330322,-1,1440
3.819993019104004,1,54
3.831758975982666,-1,66
3.8346989154815674,-1,1440
3.8347020149230957,-1,1440
3.834959030151367,-1,1440
3.8350110054016113,1,54
3.8755760192871094,-1,250
3.8758280277252197,1,590
3.9087040424346924,-1,1354
3.90877103805542,-1,1354
3.9087719917297363,-1,1354
3.9087741374969482,-1,1354
3.908812999725342,-1,1354
3.908813953399658,-1,1354
3.90881609916687,-1,1354
3.908864974975586,1,66
3.9089059829711914,1,66
3.908921003341675,1,66
3.909104108810425,1,66
3.909351110458374,-1,1354
3.9093539714813232,-1,1354
3.909356117248535,-1,1354
3.9093570709228516,-1,1354
3.909358024597168,-1,1354
3.909359931945801,-1,56
3.9095029830932617,1,602
3.909614086151123,1,66
3.950735092163086,-1,140
3.9509029388427734,1,66
3.9691081047058105,1,1440
3.9691340923309326,1,768
3.994252920150757,-1,56
3.9952750205993652,-1,1104
3.9953811168670654,1,54
4.008162975311279,-1,1354
4.061790943145752,-1,856
4.06193995475769,1,602
4.067038059234619,1,1440
4.067039966583252,1,1440
4.067107915878296,1,410
4.130734920501709,1,1440
4.180790901184082,-1,56
4.181924104690552,-1,1126
4.181926012039185,-1,56
4.182064056396484,1,54
4.183214902877808,1,590
4.1928839683532715,-1,1440
4.1930460929870605,1,590
4.211913108825684,-1,66
4.254844903945923,-1,1440
4.254848003387451,-1,1440
4.254849910736084,-1,1440
4.255213975906372,1,54
4.256185054779053,-1,1440
4.257055044174194,-1,1440
4.257056951522827,-1,1440
4.257220983505249,1,54
4.260065078735352,1,1440
4.260067939758301,1,1440
4.260129928588867,1,1438
4.273993968963623,-1,1440
4.273997068405151,-1,1440
4.273998022079468,-1,1440
4.274202108383179,1,54
4.277249097824097,-1,1440
4.2772510051727295,-1,1440
4.277251958847046,-1,1440
4.277527093887329,1,590
4.285506963729858,-1,66
4.287719011306763,-1,158
4.287867069244385,1,54
4.377075910568237,-1,56
4.3771350383758545,-1,1440
4.377655982971191,-1,56
4.377912998199463,-1,56
4.377913951873779,-1,56
