delta_time,direction,length
0.0,1,78
0.004530906677246094,1,78
0.11285996437072754,-1,66
0.11304306983947754,1,54
0.1139678955078125,1,571
0.12245702743530273,-1,74
0.12260103225708008,1,66
0.12315607070922852,1,583
0.2235419750213623,-1,56
0.22522902488708496,-1,1221
0.2253398895263672,1,54
0.22712206840515137,1,134
0.2439100742340088,-1,1236
0.24405908584594727,1,66
0.24612188339233398,1,146
0.33589696884155273,-1,133
0.3360569477081299,1,87
0.3639349937438965,-1,145
0.36409592628479004,1,99
0.4446570873260498,-1,133
0.44481587409973145,1,54
0.4464230537414551,-1,1436
0.4465210437774658,1,54
0.48218297958374023,-1,145
0.48218393325805664,-1,1354
0.4822869300842285,1,66
0.5543780326843262,-1,718
0.5544509887695312,1,54
0.5552029609680176,1,1436
0.5552239418029785,1,1264
0.6001760959625244,-1,827
0.6002810001373291,1,66
0.6011500358581543,1,1354
0.6011650562286377,1,856
0.664409875869751,-1,56
0.6661179065704346,-1,1436
0.6661200523376465,-1,750
0.6662089824676514,1,54
0.6671650409698486,1,1436
0.6671888828277588,1,750
0.7295150756835938,-1,66
0.786841869354248,-1,1354
0.7868430614471436,-1,342
0.78684401512146,-1,56
0.7873899936676025,1,66
0.7890050411224365,1,1354
0.7890069484710693,1,342
0.7999138832092285,-1,590
0.8000988960266113,1,54
0.8011939525604248,1,590
0.8251199722290039,-1,1436
0.8251669406890869,1,54
0.9073290824890137,-1,66
0.9092469215393066,-1,280
0.9093389511108398,1,1104
0.9328348636627197,-1,602
0.9329419136047363,1,66
0.933366060256958,1,602
0.9519999027252197,-1,56
1.0179128646850586,-1,590
1.0180389881134033,1,1126
1.050778865814209,-1,1138
1.0508558750152588,1,66
1.0935730934143066,-1,66
1.0937058925628662,1,1116
1.1266839504241943,-1,1126
1.1268320083618164,1,590
1.1684579849243164,-1,602
1.1685750484466553,1,66
1.2353599071502686,-1,1126
1.235464096069336,1,1104
1.241792917251587,-1,66
1.2418639659881592,1,602
1.2862999439239502,-1,1138
1.286417007446289,1,66
1.3446149826049805,-1,590
1.3447608947753906,1,1126
1.3923580646514893,-1,66
1.3924980163574219,1,1116
1.4304258823394775,-1,602
1.4305930137634277,1,66
1.4537110328674316,-1,1126
1.4538719654083252,1,590
1.542752981185913,-1,66
1.5428729057312012,1,602
1.5625920295715332,-1,590
1.562741994857788,1,1104
1.5676929950714111,-1,602
1.5677919387817383,1,66
1.6853530406951904,-1,602
1.6855008602142334,1,602
1.7118260860443115,-1,56
1.7119929790496826,1,1104
1.8219358921051025,-1,56
1.841749906539917,-1,66
1.8419039249420166,1,602
1.859786033630371,-1,1436
1.8597888946533203,-1,1436
1.8597900867462158,-1,910
1.8599388599395752,1,54
1.8601288795471191,1,54
1.8741159439086914,-1,1436
1.8742499351501465,1,54
1.9685490131378174,-1,1264
1.9686908721923828,1,54
1.9740040302276611,1,590
1.9917218685150146,-1,66
2.007981061935425,1,1436
2.0080230236053467,1,258
2.1165049076080322,-1,66
2.1165058612823486,-1,56
2.1165850162506104,1,1436
2.118155002593994,-1,590
2.118227005004883,1,54
2.118489980697632,1,590
2.225602865219116,-1,66
2.2268319129943848,-1,1126
2.226835012435913,-1,56
2.226975917816162,1,54
2.3355538845062256,-1,590
2.335681915283203,1,54
2.336150884628296,1,590
2.4453048706054688,-1,56
2.511664867401123,-1,590
2.5117950439453125,1,54
2.570549964904785,-1,1436
2.570551872253418,-1,1436
2.5706839561462402,1,54
2.570842981338501,1,54
2.5858609676361084,-1,1436
2.5858640670776367,-1,1436
2.5858659744262695,-1,1436
2.58611798286438,1,54
2.6206700801849365,-1,384
2.6207709312438965,1,54
2.660573959350586,-1,1436
2.6605770587921143,-1,1436
2.6605780124664307,-1,1436
2.6605799198150635,-1,1436
2.660796880722046,1,54
2.660928964614868,1,590
