delta_time,direction,length
0.0,0,590
0.04768109321594238,0,54
2.4590890407562256,-1,590
2.5113511085510254,1,54
4.1551148891448975,0,590
4.169116973876953,0,56
8.08960509300232,-1,590
8.1316659450531,1,54
9.297991037368774,0,590
9.312515020370483,0,56
9.624667882919312,0,590
9.62910509109497,0,1104
9.641509056091309,0,56
9.932580947875977,0,1440
9.93323802947998,0,1440
9.93323802947998,0,902
9.93323802947998,0,1440
9.933625936508179,0,54
9.946635961532593,0,746
9.9863440990448,0,54
9.990859985351562,0,1440
9.998687982559204,0,232
9.99901795387268,0,54
10.009407997131348,0,590
10.022593975067139,0,56
10.02283787727356,0,590
10.034895896911621,0,56
10.153218030929565,1,590
10.153318881988525,0,590
10.166429996490479,0,56
10.168209075927734,0,590
10.16901707649231,0,590
10.221345901489258,0,56
10.251041889190674,-1,590
10.251832962036133,1,590
10.291660070419312,0,590
10.337263107299805,0,54
10.35300898551941,0,590
10.356307983398438,0,590
10.368474960327148,0,56
10.387760877609253,-1,56
10.412573099136353,-1,590
10.41577410697937,1,590
10.422455072402954,0,590
10.463944911956787,0,54
10.528141021728516,0,590
10.540050029754639,0,590
10.540241003036499,0,56
10.540837049484253,0,590
10.546008110046387,-1,590
10.547239065170288,1,590
10.552680015563965,0,56
10.750967979431152,0,590
10.751703023910522,-1,56
10.751703023910522,-1,590
10.752602100372314,1,590
10.755069971084595,0,1104
10.767189979553223,0,590
10.76803207397461,0,590
10.82183289527893,0,56
10.887871026992798,-1,56
10.907593965530396,0,1440
10.907593965530396,0,1440
10.907947063446045,0,54
10.908180952072144,0,902
10.961520910263062,0,54
10.993886947631836,0,1440
10.994400978088379,0,1260
10.99468994140625,0,54
11.003665924072266,0,590
11.015852928161621,0,56
11.016098022460938,0,1126
11.028645038604736,0,56
11.263066053390503,0,590
11.314857959747314,0,54
11.328636884689331,0,1104
11.329504013061523,0,590
11.341460943222046,0,56
11.347179889678955,0,590
11.360368013381958,0,56
11.434926986694336,0,1440
11.43538498878479,0,1440
11.435694932937622,0,54
11.435960054397583,0,902
11.466202974319458,0,1440
11.466202974319458,0,1440
11.466612100601196,0,54
11.46870493888855,0,1440
11.46870493888855,0,1440
11.46870493888855,0,1440
11.46915888786316,0,54
11.479315996170044,0,364
11.519663095474243,0,1440
11.519987106323242,0,54
11.52035403251648,0,1440
11.52035403251648,0,1440
11.52035403251648,0,1440
11.52035403251648,0,1440
11.52035403251648,0,1440
11.52035403251648,0,1440
11.52035403251648,0,1440
11.520943880081177,0,54
11.521600008010864,0,590
11.53191590309143,0,340
11.537100076675415,0,56
11.551110029220581,-1,590
11.551110029220581,-1,590
11.551462888717651,1,54
11.551697015762329,-1,590
11.551697015762329,-1,590
11.55195689201355,1,54
11.552079916000366,-1,590
11.552079916000366,-1,590
11.5522940158844,1,54
11.552445888519287,0,1440
11.552445888519287,0,1440
11.55276608467102,0,54
11.552989959716797,-1,458
11.557955026626587,0,1440
11.557955026626587,0,1440
11.558393955230713,0,54
11.55864691734314,0,1440
11.55864691734314,0,1440
11.55864691734314,0,1440
11.55864691734314,0,1440
11.55864691734314,0,1440
11.559287071228027,0,54
11.559823036193848,0,590
11.56463098526001,0,518
11.571062088012695,-1,590
11.571062088012695,-1,590
11.571301937103271,1,54
11.571417093276978,-1,546
11.57152509689331,1,54
11.605556964874268,0,1440
11.6058030128479,0,54
11.617661952972412,0,1260
11.639059066772461,1,590
11.645236015319824,-1,590
11.645236015319824,-1,590
11.645437955856323,1,590
11.645586967468262,-1,590
11.645586967468262,-1,590
11.645586967468262,-1,590
11.645586967468262,-1,590
11.645724058151245,1,54
11.646569967269897,-1,590
11.646569967269897,-1,590
11.646569967269897,-1,590
11.646569967269897,-1,590
11.646711111068726,1,54
11.647151947021484,-1,590
11.647151947021484,-1,590
11.647248983383179,1,54
11.664655923843384,-1,590
11.664655923843384,-1,590
11.6647789478302,1,54
11.665045022964478,-1,590
11.665045022964478,-1,590
11.665129899978638,1,54
11.665433883666992,0,54
11.66560697555542,-1,590
11.66560697555542,-1,590
11.665802955627441,1,54
11.740323066711426,-1,590
11.740323066711426,-1,590
11.740323066711426,-1,590
11.740323066711426,-1,590
11.74055290222168,1,54
11.740710020065308,-1,590
11.740710020065308,-1,590
11.740710020065308,-1,590
11.740710020065308,-1,590
11.740930080413818,1,54
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741087913513184,-1,590
11.741228103637695,1,590
11.741365909576416,1,54
11.741759061813354,-1,590
11.741759061813354,-1,590
11.741889953613281,1,54
11.758296012878418,-1,590
11.758296012878418,-1,590
11.758532047271729,1,54
11.758972883224487,-1,590
11.758972883224487,-1,590
11.758972883224487,-1,590
11.758972883224487,-1,590
11.759253025054932,1,54
11.759890079498291,-1,590
11.759890079498291,-1,590
11.760092973709106,1,54
11.7604660987854,-1,590
11.7604660987854,-1,590
11.76065993309021,1,54
11.761528968811035,-1,590
11.761528968811035,-1,590
11.761770009994507,1,54
11.768342018127441,0,590
11.807960987091064,0,54
11.834821939468384,-1,590
11.834821939468384,-1,590
11.834821939468384,-1,590
11.834821939468384,-1,590
11.835139989852905,1,1104
11.83533000946045,-1,590
11.83533000946045,-1,590
11.83533000946045,-1,590
11.83533000946045,-1,590
11.83533000946045,-1,590
11.83533000946045,-1,590
11.835695028305054,1,54
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.835954904556274,-1,590
11.836406946182251,1,590
11.836822032928467,-1,590
11.836822032928467,-1,590
11.83697509765625,1,54
11.852159976959229,-1,590
11.852159976959229,-1,590
11.85230302810669,1,54
11.852477073669434,-1,590
11.852477073669434,-1,590
11.85257601737976,1,54
11.853285074234009,-1,166
11.891202926635742,0,590
11.903394937515259,1,54
11.9307279586792,-1,56
11.930810928344727,1,1104
11.935365915298462,0,54
11.97000002861023,-1,56
11.9755539894104,0,1440
11.97586703300476,0,1440
11.97595500946045,0,54
11.976170063018799,0,902
12.024422883987427,-1,56
12.030598878860474,0,54
12.066555976867676,0,590
12.076049089431763,1,590
12.07834792137146,1,1440
12.07834792137146,1,232
12.110857009887695,0,54
12.15114688873291,0,1440
12.151478052139282,0,1440
12.15157699584961,0,54
12.151813983917236,0,1352
12.162792921066284,0,590
12.173085927963257,-1,56
12.173187971115112,1,590
12.174643993377686,0,140
12.222052097320557,0,54
12.235120058059692,0,590
12.236502885818481,0,590
12.268929958343506,-1,590
12.269254922866821,1,1126
12.273660898208618,0,1104
12.285111904144287,0,1440
12.285413980484009,0,54
12.285712003707886,0,1440
12.285712003707886,0,1440
12.285712003707886,0,1440
12.285712003707886,0,1440
12.286223888397217,0,54
12.297698020935059,0,1414
12.29848599433899,0,590
12.341140031814575,0,590
12.342390060424805,0,590
12.359652996063232,0,1440
12.35988187789917,0,1440
12.360009908676147,0,54
12.36064100265503,0,1352
12.36064100265503,0,1440
12.360821962356567,0,54
12.364516973495483,-1,56
12.36464810371399,1,590
12.369061946868896,0,1440
12.369319915771484,0,1440
12.3694589138031,0,54
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.370496034622192,0,1440
12.37095308303833,0,54
12.371354103088379,0,590
12.372869968414307,0,402
12.413579940795898,0,54
12.423533916473389,0,56
12.432367086410522,0,1104
12.453902959823608,0,1440
12.454143047332764,0,54
12.454284906387329,0,1440
12.454284906387329,0,1440
12.454284906387329,0,1440
12.454449892044067,0,54
12.466012954711914,0,230
12.466191053390503,0,54
12.468695878982544,1,1440
12.468695878982544,1,254
12.478436946868896,1,1440
12.478436946868896,1,768
12.493866920471191,1,1440
12.493866920471191,1,1440
12.493866920471191,1,388
12.501054048538208,-1,56
12.5344979763031,1,1440
12.5344979763031,1,276
12.546597003936768,0,590
12.547389030456543,0,590
12.559293985366821,0,56
12.565628051757812,-1,56
12.56571888923645,1,590
12.573720932006836,-1,56
12.588913917541504,-1,56
12.605159044265747,-1,590
12.605159044265747,-1,568
12.605369091033936,1,54
12.615403890609741,-1,590
12.615403890609741,-1,590
12.615700960159302,1,1104
12.615812063217163,-1,590
12.615812063217163,-1,590
12.61589503288269,1,590
12.616148948669434,-1,590
12.616148948669434,-1,480
12.61624789237976,1,54
12.621541023254395,1,1440
12.621541023254395,1,1440
12.621541023254395,1,410
12.628489017486572,-1,66
12.628489017486572,-1,56
12.640095949172974,-1,590
12.640095949172974,-1,590
12.640281915664673,1,54
12.642003059387207,-1,546
12.64209508895874,1,54
12.645742893218994,1,1440
12.645742893218994,1,768
12.664829015731812,-1,590
12.664829015731812,-1,568
12.664952993392944,1,1104
12.66697907447815,-1,590
12.66697907447815,-1,590
12.66697907447815,-1,590
12.66697907447815,-1,590
12.667172908782959,1,1104
12.667339086532593,-1,590
12.667339086532593,-1,590
12.667510032653809,1,54
12.667849063873291,-1,590
12.667849063873291,-1,372
12.667923927307129,1,54
12.668471097946167,-1,590
12.668471097946167,-1,118
12.66863203048706,1,54
12.672331094741821,-1,590
12.672331094741821,-1,590
12.672597885131836,1,1104
12.672952890396118,-1,590
12.672952890396118,-1,590
12.673032999038696,1,54
12.674315929412842,-1,590
12.674315929412842,-1,480
12.674393892288208,1,54
12.683211088180542,-1,590
12.683211088180542,-1,590
12.683211088180542,-1,590
12.683211088180542,-1,590
12.683211088180542,-1,590
12.683211088180542,-1,590
12.683211088180542,-1,458
12.683372020721436,1,54
12.691823959350586,-1,590
12.691823959350586,-1,590
12.691823959350586,-1,590
12.691823959350586,-1,590
12.691992998123169,1,54
12.692713975906372,-1,590
12.692713975906372,-1,590
12.692818880081177,1,54
12.69362497329712,-1,590
12.69362497329712,-1,372
12.693717002868652,1,54
12.69524598121643,1,1440
12.69524598121643,1,254
12.701170921325684,1,1440
12.701170921325684,1,746
12.710031986236572,-1,140
12.715517044067383,-1,56
12.715517044067383,-1,56
12.715583086013794,1,1104
12.721750974655151,-1,590
12.739316940307617,-1,56
12.739402055740356,1,1104
12.754992008209229,-1,590
12.758912086486816,-1,56
12.759011030197144,1,1104
12.760749101638794,-1,56
12.766585111618042,-1,56
12.773607015609741,-1,590
12.773607015609741,-1,590
12.773607015609741,-1,590
12.773607015609741,-1,590
12.77375602722168,1,54
12.773860931396484,-1,590
12.773860931396484,-1,590
12.77396011352539,1,54
12.774050951004028,-1,590
12.774050951004028,-1,372
12.774144887924194,1,54
12.775039911270142,-1,590
12.775039911270142,-1,590
12.775039911270142,-1,590
12.775039911270142,-1,590
12.775039911270142,-1,590
12.775039911270142,-1,590
12.775178909301758,1,54
12.776813983917236,-1,590
12.776813983917236,-1,372
12.77694296836853,1,54
12.785454988479614,-1,590
12.785454988479614,-1,590
12.78560495376587,1,590
12.785803079605103,-1,590
12.785803079605103,-1,590
12.785803079605103,-1,590
12.785803079605103,-1,590
12.785996913909912,1,54
12.787122964859009,-1,590
12.787122964859009,-1,522
12.787233114242554,1,54
12.790118932723999,-1,140
12.791064023971558,-1,590
12.791064023971558,-1,590
12.791064023971558,-1,590
12.791064023971558,-1,590
12.791181087493896,1,54
12.79206895828247,-1,590
12.79206895828247,-1,590
12.79217004776001,1,54
12.79232406616211,-1,458
12.792430877685547,1,54
12.793615102767944,-1,590
12.793615102767944,-1,590
12.793615102767944,-1,590
12.793615102767944,-1,590
12.7937490940094,1,54
12.793992042541504,-1,590
12.793992042541504,-1,590
12.794089078903198,1,54
12.794790029525757,-1,590
12.794790029525757,-1,372
12.794871091842651,1,54
12.794953107833862,-1,590
12.794953107833862,-1,118
12.795046091079712,1,54
12.79588794708252,1,1440
12.79588794708252,1,1440
12.79588794708252,1,1352
12.797437906265259,-1,56
12.797437906265259,-1,590
12.797437906265259,-1,590
12.797437906265259,-1,590
12.797437906265259,-1,590
12.797437906265259,-1,590
12.797437906265259,-1,590
12.797437906265259,-1,458
12.797733068466187,1,140
12.803704977035522,-1,590
12.803704977035522,-1,568
12.803836107254028,1,590
12.80977988243103,-1,56
12.81210207939148,1,1440
12.81210207939148,1,746
12.816821098327637,0,590
12.817262887954712,0,590
12.817415952682495,-1,590
12.817415952682495,-1,590
12.817545890808105,1,54
12.8177809715271,-1,590
12.8177809715271,-1,590
12.8177809715271,-1,590
12.8177809715271,-1,590
12.8179190158844,1,54
12.818814992904663,-1,590
12.818814992904663,-1,372
12.818896055221558,1,54
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,590
12.823653936386108,-1,458
12.82387089729309,1,54
12.824894905090332,-1,590
12.824894905090332,-1,118
12.824995994567871,1,54
12.829402923583984,0,56
12.833087921142578,-1,56
12.835016012191772,-1,590
12.84143590927124,1,1440
12.84143590927124,1,232
12.846487045288086,-1,590
12.846487045288086,-1,590
12.846487045288086,-1,590
12.846487045288086,-1,590
12.846757888793945,1,590
12.847058057785034,-1,590
12.847058057785034,-1,590
12.847187995910645,1,54
12.847415924072266,-1,590
12.847415924072266,-1,372
12.847543001174927,1,54
12.848953008651733,-1,590
12.848953008651733,-1,590
12.848953008651733,-1,590
12.848953008651733,-1,590
12.849112033843994,1,54
12.84921908378601,-1,590
12.84921908378601,-1,590
12.849318981170654,1,54
12.849685907363892,-1,590
12.849685907363892,-1,458
12.849685907363892,-1,590
12.849685907363892,-1,590
12.849685907363892,-1,590
12.849685907363892,-1,590
12.849685907363892,-1,590
