delta_time,direction,length
0.0,-1,590
0.051181793212890625,1,54
2.9335358142852783,1,590
3.0835928916931152,-1,56
5.9219489097595215,1,590
6.032778978347778,1,590
6.070146799087524,-1,56
6.070360898971558,1,590
6.1494879722595215,-1,590
6.150151968002319,1,590
6.16944694519043,-1,590
6.170048952102661,1,590
6.267695903778076,-1,590
6.276810884475708,-1,590
6.276916027069092,1,1104
6.3091278076171875,1,54
6.373380899429321,-1,56
6.373461008071899,1,590
6.427886009216309,-1,590
6.428758859634399,1,590
6.484983921051025,-1,590
6.487466812133789,1,590
6.5154619216918945,-1,1436
6.5154619216918945,-1,1436
6.5154619216918945,-1,910
6.515849828720093,1,54
6.529322862625122,-1,1436
6.529322862625122,-1,1264
6.529414892196655,1,54
6.585174798965454,-1,1104
6.61550498008728,-1,590
6.615868806838989,1,1126
6.629649877548218,1,54
6.715246915817261,-1,56
6.715468883514404,1,590
6.747362852096558,-1,590
6.774773836135864,1,590
6.851648807525635,-1,56
6.85431981086731,-1,1436
6.85431981086731,-1,236
6.854404926300049,1,590
6.893311977386475,1,590
6.923220872879028,-1,590
6.965993881225586,1,54
7.00325083732605,-1,56
7.003461837768555,1,590
7.031905889511108,-1,56
7.08453893661499,-1,590
7.0885329246521,1,1104
7.126386880874634,1,54
7.153321981430054,-1,56
7.182237863540649,-1,56
7.2397918701171875,-1,1436
7.2397918701171875,-1,1436
7.2397918701171875,-1,1436
7.2397918701171875,-1,64
7.240181922912598,1,54
7.242724895477295,1,590
7.2533018589019775,-1,1436
7.253575801849365,1,54
7.369328022003174,-1,1264
7.378968000411987,1,590
7.415586948394775,1,54
7.512563943862915,-1,56
7.512694835662842,1,1126
7.528627872467041,-1,1436
7.528627872467041,-1,258
7.528802871704102,1,54
7.5404438972473145,1,1104
7.6062538623809814,-1,56
7.6063690185546875,1,590
7.657797813415527,-1,590
7.657909870147705,1,590
7.7395758628845215,-1,56
7.772777795791626,-1,590
7.7731099128723145,1,590
7.798205852508545,-1,1436
7.798205852508545,-1,1436
7.798205852508545,-1,396
7.798595905303955,1,54
7.848272800445557,1,590
7.914024829864502,-1,590
7.914903879165649,1,590
7.981668949127197,-1,56
8.03397798538208,-1,590
8.036075830459595,1,1104
8.086863994598389,1,54
8.130083799362183,-1,56
8.190825939178467,-1,1436
8.190825939178467,-1,1436
8.190825939178467,-1,1436
8.190825939178467,-1,64
8.191099882125854,1,54
8.202082872390747,-1,1436
8.202082872390747,-1,750
8.20217490196228,1,54
8.203780889511108,1,590
8.206363916397095,1,590
8.321164846420288,-1,590
8.321472883224487,1,590
8.34522795677185,-1,56
8.345462799072266,1,1104
8.438002824783325,-1,1126
8.438177824020386,1,590
8.441620826721191,-1,56
8.441743850708008,1,590
8.500048875808716,-1,1436
8.500048875808716,-1,1436
8.500048875808716,-1,910
8.500171899795532,1,54
8.509224891662598,-1,1436
8.509224891662598,-1,1436
8.509224891662598,-1,1360
8.509536027908325,1,54
8.514425992965698,-1,1436
8.514425992965698,-1,1436
8.514425992965698,-1,1436
8.514425992965698,-1,578
8.514425992965698,-1,1436
8.514425992965698,-1,1436
8.514425992965698,-1,1360
8.514425992965698,-1,1436
8.514425992965698,-1,1436
8.514425992965698,-1,1360
8.514967918395996,1,590
8.5295569896698,-1,1436
8.5295569896698,-1,1436
8.5295569896698,-1,1124
8.529723882675171,1,54
8.53698992729187,-1,1436
8.53698992729187,-1,1436
8.53698992729187,-1,1360
8.537156820297241,1,590
8.568136930465698,1,1436
8.568136930465698,1,258
8.574383974075317,-1,56
8.57443380355835,1,590
8.593216896057129,-1,676
8.647583961486816,1,54
8.65237283706665,-1,56
