delta_time,direction,length
0.0,-1,602
0.00021219253540039062,1,66
2.0479581356048584,-1,602
2.048133134841919,1,66
3.842586040496826,1,602
3.9612061977386475,-1,66
4.657640218734741,1,602
4.764116048812866,1,566
4.764134168624878,1,102
4.777787208557129,-1,66
4.777881145477295,1,602
4.884987115859985,-1,66
4.8869030475616455,-1,602
4.886982202529907,1,66
4.887885093688965,1,566
4.887906074523926,1,102
4.892771005630493,-1,66
4.897183179855347,-1,602
4.897287130355835,1,66
4.898001194000244,1,602
5.010058164596558,-1,66
5.013994216918945,-1,602
5.014127016067505,1,66
5.0549280643463135,-1,66
5.055072069168091,1,1116
5.129648208618164,-1,602
5.1298301219940186,1,66
5.131347179412842,-1,602
5.131474018096924,1,66
5.1339781284332275,1,566
5.13400411605835,1,102
5.17216420173645,-1,66
5.172380208969116,1,602
5.256159067153931,-1,66
5.289337158203125,-1,66
5.307991027832031,-1,1440
5.30818510055542,1,66
5.3083250522613525,-1,1440
5.308403015136719,1,66
5.308585166931152,1,66
5.308864116668701,-1,938
5.308908224105835,1,66
5.330596208572388,-1,1440
5.3305981159210205,-1,1440
5.330757141113281,-1,1440
5.330759048461914,1,66
5.330860137939453,1,66
5.331009149551392,1,66
5.331897020339966,1,602
5.426998138427734,-1,100
5.427160024642944,1,66
5.486607074737549,-1,602
5.486784219741821,1,66
5.48737907409668,1,566
5.48740816116333,1,102
5.490396022796631,-1,66
5.490459203720093,1,1138
5.543264150619507,-1,602
5.543413162231445,1,66
5.607624053955078,-1,66
5.607816219329834,1,602
5.609548091888428,-1,66
5.7228782176971436,-1,66
5.737783193588257,-1,1440
5.737898111343384,1,66
5.738534212112427,-1,256
5.738576173782349,1,66
5.798373222351074,1,602
5.838165998458862,-1,602
5.838268041610718,1,66
5.838536024093628,1,566
5.838551998138428,1,102
5.955364227294922,-1,66
5.959133148193359,-1,602
5.959236145019531,1,66
5.960506200790405,1,1116
5.96115517616272,-1,66
6.076674222946167,-1,66
6.149586200714111,-1,1440
6.149752140045166,1,66
6.1498730182647705,-1,1440
6.149944067001343,1,66
6.149971008300781,1,66
6.150551080703735,-1,424
6.15060019493103,1,66
6.16689920425415,-1,1440
6.168198108673096,-1,1440
6.168312072753906,1,66
6.267805099487305,-1,424
6.268072128295898,1,66
6.271982192993164,1,602
6.388882160186768,-1,66
6.38896918296814,1,602
6.506049156188965,-1,66
6.556930065155029,-1,602
6.557403087615967,1,66
6.558203220367432,1,602
6.674013137817383,-1,66
6.711245059967041,-1,1440
6.711579084396362,-1,1440
6.712152004241943,1,66
6.7130842208862305,-1,938
6.713191032409668,1,66
6.713456153869629,1,602
6.737075090408325,-1,1440
6.738546133041382,-1,1440
6.739526033401489,1,66
6.803289175033569,-1,1440
6.803544044494629,-1,1440
6.803624153137207,1,66
6.805584192276001,-1,1440
6.805585145950317,-1,1440
6.805653095245361,1,66
6.807504177093506,-1,1440
6.80928111076355,-1,1440
6.809345006942749,1,602
6.810810089111328,-1,1440
6.81085205078125,1,66
6.827253103256226,-1,1440
6.827616214752197,-1,1440
6.82761812210083,-1,1440
6.827693223953247,1,602
6.828451156616211,-1,1440
6.828451156616211,-1,1440
6.828519105911255,1,66
6.830618143081665,-1,1440
6.830687999725342,1,66
6.854756116867065,-1,1440
6.8548901081085205,1,1138
6.855146169662476,-1,1440
6.855147123336792,-1,1440
6.855226039886475,1,66
6.855682134628296,-1,1440
6.855727195739746,1,66
6.919211149215698,-1,1440
6.919473171234131,-1,1440
6.919474124908447,-1,1440
6.919611215591431,1,66
6.920230150222778,-1,1440
6.920290231704712,1,66
6.920932054519653,-1,1440
6.9213080406188965,-1,1440
6.921309232711792,-1,1440
6.92136812210083,1,602
6.922102212905884,-1,1440
6.922184228897095,1,66
6.924772024154663,-1,1440
6.924845218658447,1,66
6.925190210342407,-1,1440
6.925191164016724,-1,1440
6.925282001495361,1,66
6.926577091217041,-1,1440
6.926578044891357,-1,1440
6.926708221435547,1,66
6.927988052368164,-1,1168
6.928112030029297,1,66
6.970969200134277,-1,66
6.9935622215271,-1,1440
6.993727207183838,1,66
6.993945121765137,-1,1440
6.993990182876587,1,66
6.994052171707153,1,66
6.994237184524536,1,66
6.994399070739746,-1,938
6.994453191757202,1,66
6.997747182846069,-1,1440
6.997806072235107,1,66
6.997917175292969,1,66
6.998183012008667,-1,1440
6.998185157775879,-1,1440
6.998186111450195,-1,1440
6.998234033584595,1,66
6.998335123062134,1,66
6.9985151290893555,-1,1440
6.998550176620483,1,66
6.998614072799683,1,66
7.007658004760742,-1,1440
7.007660150527954,-1,1440
7.007944107055664,1,602
7.008226156234741,-1,1440
7.008921146392822,-1,1440
7.008923053741455,-1,1440
7.009029150009155,1,66
7.010001182556152,-1,1440
7.010003089904785,-1,1440
7.010004997253418,-1,1440
7.01000714302063,-1,1440
7.010008096694946,-1,1440
7.010010004043579,-1,1440
7.010012149810791,-1,1440
7.010014057159424,-1,1440
7.01001501083374,-1,1440
7.010017156600952,-1,1440
7.010174036026001,1,66
7.011973142623901,-1,1440
7.011975049972534,-1,1440
7.012097120285034,1,602
7.012369155883789,-1,1440
7.0123701095581055,-1,1440
7.012456178665161,1,66
7.013928174972534,-1,1440
7.014000177383423,1,66
7.034874200820923,-1,1440
7.035435199737549,-1,1440
7.035436153411865,-1,1440
7.035603046417236,1,66
7.036748170852661,-1,1440
7.0367491245269775,-1,1440
7.03675103187561,-1,1440
7.036753177642822,-1,1440
7.036754131317139,-1,1440
7.0367560386657715,-1,1440
7.036757230758667,-1,1440
7.0375800132751465,1,66
7.037941217422485,-1,1440
7.037943124771118,-1,1440
7.037944078445435,-1,1440
7.03807520866394,1,602
7.038207054138184,-1,1440
7.0382080078125,-1,1440
7.038305997848511,1,66
7.039419174194336,-1,1440
7.039570093154907,1,66
7.039993047714233,-1,1440
7.041051149368286,-1,1440
7.041053056716919,-1,1440
7.041206121444702,1,66
7.041341066360474,-1,1440
7.041344165802002,-1,1440
7.041345119476318,-1,1440
7.041565179824829,1,602
7.043124198913574,-1,1440
7.043126106262207,-1,1440
7.043236017227173,1,66
7.0433831214904785,-1,1440
7.044083118438721,-1,1428
7.04418420791626,1,66
7.045175075531006,-1,1440
7.103889226913452,-1,1440
7.104048013687134,1,66
7.104311227798462,1,66
7.111622095108032,-1,1440
7.111788034439087,1,66
7.1120100021362305,1,66
7.11435604095459,-1,1440
7.114413022994995,1,66
7.11449122428894,1,66
7.1152260303497314,-1,1440
7.115227222442627,-1,1440
7.115272045135498,1,66
7.115377187728882,1,66
7.116160154342651,-1,1440
7.116161108016968,-1,1440
7.1161651611328125,-1,1440
7.116202116012573,1,66
7.116270065307617,1,66
7.1163811683654785,1,566
7.116391181945801,1,102
7.118163108825684,-1,1440
7.118213176727295,1,66
7.1182780265808105,1,66
7.119354009628296,-1,1440
7.11945104598999,1,66
7.120119094848633,-1,1440
7.120120048522949,-1,1440
7.120122194290161,-1,1440
7.120243072509766,1,66
7.1211841106414795,-1,204
7.121255159378052,1,66
7.127140045166016,-1,66
7.146095037460327,1,66
7.160454034805298,-1,770
7.160651206970215,1,66
7.161160230636597,1,602
7.230184078216553,-1,1440
7.230594158172607,1,66
7.230754137039185,-1,1440
7.230756044387817,-1,1440
7.2309370040893555,1,66
7.231194019317627,-1,1440
7.231371164321899,1,66
7.232665061950684,-1,1440
7.2327680587768555,1,66
7.234655141830444,-1,1440
7.234657049179077,-1,1440
7.234790086746216,1,66
7.2349560260772705,-1,1440
7.235411167144775,1,566
7.235429048538208,1,102
7.235748052597046,1,66
7.236515045166016,-1,1440
7.236663103103638,1,66
7.2372541427612305,-1,1440
7.237389087677002,1,66
7.238529205322266,-1,66
7.244433164596558,-1,1320
7.244551181793213,1,66
7.244765996932983,1,66
7.322635173797607,-1,66
7.322707176208496,1,1116
7.339018106460571,-1,1440
7.339152097702026,1,66
7.340081214904785,-1,1440
7.340152025222778,1,66
7.349995136260986,-1,1440
7.350096225738525,1,66
7.35039210319519,-1,1440
7.350393056869507,-1,1440
7.350437164306641,1,66
7.351854085922241,-1,1440
7.351905107498169,1,66
7.351968050003052,1,566
7.351973056793213,1,102
7.357546091079712,-1,66
7.3674681186676025,-1,1140
7.367554187774658,1,66
7.3676300048828125,1,66
7.370272159576416,1,1440
7.370286226272583,1,792
7.439662218093872,-1,66
7.474886178970337,-1,66
7.490483999252319,-1,66
7.495423078536987,-1,1440
7.495425224304199,-1,1440
7.495585203170776,1,66
7.4958600997924805,1,66
7.496279001235962,-1,938
7.496333122253418,1,66
7.508217096328735,-1,1440
7.508380174636841,1,66
7.54590916633606,-1,1440
7.545912027359009,-1,1440
7.546083211898804,1,66
7.546373128890991,1,66
7.5470921993255615,-1,1440
7.5471601486206055,1,66
7.551591157913208,1,602
7.553361177444458,1,1440
7.553363084793091,1,1440
7.553401231765747,1,1388
7.55345606803894,1,1440
7.553477048873901,1,834
7.5547192096710205,1,1440
7.554725170135498,1,1440
7.554746150970459,1,1388
7.5547850131988525,1,1440
7.5547990798950195,1,834
7.556019067764282,1,1440
7.556023120880127,1,1440
7.5560572147369385,1,1388
7.556101083755493,1,1440
7.55611515045166,1,320
7.559446096420288,1,1440
7.559449195861816,1,1440
7.559452056884766,1,1440
7.559510231018066,1,550
7.559531211853027,1,1440
7.55953311920166,1,1348
7.56119704246521,1,1440
7.561200141906738,1,1440
7.561225175857544,1,424
7.566042184829712,-1,1440
7.566090106964111,1,66
7.5668251514434814,-1,1440
7.566826105117798,-1,1440
7.566863059997559,1,66
7.56694221496582,1,66
7.613166093826294,-1,1330
7.613352060317993,1,66
7.6216301918029785,1,1440
7.62163519859314,1,1440
7.6217360496521,1,446
7.671610116958618,-1,78
7.671614170074463,-1,66
7.6798930168151855,-1,66
7.738582134246826,-1,602
7.738799095153809,1,66
7.740471124649048,-1,66
7.7413270473480225,-1,1440
7.741421222686768,1,66
7.741945028305054,-1,1440
7.741947174072266,-1,1440
7.741949081420898,-1,1440
7.742013216018677,1,66
7.74212908744812,1,66
7.742332220077515,1,602
7.743139028549194,-1,1440
7.74314022064209,-1,1440
7.743142127990723,-1,1440
7.7431440353393555,-1,1440
7.743146181106567,-1,1440
7.743147134780884,-1,1440
7.743149042129517,-1,1440
7.7431511878967285,-1,1440
7.743218183517456,1,66
7.743354082107544,1,66
7.747507095336914,-1,1440
7.747580051422119,1,602
7.749178171157837,-1,1440
7.74918007850647,-1,1440
7.749182224273682,-1,1440
7.749185085296631,-1,1440
7.749187231063843,-1,1440
7.749239206314087,1,66
7.749327182769775,1,66
7.7561352252960205,-1,1440
7.765115022659302,-1,1440
7.76511812210083,-1,1440
7.765326023101807,1,602
7.765667200088501,-1,1440
7.76567006111145,-1,1440
7.765785217285156,1,66
7.767252206802368,-1,1440
7.767255067825317,-1,1440
7.767257213592529,-1,1440
7.767258167266846,-1,1440
7.7672600746154785,-1,1440
7.76726222038269,-1,1440
7.767264127731323,-1,1440
7.76726508140564,-1,1440
7.767267227172852,-1,1440
7.767268180847168,-1,1440
7.767270088195801,-1,1440
7.767271995544434,-1,1440
7.7672741413116455,-1,1440
7.767276048660278,-1,1440
7.767879009246826,1,602
7.768593072891235,-1,1440
7.768596172332764,-1,1440
7.76859712600708,-1,1440
7.768599033355713,-1,1440
7.768601179122925,-1,1440
7.768602132797241,-1,1440
7.768604040145874,-1,1440
7.769196033477783,1,66
7.769801139831543,-1,1440
7.772250175476074,-1,1440
7.773285150527954,1,602
7.854034185409546,-1,1440
7.8556671142578125,-1,1440
7.855816125869751,1,602
7.85617208480835,-1,1440
7.857741117477417,-1,1440
7.85774302482605,-1,1440
7.857838153839111,1,66
7.858182191848755,-1,1440
7.858184099197388,-1,1440
7.858185052871704,-1,1440
7.8582000732421875,-1,1440
7.858278036117554,1,66
7.858817100524902,-1,1440
7.858819007873535,-1,1440
7.858892202377319,1,602
7.859262228012085,-1,1440
7.859345197677612,1,66
7.859690189361572,-1,1440
7.859691143035889,-1,1440
7.859786033630371,1,66
7.860876083374023,-1,1440
7.860878229141235,-1,1440
7.860878229141235,-1,1440
7.860879182815552,-1,1440
7.860880136489868,-1,1440
7.860882043838501,-1,1440
7.860882997512817,-1,1440
7.860884189605713,-1,1440
7.860885143280029,-1,1440
7.860886096954346,-1,1440
7.8608880043029785,-1,1440
7.8611040115356445,1,66
7.861544132232666,-1,1440
7.862144231796265,1,602
7.862793207168579,-1,1440
7.86287522315979,1,66
7.8630690574646,1,66
7.863485097885132,-1,256
7.86359715461731,1,66
7.8644020557403564,-1,1440
7.864451169967651,1,66
7.865187168121338,-1,1440
7.865189075469971,-1,1440
7.865272045135498,1,602
7.866095066070557,-1,1440
7.866096019744873,-1,1440
7.8660972118377686,-1,1440
7.866099119186401,-1,1440
7.866192102432251,1,66
7.867295026779175,-1,1440
7.86729621887207,-1,1440
7.867297172546387,-1,1440
7.8672990798950195,-1,1440
7.867423057556152,1,66
7.867737054824829,-1,1440
7.867812156677246,1,66
7.8692381381988525,-1,1440
7.869240045547485,-1,1440
7.869343042373657,1,66
7.870816230773926,-1,1440
7.870817184448242,-1,1440
7.870819091796875,-1,1440
7.870820999145508,-1,1440
7.87082314491272,-1,1440
7.870928049087524,1,66
7.871318101882935,-1,1440
7.871390104293823,1,66
7.880335092544556,-1,1440
7.880402088165283,1,66
7.88190221786499,-1,1440
7.881903171539307,-1,1440
7.8819050788879395,-1,1440
7.881906032562256,-1,1440
7.881907224655151,-1,1440
7.881909132003784,-1,1440
7.881910085678101,-1,1440
7.881911039352417,-1,1440
7.881913185119629,-1,1440
7.882024049758911,1,602
7.88260817527771,-1,1440
7.882631063461304,1,66
7.882947206497192,-1,1440
7.883002996444702,1,66
7.884804010391235,-1,1440
7.884805202484131,-1,1440
7.884806156158447,-1,1440
7.884807109832764,-1,1440
7.88480806350708,-1,1440
7.8848090171813965,-1,1440
7.884810209274292,-1,1440
7.884811162948608,-1,1440
7.884812116622925,-1,1440
7.884813070297241,-1,1440
7.884967088699341,1,602
7.885070085525513,-1,1410
7.88518214225769,1,66
7.902951002120972,-1,1440
7.903013229370117,1,602
7.904497146606445,-1,1440
7.904554128646851,1,66
7.905273199081421,-1,1440
7.9067301750183105,-1,1440
7.906731128692627,-1,1440
7.906731128692627,-1,1440
7.906732082366943,-1,1440
7.906732082366943,-1,1440
7.90673303604126,-1,1440
7.906796216964722,1,66
7.908367156982422,-1,1440
7.908368110656738,-1,1440
7.908368110656738,-1,1440
7.908369064331055,-1,1440
7.908370018005371,-1,1440
7.908428192138672,1,66
7.909929037094116,-1,1440
7.910309076309204,-1,1440
7.9103100299835205,-1,1440
7.910311222076416,-1,1440
7.910361051559448,1,602
7.915902137756348,-1,1440
7.916236162185669,-1,1440
7.916284084320068,1,66
7.91657018661499,-1,1440
7.9245710372924805,-1,1440
7.924642086029053,1,66
7.925107002258301,-1,1440
7.925108194351196,-1,1440
7.925152063369751,1,66
7.926289081573486,-1,1440
7.926289081573486,-1,1440
7.926290035247803,-1,1440
7.926291227340698,-1,1440
7.926292181015015,-1,1440
7.926292181015015,-1,1440
7.926293134689331,-1,1440
7.926293134689331,-1,1440
7.926354169845581,1,66
7.931870222091675,-1,1440
7.971302032470703,-1,1440
7.971303224563599,-1,1440
7.971394062042236,1,602
7.971466064453125,1,66
7.97153115272522,-1,1440
7.972841024398804,-1,1440
7.972888231277466,1,66
7.973815202713013,-1,1440
7.973816156387329,-1,1440
7.973871231079102,1,66
7.975538015365601,-1,1440
7.975539207458496,-1,1440
7.975541114807129,-1,1440
7.975542068481445,-1,1440
7.975543022155762,-1,1440
7.975544214248657,-1,1440
7.975545167922974,-1,1440
7.97554612159729,-1,1440
7.9755470752716064,-1,1440
7.975548028945923,-1,1440
7.975549221038818,-1,1440
7.975550174713135,-1,1440
7.975551128387451,-1,1440
7.975552082061768,-1,1440
7.975553035736084,-1,1440
7.9755542278289795,-1,1440
7.975555181503296,-1,1440
7.975556135177612,-1,1440
7.975699186325073,1,1138
7.975783109664917,-1,1440
7.976462125778198,-1,1440
7.976463079452515,-1,1440
7.976738214492798,1,66
7.977666139602661,-1,1440
7.9776670932769775,-1,1440
7.977715015411377,1,602
7.978885173797607,-1,1440
7.978886127471924,-1,1440
7.97888708114624,-1,1440
7.978888034820557,-1,1440
7.978889226913452,-1,1440
7.978901147842407,-1,1440
7.978902101516724,-1,1440
7.97890305519104,-1,1440
7.9789040088653564,-1,1440
7.978905200958252,-1,1440
7.978905200958252,-1,1440
7.978906154632568,-1,1440
7.978908061981201,-1,1440
7.978909015655518,-1,1440
7.978910207748413,-1,1440
7.978910207748413,-1,1440
7.9789111614227295,-1,1440
7.978912115097046,-1,1440
7.978913068771362,-1,1440
7.978914022445679,-1,1440
7.978915214538574,-1,1440
7.978916168212891,-1,1440
7.97908616065979,1,602
7.980065107345581,-1,1440
7.980692148208618,-1,1440
7.980693101882935,-1,1440
7.980744123458862,1,602
7.98112416267395,-1,1440
7.981125116348267,-1,1440
7.981126070022583,-1,1440
7.981175184249878,1,66
7.982620000839233,-1,1440
7.9837400913238525,-1,1440
7.983798027038574,1,66
7.984451055526733,-1,1440
7.984490156173706,1,66
7.987000226974487,-1,984
7.987001180648804,-1,1440
7.987070083618164,1,66
7.987791061401367,-1,1440
7.987792015075684,-1,1440
7.987843036651611,1,66
7.987869024276733,1,566
7.987871170043945,1,102
7.988959074020386,-1,1440
7.988961219787598,-1,1440
7.988962173461914,-1,1440
7.9889631271362305,-1,1440
7.988964080810547,-1,1440
7.988965034484863,-1,1440
7.988966226577759,-1,1440
7.989028215408325,1,66
7.989222049713135,-1,1440
7.989298105239868,1,66
7.99009108543396,-1,1440
7.99009108543396,-1,1440
7.990132093429565,1,66
8.000624179840088,-1,1172
8.000733137130737,1,66
8.027559995651245,-1,66
8.062734127044678,-1,1440
8.063470125198364,-1,1440
8.063472032546997,-1,1440
8.063610076904297,1,602
8.064685106277466,-1,1440
8.064687013626099,-1,1440
8.06468915939331,-1,1440
8.064690113067627,-1,1440
8.06469202041626,-1,1440
8.064694166183472,-1,1440
8.064697027206421,-1,1440
8.06470012664795,-1,1440
8.064704179763794,-1,1440
8.06470513343811,-1,1440
8.064707040786743,-1,1440
8.064709186553955,-1,1440
8.064710140228271,-1,1440
8.064712047576904,-1,1440
8.064714193344116,-1,1440
8.064715147018433,-1,1440
8.064717054367065,-1,1440
8.06498122215271,1,602
8.07212209701538,-1,1440
8.072500228881836,-1,1440
8.072501182556152,-1,1440
8.072546005249023,1,66
8.074692010879517,-1,1440
8.07502007484436,-1,1440
8.075054168701172,1,602
8.076826095581055,-1,1440
8.076826095581055,-1,1440
8.076827049255371,-1,1440
8.076828002929688,-1,1440
8.076829195022583,-1,1440
8.076829195022583,-1,1440
8.0768301486969,-1,1440
8.076831102371216,-1,1440
8.076832056045532,-1,1440
8.076832056045532,-1,1440
8.07692813873291,1,66
8.079285144805908,-1,1440
8.079285144805908,-1,1440
8.079374074935913,1,66
8.079626083374023,-1,1440
8.07962703704834,-1,1440
8.07968807220459,1,602
8.079885005950928,-1,1440
8.081769227981567,-1,1440
8.081770181655884,-1,1440
8.0817711353302,-1,1440
8.081772089004517,-1,1440
8.081773042678833,-1,1440
8.08177399635315,-1,1440
8.081775188446045,-1,1440
8.081857204437256,1,66
8.082455158233643,-1,1440
8.084772109985352,-1,1440
8.084808111190796,1,602
8.091961145401001,-1,66
8.093651056289673,-1,1440
8.09365200996399,-1,1440
8.093724012374878,1,66
8.093846082687378,1,66
8.094487190246582,-1,1440
8.09453821182251,1,66
8.095599174499512,-1,1440
8.095665216445923,1,66
8.097707033157349,-1,1440
8.09770917892456,-1,1440
8.097710132598877,-1,1440
8.09771203994751,-1,1440
8.097713232040405,-1,1440
8.097714185714722,-1,1440
8.097715139389038,-1,1440
8.097716093063354,-1,1440
8.097717046737671,-1,1440
8.097718000411987,-1,1440
8.097719192504883,-1,1440
8.097721099853516,-1,1440
8.097938060760498,1,602
8.098268032073975,-1,1440
8.09826922416687,-1,1440
8.09832215309143,1,66
8.099567174911499,-1,1440
8.099568128585815,-1,1440
8.099569082260132,-1,1440
8.099571228027344,-1,1440
8.09957218170166,-1,1440
8.099573135375977,-1,1440
8.099574089050293,-1,1440
8.099575996398926,-1,1440
8.099577188491821,-1,1440
8.099578142166138,-1,1440
8.099579095840454,-1,1440
8.09958004951477,-1,1440
8.099582195281982,-1,1440
8.099583148956299,-1,1440
8.099584102630615,-1,1440
8.099585056304932,-1,1440
8.099586009979248,-1,1440
8.099587202072144,-1,1440
8.099589109420776,-1,1440
8.099590063095093,-1,1440
8.099594116210938,-1,1440
8.09959602355957,-1,1440
8.099597215652466,-1,1440
8.099599123001099,-1,1440
8.099601030349731,-1,1440
8.09983515739441,-1,1440
8.099951028823853,1,602
8.100471019744873,-1,1440
8.100959062576294,-1,1440
8.101014137268066,1,66
8.101246118545532,-1,1440
8.101283073425293,1,1116
8.10185718536377,-1,1440
8.101859092712402,-1,1440
8.101977109909058,1,66
8.10324501991272,1,566
8.10325312614441,1,102
8.105467081069946,-1,1440
8.105585098266602,1,66
8.105834007263184,-1,1440
8.1058931350708,1,66
8.10618805885315,-1,1440
8.106190204620361,-1,1440
8.106259107589722,1,66
8.106511116027832,-1,1440
8.106586217880249,1,66
8.107388019561768,-1,1440
8.107428073883057,1,66
8.108250141143799,-1,730
8.10835313796997,1,66
8.10993218421936,-1,1440
8.109934091567993,-1,1440
8.10993504524231,-1,1440
8.109935998916626,-1,1440
8.109939098358154,-1,1440
8.110050201416016,1,66
8.110160112380981,1,566
8.110165119171143,1,102
8.1117582321167,-1,66
8.117475032806396,-1,1140
8.117578029632568,1,66
8.120654106140137,-1,1440
8.121321201324463,-1,1440
8.121413230895996,1,66
8.129359006881714,-1,1440
8.129861116409302,-1,1440
8.129862070083618,-1,1440
8.129918098449707,1,66
8.130104064941406,-1,1440
8.130106210708618,-1,1440
8.130169153213501,1,66
8.131103038787842,-1,1440
8.131192207336426,1,66
8.133174180984497,-1,1440
8.134339094161987,-1,1440
8.134340047836304,-1,1440
8.134441137313843,1,602
8.135451078414917,-1,1440
8.135452032089233,-1,1440
8.135454177856445,-1,1440
8.135456085205078,-1,1440
8.13545823097229,-1,1440
8.135460138320923,-1,1440
8.135462045669556,-1,1440
8.135467052459717,-1,1440
8.135469198226929,-1,1440
8.135603189468384,1,66
8.135830163955688,-1,1440
8.136988162994385,-1,1440
