delta_time,direction,length
0.0,1,590
0.11835289001464844,-1,56
2.0711920261383057,-1,602
2.0713469982147217,1,66
3.8133349418640137,-1,590
3.813499927520752,1,54
5.853569984436035,1,602
5.969383001327515,1,590
6.00705099105835,-1,66
6.007291078567505,1,602
6.08328104019165,-1,56
6.085155963897705,-1,590
6.085270881652832,1,54
6.086153030395508,1,590
6.122031927108765,-1,602
6.122175931930542,1,66
6.123080015182495,1,602
6.237598896026611,-1,602
6.237756967544556,1,66
6.241455078125,-1,56
6.255131959915161,-1,590
6.2552649974823,1,54
6.256568908691406,1,590
6.274927854537964,-1,602
6.275097846984863,1,1116
6.370565891265869,-1,56
6.4250829219818115,-1,66
6.425261974334717,1,602
6.464176893234253,-1,590
6.464334011077881,1,54
6.465228080749512,1,590
6.577426910400391,-1,66
6.579310894012451,-1,56
6.584653854370117,-1,1354
6.5846569538116455,-1,1354
6.5848000049591064,1,66
6.585000038146973,1,66
6.58512806892395,-1,1110
6.585236072540283,1,66
6.6458539962768555,-1,1354
6.645992994308472,1,66
6.669230937957764,-1,590
6.669379949569702,1,54
6.66974401473999,1,590
6.67211389541626,-1,1354
6.672241926193237,1,66
6.672823905944824,-1,1354
6.672952890396118,1,66
6.68478798866272,1,602
6.784442901611328,-1,56
6.786357879638672,-1,380
6.786489009857178,1,602
6.835263013839722,-1,602
6.8354270458221436,1,1138
6.934849977493286,-1,66
6.9861249923706055,-1,66
6.986274003982544,1,602
7.1360039710998535,-1,66
7.149980068206787,-1,602
7.150119066238403,1,66
7.263634920120239,-1,602
7.263797998428345,1,66
7.264940023422241,1,602
7.415305852890015,-1,66
7.501802921295166,-1,602
7.501941919326782,1,66
7.516020059585571,1,602
7.6166088581085205,-1,1116
7.616761922836304,1,602
7.667320013046265,-1,602
7.667428970336914,1,602
7.765641927719116,-1,66
7.8868348598480225,-1,66
7.886992931365967,1,602
7.929051876068115,-1,602
7.929220914840698,1,66
8.0364248752594,-1,66
8.036584854125977,1,1116
8.065727949142456,-1,602
8.065885066986084,1,66
8.185142040252686,-1,66
8.185296058654785,1,602
8.313819885253906,-1,1354
8.313822984695435,-1,1354
8.313823938369751,-1,1354
8.31400203704834,1,66
8.314210891723633,1,66
8.31454086303711,-1,272
8.314666032791138,1,66
8.348963022232056,-1,1354
8.399738073348999,-1,1354
8.39988899230957,1,66
8.403753995895386,1,602
8.513036012649536,-1,190
8.513305902481079,1,602
8.554008960723877,-1,66
8.626322984695435,-1,1116
8.626491069793701,1,1138
8.732895851135254,1,1354
8.732975959777832,1,386
8.741518020629883,-1,602
8.741673946380615,1,66
8.813729047775269,-1,1354
8.813730955123901,-1,1354
8.813732862472534,-1,1354
8.81389307975769,1,66
8.814133882522583,1,66
8.846997022628784,-1,358
8.847153902053833,1,602
8.985666036605835,-1,602
8.985818862915039,1,602
9.098968982696533,-1,602
9.099122047424316,1,602
9.237518072128296,-1,602
9.237715005874634,1,602
9.35128903388977,-1,602
9.351444005966187,1,1116
9.505425930023193,-1,66
9.505578994750977,1,602
9.550108909606934,-1,602
9.550400018692017,1,66
9.630676984786987,-1,1354
9.63067889213562,-1,1354
9.630681037902832,-1,1354
9.630847930908203,1,602
9.631069898605347,1,66
9.632155895233154,-1,1354
9.732651948928833,1,66
9.78479790687561,-1,1126
9.78495192527771,1,66
9.788811922073364,1,602
9.925117015838623,-1,602
9.925271034240723,1,1116
10.03815507888794,-1,602
10.038298845291138,1,1116
10.144343852996826,-1,1354
10.144345998764038,-1,1354
10.144476890563965,1,602
10.144645929336548,1,66
10.145755052566528,-1,1354
10.145817995071411,1,66
10.18488097190857,-1,358
10.185006856918335,1,66
10.204629898071289,-1,1354
10.204632043838501,-1,1354
10.204722881317139,1,66
10.204860925674438,-1,1354
10.204889059066772,1,66
10.204921960830688,1,66
10.206081867218018,-1,1354
10.206140041351318,1,66
10.214173078536987,-1,1354
10.214251041412354,1,602
10.263359069824219,-1,1354
10.26349687576294,1,66
10.26439094543457,-1,1354
10.264392852783203,-1,1354
10.26450490951538,1,66
10.264632940292358,1,66
10.265828847885132,-1,1354
10.265912055969238,1,66
10.309898853302002,-1,1354
10.310041904449463,1,66
10.357136011123657,-1,1354
10.357138872146606,-1,1354
10.35730504989624,1,66
10.357537031173706,1,66
10.358698844909668,-1,1354
10.358794927597046,1,66
10.462216854095459,-1,1354
10.462390899658203,1,66
10.462885856628418,1,602
10.464055061340332,-1,1354
10.464056968688965,-1,1354
10.464058876037598,-1,1354
10.464060068130493,-1,1354
10.46420693397522,1,66
10.46442198753357,1,66
10.488697052001953,1,1354
10.488744974136353,1,878
10.523972988128662,-1,1354
10.523975849151611,-1,1354
10.523977041244507,-1,1354
10.523977994918823,-1,1354
10.523979902267456,-1,1354
10.524119853973389,1,66
10.524332046508789,1,66
10.524669885635376,-1,1354
10.60290002822876,-1,794
10.603047847747803,1,66
10.634201049804688,-1,66
10.634355068206787,1,1138
10.724739074707031,-1,1440
10.724897861480713,1,54
10.725797891616821,-1,1260
10.725931882858276,1,54
10.740732908248901,-1,1440
10.740846872329712,1,54
10.741524934768677,-1,1440
10.74163293838501,1,54
10.749263048171997,-1,1440
10.749398946762085,1,54
10.749773979187012,-1,1440
10.749901056289673,1,54
10.751231908798218,-1,1440
10.751368999481201,1,54
10.75407099723816,-1,1440
10.754072904586792,-1,1440
10.75420594215393,1,54
10.75435185432434,1,54
10.755472898483276,-1,1440
10.755545854568481,1,54
10.786442995071411,-1,66
10.786581039428711,1,602
10.83754587173462,-1,1440
10.837692975997925,1,54
10.838557958602905,-1,1440
10.838656902313232,1,54
10.839091062545776,-1,1440
10.839092016220093,-1,1440
10.839179039001465,1,54
10.83928394317627,1,54
10.839462041854858,1,590
10.853636980056763,-1,1440
10.85467004776001,-1,1440
10.854671955108643,-1,1440
10.854867935180664,1,54
10.855604887008667,-1,514
10.855779886245728,1,54
10.94464898109436,-1,66
10.944815874099731,1,1116
10.952502012252808,-1,1440
10.954355955123901,-1,56
10.970041990280151,-1,254
10.970263957977295,1,54
10.977931022644043,-1,1440
10.979984045028687,-1,1440
10.980145931243896,1,54
11.083659887313843,-1,1438
11.083921909332275,1,54
11.093344926834106,1,1354
11.093500852584839,1,386
11.095102071762085,-1,66
11.195585012435913,-1,1440
11.19648003578186,-1,1440
11.196678876876831,1,54
11.198431968688965,-1,902
11.19864296913147,1,54
11.199002027511597,1,590
11.208327054977417,-1,66
11.223964929580688,-1,1440
11.265966892242432,-1,1440
11.265969038009644,-1,1440
11.26623797416687,1,54
11.267102003097534,-1,1440
11.268429040908813,1,602
11.268862962722778,-1,1440
11.269042015075684,1,54
11.272568941116333,1,1354
11.272705078125,1,364
11.28586196899414,-1,1440
11.287009954452515,-1,1440
11.287168025970459,1,54
11.288450956344604,-1,1440
11.290718078613281,-1,1440
11.290719985961914,-1,1440
11.29072093963623,-1,1440
11.290721893310547,-1,1440
11.290722846984863,-1,1440
11.290921926498413,1,54
11.30293893814087,-1,1440
11.302940845489502,-1,1440
11.303437948226929,1,54
11.304183006286621,-1,1440
11.304790019989014,-1,1440
11.304791927337646,-1,1440
11.304964065551758,1,590
11.305938005447388,-1,1440
11.312602043151855,-1,690
11.312803030014038,1,54
11.31954288482666,-1,1440
11.31967306137085,1,54
11.320338010787964,-1,1440
11.320339918136597,-1,1440
11.32047986984253,1,54
11.38630485534668,-1,66
11.425364971160889,-1,66
11.427023887634277,-1,566
11.427135944366455,1,54
11.540473937988281,-1,1104
11.54047703742981,-1,1440
11.540785074234009,1,54
11.541075944900513,1,590
11.541656970977783,-1,1440
11.541697978973389,-1,1440
11.541862964630127,1,54
11.54274296760559,-1,1440
11.542914867401123,1,54
11.543565034866333,1,602
11.653725862503052,-1,1280
11.65402102470398,1,54
11.659532070159912,-1,602
11.659677982330322,1,1138
11.698580980300903,-1,56
11.71421504020691,-1,1440
11.768893957138062,-1,232
11.769139051437378,1,54
11.77202296257019,1,1104
11.80403184890747,-1,66
11.882200002670288,-1,590
11.882565021514893,1,590
11.886030912399292,-1,56
11.980036973953247,-1,1440
11.980040073394775,-1,1440
11.980301856994629,1,54
11.997391939163208,-1,924
11.997534036636353,1,590
12.061697959899902,-1,1440
12.110710859298706,-1,768
12.110869884490967,1,590
12.266783952713013,-1,56
15.087185859680176,1,602
15.243547916412354,-1,66
17.990159034729004,1,602
18.143966913223267,-1,66
18.864800930023193,-1,590
18.8649640083313,1,54
25.770840883255005,1,602
25.925354957580566,-1,66
26.280560970306396,1,590
26.39827299118042,-1,56
28.477694034576416,1,590
28.596044063568115,-1,56
28.74200701713562,-1,1104
28.74214792251587,1,54
28.756547927856445,1,590
28.870651960372925,-1,56
29.054101943969727,-1,1440
29.054105043411255,-1,1440
29.054264068603516,1,54
29.05448007583618,1,54
29.05483102798462,-1,902
29.054923057556152,1,54
29.055213928222656,1,590
29.080985069274902,-1,1440
29.08106303215027,1,54
29.08153796195984,-1,1440
29.081568002700806,1,54
29.135390043258667,-1,1440
29.135531902313232,1,54
29.136266946792603,-1,1440
29.136268854141235,-1,1440
29.13633704185486,1,54
29.136412858963013,1,54
29.138258934020996,-1,1440
29.13831090927124,1,54
29.151943922042847,-1,1440
29.152061939239502,1,54
29.167356967926025,-1,1440
29.167358875274658,-1,1440
29.167360067367554,-1,1440
29.16736102104187,-1,1440
29.167469024658203,1,54
29.167850017547607,1,54
29.168081045150757,-1,1440
29.16808295249939,-1,1440
29.168174982070923,1,54
29.168328046798706,1,54
29.169214963912964,-1,56
29.16935706138611,1,590
29.1939480304718,-1,1440
29.19407296180725,1,1126
29.194753885269165,-1,1440
29.19475507736206,-1,1440
29.1948139667511,1,54
29.194907903671265,1,54
29.196858882904053,-1,1440
29.196918964385986,1,54
29.248488903045654,-1,1440
29.248630046844482,1,54
29.249523878097534,-1,1440
29.249526023864746,-1,1440
29.2495858669281,-1,1440
29.249587059020996,-1,1440
29.249588012695312,-1,1440
29.249624967575073,1,54
29.249796867370605,1,54
29.250853061676025,-1,1440
29.251550912857056,-1,1440
29.25176191329956,1,590
29.264904022216797,-1,1440
29.264906883239746,-1,1440
29.26526403427124,1,590
29.280431985855103,-1,1440
29.28043484687805,-1,1440
29.280436992645264,-1,1440
29.28043794631958,-1,1440
29.280438899993896,-1,1440
29.280516862869263,-1,1440
29.280518054962158,-1,1440
29.280519008636475,-1,1440
29.280937910079956,1,54
29.281625986099243,-1,1440
29.281627893447876,-1,1440
29.281630039215088,-1,1440
29.28182888031006,1,590
29.2833149433136,-1,1440
29.283478021621704,1,54
29.30699586868286,-1,1440
29.307151079177856,1,590
29.308340072631836,-1,1440
29.30834197998047,-1,1440
29.3083438873291,-1,1440
29.308345079421997,-1,1440
29.308556079864502,1,54
29.309553861618042,-1,1440
29.309556007385254,-1,1440
29.309722900390625,1,54
29.311158895492554,-1,1440
29.311398029327393,1,54
29.361468076705933,-1,1440
29.36209201812744,-1,1440
29.362093925476074,-1,1440
29.36224889755249,-1,1440
29.362251043319702,-1,1440
29.36225199699402,-1,1440
29.36225390434265,-1,1440
29.362254858016968,-1,1440
29.362256050109863,-1,1440
29.36232590675354,1,590
29.362329959869385,-1,1440
29.3623309135437,-1,1440
29.36255192756653,1,54
29.363035917282104,-1,1440
29.363213062286377,1,54
29.364856958389282,-1,1440
29.364994049072266,1,590
29.365609884262085,-1,1440
29.365612030029297,-1,1440
29.366023063659668,1,54
29.367323875427246,-1,1440
29.36907386779785,1,54
29.378798007965088,-1,1440
29.378800868988037,-1,1440
29.37880301475525,-1,1440
29.378936052322388,1,54
29.37913990020752,1,54
29.380615949630737,-1,1440
29.38073706626892,1,54
29.393792867660522,-1,1440
29.39578604698181,-1,1440
29.395787954330444,-1,1440
29.39578890800476,-1,1440
29.395791053771973,-1,1440
29.39579200744629,-1,1440
29.395792961120605,-1,1440
29.395793914794922,-1,1440
29.395796060562134,-1,1440
29.39579701423645,-1,1440
29.395797967910767,-1,1440
29.395798921585083,-1,1440
29.395801067352295,-1,1440
29.39580202102661,-1,1440
29.395803928375244,-1,1440
29.39580488204956,-1,1440
29.395806074142456,-1,1440
29.39580798149109,-1,1440
29.395808935165405,-1,1440
29.39580988883972,-1,1440
29.395811080932617,-1,1440
29.3960919380188,1,1104
29.396235942840576,-1,1440
29.396236896514893,-1,1440
29.396302938461304,1,54
29.397655963897705,-1,222
29.3977689743042,1,54
29.421701908111572,-1,1440
29.42178702354431,1,54
29.42348003387451,-1,1440
29.423480987548828,-1,1440
29.423481941223145,-1,1440
29.42348289489746,-1,1440
29.423483848571777,-1,1440
29.423485040664673,-1,1440
29.423485040664673,-1,1440
29.42348599433899,-1,1440
29.423486948013306,-1,1440
29.423487901687622,-1,1440
29.42348885536194,-1,1440
29.423490047454834,-1,1440
29.42349100112915,-1,1440
29.423671007156372,1,1104
29.42375087738037,-1,1440
29.425368070602417,-1,1440
29.42541193962097,1,54
29.43217706680298,1,1440
29.432178020477295,1,1440
29.432178020477295,1,1440
29.432188987731934,1,502
29.432199001312256,1,1440
29.432199001312256,1,1440
29.432204008102417,1,1352
29.432213068008423,1,1440
29.43221402168274,1,1440
29.4322190284729,1,516
29.433254957199097,1,1440
29.433254957199097,1,1440
29.433259963989258,1,1352
29.433275938034058,1,1440
29.433275938034058,1,1440
29.433287858963013,1,966
29.43437385559082,1,1440
29.43437385559082,1,1440
29.43437886238098,1,1352
29.434387922286987,1,1440
29.434388875961304,1,1440
29.434391021728516,1,1352
29.434398889541626,1,1440
29.434401035308838,1,1388
29.435778856277466,1,1440
29.43578004837036,1,1440
29.43578600883484,1,388
29.47505807876587,-1,1440
29.475157976150513,1,54
29.47637391090393,-1,1440
29.476376056671143,-1,1440
29.47637701034546,-1,1440
29.476377964019775,-1,1440
29.476379871368408,-1,1440
29.476381063461304,-1,1440
29.476382970809937,-1,1440
29.476383924484253,-1,1440
29.47638487815857,-1,1440
29.476386070251465,-1,1440
29.476508855819702,1,54
29.477885961532593,-1,1440
29.477978944778442,1,590
29.509994983673096,-1,56
29.511250019073486,-1,1154
29.511335849761963,1,54
29.54724907875061,-1,56
29.547250986099243,-1,56
29.5498628616333,-1,56
29.549865007400513,-1,56
29.549865007400513,-1,56
29.54986596107483,-1,56
29.549866914749146,-1,56
29.549867868423462,-1,56
29.549867868423462,-1,56
29.549869060516357,-1,56
29.549869060516357,-1,56
29.549870014190674,-1,56
29.550524950027466,-1,56
29.587777853012085,-1,56
29.589859008789062,-1,1354
29.589860916137695,-1,1354
29.58986186981201,-1,1354
29.589864015579224,-1,272
29.589864015579224,-1,1354
29.589865922927856,-1,1354
29.589866876602173,-1,1354
29.58986806869507,-1,1354
29.5898699760437,-1,1354
29.589870929718018,-1,1354
29.59000301361084,1,66
29.590229034423828,1,66
29.590415954589844,1,602
29.612716913223267,-1,1440
29.612879037857056,1,54
29.61447787284851,-1,1440
29.614480018615723,-1,1440
29.614481925964355,-1,1440
29.614482879638672,-1,1440
29.61469006538391,1,54
29.624616861343384,-1,1414
29.624831914901733,1,54
29.63467001914978,-1,1440
29.63467288017273,-1,1440
29.634674072265625,-1,1440
29.634675979614258,-1,1440
29.634933948516846,1,54
29.635200023651123,1,590
29.636280059814453,-1,1440
29.636281967163086,-1,1440
29.63628387451172,-1,1440
