delta_time,direction,length
0.0,-1,56
1.1690089702606201,1,602
1.3168199062347412,-1,66
6.312685966491699,1,590
6.4265830516815186,-1,56
6.584652900695801,1,602
6.584743976593018,1,590
6.68641996383667,-1,590
6.686520099639893,1,54
6.694952011108398,-1,56
6.695101976394653,1,1104
6.69937801361084,-1,602
6.6995320320129395,1,66
6.7003889083862305,1,602
6.7954230308532715,-1,590
6.795587062835693,1,54
6.804080009460449,-1,56
6.804203033447266,1,590
6.832956075668335,-1,602
6.8331310749053955,1,66
6.83426308631897,1,602
6.9127888679504395,-1,56
6.985878944396973,-1,66
7.005851984024048,-1,602
7.005982875823975,1,66
7.006922006607056,1,602
7.0997068881988525,-1,1436
7.0997090339660645,-1,750
7.099858999252319,1,54
7.12473201751709,-1,1436
7.124733924865723,-1,1436
7.124736070632935,-1,1436
7.124888896942139,1,54
7.125127077102661,1,54
7.15610408782959,-1,66
7.16194486618042,-1,602
7.162070989608765,1,66
7.162429094314575,1,602
7.208796977996826,-1,1114
7.209057092666626,1,54
7.214468955993652,1,590
7.306762933731079,-1,66
7.323845863342285,-1,56
7.3239970207214355,1,590
7.4337639808654785,-1,56
7.565547943115234,1,590
7.611228942871094,-1,590
7.6113340854644775,1,54
7.674032926559448,-1,56
7.720223903656006,-1,1126
7.7203528881073,1,54
7.7214109897613525,1,590
7.830667018890381,-1,56
7.830826044082642,1,590
7.850423097610474,-1,590
7.850519895553589,1,54
7.981968879699707,-1,56
7.9820990562438965,1,590
8.044874906539917,-1,590
8.045012950897217,1,54
8.09119701385498,-1,56
8.091350078582764,1,590
8.153723001480103,-1,1126
8.153848886489868,1,54
8.156702041625977,1,1436
8.15682601928711,1,258
8.202538967132568,-1,56
8.265876054763794,-1,56
8.308113098144531,-1,590
8.308254957199097,1,54
8.308670997619629,1,590
8.419771909713745,-1,56
8.419774055480957,-1,1436
8.41977596282959,-1,1436
8.419776916503906,-1,910
8.419936895370483,1,54
8.420154094696045,1,54
8.444457054138184,-1,1436
8.444598913192749,1,54
8.529083013534546,-1,1286
8.529211044311523,1,54
8.532837867736816,1,590
8.638915061950684,-1,590
8.639050960540771,1,590
8.685760974884033,-1,56
8.748260974884033,-1,56
8.748409986495972,1,590
8.851844072341919,-1,1104
8.851998090744019,1,54
8.858690023422241,-1,56
8.858802080154419,1,590
8.965795040130615,-1,590
8.966017007827759,1,54
8.96710205078125,-1,56
8.967197895050049,1,590
9.069458961486816,-1,1436
9.06946086883545,-1,1436
9.069706916809082,1,54
9.074792861938477,-1,396
9.074932098388672,1,54
9.076263904571533,-1,56
9.122660875320435,1,590
9.183489084243774,-1,590
