delta_time,direction,length
0.0,0,590
0.050134897232055664,0,54
1.5728299617767334,1,590
1.7422289848327637,-1,56
4.236992835998535,0,590
4.293109893798828,0,56
4.504838943481445,0,590
4.509363889694214,0,1104
4.521355867385864,0,56
4.811899900436401,0,1440
4.811899900436401,0,1440
4.812247037887573,0,54
4.812445878982544,0,902
4.862596035003662,0,54
4.874459981918335,0,1104
4.919081926345825,0,1440
4.9193010330200195,0,54
4.9310619831085205,0,746
4.965912818908691,0,590
4.9660868644714355,1,590
4.97545599937439,0,1440
4.97545599937439,0,254
4.97783899307251,0,56
4.979442834854126,0,590
4.988240003585815,0,66
4.988240003585815,0,56
4.988348007202148,0,590
5.040453910827637,0,56
5.064000844955444,-1,590
5.066352844238281,1,590
5.149571895599365,0,1104
5.15131402015686,0,590
5.163290023803711,0,56
5.20048189163208,-1,56
5.220672845840454,-1,590
5.223956823348999,1,590
5.313808917999268,0,1440
5.31425404548645,0,232
5.314502000808716,0,54
5.358628034591675,-1,56
5.395216941833496,0,1440
5.395869016647339,0,1440
5.395869016647339,0,902
5.39596700668335,0,54
5.438632965087891,-1,590
5.439838886260986,1,590
5.490023851394653,0,1440
5.490023851394653,0,1440
5.490171909332275,0,54
5.490363836288452,0,1352
5.49065899848938,0,590
5.502307891845703,0,140
5.519366025924683,0,1440
5.519711017608643,0,54
5.520143985748291,0,1440
5.532192945480347,0,902
5.5324790477752686,0,54
5.565668821334839,0,590
5.576481819152832,-1,56
5.598767042160034,0,1440
5.599134922027588,0,1126
5.59970498085022,0,1440
5.59970498085022,0,902
5.5998618602752686,0,54
5.627285003662109,0,1440
5.627285003662109,0,1440
5.6274988651275635,0,54
5.628589868545532,0,1352
5.646018028259277,-1,590
5.646694898605347,1,590
5.675811052322388,0,1440
5.675811052322388,0,1440
5.675811052322388,0,1440
5.676264047622681,0,54
5.676864862442017,0,590
5.692806959152222,0,138
5.716311931610107,0,1440
5.716591835021973,0,1126
5.716740846633911,0,1440
5.7168848514556885,0,54
5.72871994972229,0,902
5.7289299964904785,0,590
5.7290849685668945,0,1440
5.7290849685668945,0,1440
5.729265928268433,0,54
5.74190092086792,0,1438
5.7436840534210205,0,1440
5.74386191368103,0,54
