delta_time,direction,length
0.0,-1,602
0.000247955322265625,1,66
1.8593099117279053,1,1440
1.8593339920043945,1,770
1.9759140014648438,-1,66
2.0585200786590576,-1,602
2.0588409900665283,1,66
2.089205026626587,-1,602
2.08939790725708,1,66
2.095155954360962,1,1116
2.2122159004211426,-1,66
2.244040012359619,-1,1440
2.2441999912261963,1,66
2.244338035583496,-1,1440
2.2444050312042236,1,66
2.24536395072937,-1,938
2.2454118728637695,1,66
2.258791923522949,-1,1440
2.25886607170105,1,66
2.259165048599243,-1,1440
2.2592029571533203,1,66
2.362628936767578,-1,446
2.362722873687744,1,66
2.3685028553009033,1,602
2.4053750038146973,1,1440
2.4053990840911865,1,278
2.405440092086792,1,566
2.405440092086792,1,566
2.405440092086792,1,566
2.4054410457611084,1,130
2.520782947540283,-1,66
2.5227210521698,-1,1116
2.52280592918396,1,66
2.5232009887695312,1,602
2.5676698684692383,-1,66
2.6165239810943604,-1,602
2.6166629791259766,1,66
2.6178970336914062,1,566
2.6179239749908447,1,102
2.6399829387664795,-1,1138
2.640126943588257,1,66
2.696613073348999,-1,66
2.696794033050537,1,602
2.735701084136963,-1,1440
2.7358810901641846,1,66
2.743406057357788,-1,66
2.7551779747009277,-1,770
2.7552969455718994,1,66
2.7564098834991455,-1,1440
2.7564730644226074,1,66
2.7570559978485107,-1,1440
2.7570979595184326,1,66
2.7735979557037354,-1,1440
2.773714065551758,1,66
2.7738778591156006,-1,1440
2.7739319801330566,1,66
2.7746589183807373,-1,1440
2.7747020721435547,1,66
2.777060031890869,-1,1440
2.777513027191162,1,66
2.778630018234253,-1,1440
2.7789289951324463,1,602
2.8059449195861816,-1,602
2.806035041809082,1,66
2.8065109252929688,1,566
2.806528091430664,1,102
2.813709020614624,-1,66
2.835265874862671,-1,1440
2.8511240482330322,-1,1440
2.8512039184570312,1,1138
2.853116035461426,-1,1440
2.853163957595825,1,66
2.8706769943237305,-1,1440
2.8706789016723633,-1,1440
2.8708090782165527,1,66
2.8710579872131348,-1,1440
2.8723549842834473,-1,1440
2.8724708557128906,1,66
2.8727009296417236,-1,1440
2.874269962310791,-1,1440
2.8743090629577637,1,66
2.888551950454712,-1,1440
2.8899269104003906,-1,1440
2.890007972717285,1,1116
2.8903980255126953,-1,1440
2.890399932861328,-1,1440
2.8904008865356445,-1,1440
2.8904800415039062,1,66
2.891834020614624,-1,1440
2.8919429779052734,1,66
2.8927619457244873,-1,1440
2.8938100337982178,-1,1440
2.8938710689544678,1,602
2.896172046661377,-1,1322
2.89621901512146,1,66
2.8977138996124268,-1,1440
2.9289538860321045,-1,66
2.966521978378296,-1,1440
2.9667580127716064,1,1138
2.966878890991211,-1,1440
2.966881036758423,-1,1440
2.9669599533081055,1,66
2.969619035720825,-1,1440
2.9696199893951416,-1,1440
2.9697020053863525,1,66
2.970021963119507,-1,1440
2.9700679779052734,1,602
2.979733943939209,-1,602
2.979768991470337,1,66
2.9800679683685303,1,566
2.9800779819488525,1,102
2.9854190349578857,-1,1440
2.9860899448394775,-1,1440
2.9861578941345215,1,66
3.010986089706421,-1,66
3.0128979682922363,-1,146
3.013033866882324,1,66
3.0872039794921875,-1,66
3.104814052581787,-1,66
3.126340866088867,-1,1116
3.1265289783477783,1,66
3.126771926879883,1,66
3.128822088241577,1,1116
3.1301419734954834,-1,602
3.130250930786133,1,66
3.157655954360962,-1,1440
3.157979965209961,1,66
3.159888982772827,1,1440
3.159916877746582,1,278
3.249464988708496,-1,1328
3.249851942062378,1,66
3.2503318786621094,1,566
3.250365972518921,1,102
3.2530510425567627,1,1440
3.2531368732452393,1,792
3.275240898132324,-1,78
3.275244951248169,-1,66
3.345618963241577,-1,602
3.3459930419921875,1,1116
3.368480920791626,-1,66
