delta_time,direction,length
0.0,-1,602
0.00024509429931640625,1,66
1.72953200340271,1,590
1.835914134979248,-1,56
2.7137200832366943,1,590
2.8239011764526367,-1,56
3.6593480110168457,1,590
3.6594510078430176,1,602
3.7676570415496826,-1,56
3.7706491947174072,-1,590
3.770766019821167,1,54
3.7717862129211426,1,590
3.7857680320739746,-1,602
3.7858951091766357,1,66
3.786785125732422,1,602
3.913372039794922,-1,590
3.913539171218872,1,54
3.9148991107940674,1,590
3.934267044067383,-1,66
3.9450690746307373,-1,602
3.945207118988037,1,66
3.946672201156616,1,602
4.020414113998413,-1,590
4.020565032958984,1,54
4.067755222320557,-1,56
4.068427085876465,1,1104
4.095872163772583,-1,66
4.126893043518066,-1,590
4.127026081085205,1,54
4.1717751026153564,-1,602
4.171934127807617,1,66
4.172658205032349,1,602
4.174890041351318,-1,56
4.175028085708618,1,590
4.247411012649536,-1,1440
4.2474141120910645,-1,1440
4.247563123703003,1,54
4.247776031494141,1,54
4.248307228088379,-1,1352
4.248417139053345,1,54
4.263674020767212,-1,1440
4.263819217681885,1,54
4.281330108642578,-1,56
4.326671123504639,-1,66
4.350227117538452,-1,1440
4.350369215011597,1,54
4.355131149291992,-1,496
4.355262041091919,1,54
4.355581045150757,1,590
4.388331174850464,-1,602
4.388478994369507,1,66
4.388801097869873,1,602
4.4616711139678955,-1,56
4.4618330001831055,1,1126
4.535696029663086,-1,66
4.568308115005493,-1,56
4.64735221862793,-1,590
4.647496223449707,1,54
4.64838719367981,1,590
4.75540018081665,-1,56
4.821606159210205,-1,1440
4.821609020233154,-1,232
4.821763038635254,1,54
4.8377790451049805,-1,1440
4.8379151821136475,1,54
4.839700222015381,-1,1440
4.83970308303833,-1,1440
4.8397040367126465,-1,1440
4.839706182479858,-1,1440
4.839848041534424,1,54
4.84592604637146,1,54
4.853848218917847,-1,1440
4.8538501262664795,-1,1440
4.853909015655518,1,54
4.854083061218262,1,54
4.854172229766846,1,590
4.898465156555176,-1,1440
4.8985960483551025,1,54
4.903625011444092,1,1440
4.903645038604736,1,254
4.928436994552612,-1,1440
4.928516149520874,1,54
4.928718090057373,-1,1440
4.9287190437316895,-1,1440
4.9287190437316895,-1,1440
4.92876410484314,1,54
4.9439451694488525,-1,1440
4.943946123123169,-1,1440
4.944050073623657,1,54
4.945772171020508,-1,1440
4.945774078369141,-1,1440
4.9458770751953125,1,54
4.9460320472717285,-1,1440
4.946033000946045,-1,1440
4.946091175079346,1,54
4.946158170700073,-1,1440
4.94615912437439,-1,1440
4.946160078048706,-1,1440
4.946214199066162,1,590
4.946235179901123,-1,1440
4.9462621212005615,1,54
4.950262069702148,1,1440
