delta_time,direction,length
0.0,1,78
0.006938934326171875,1,78
0.12015581130981445,-1,66
0.12015795707702637,-1,74
0.1202850341796875,1,54
0.12035393714904785,1,66
0.12090492248535156,1,571
0.12138485908508301,1,583
0.2287299633026123,-1,56
0.23128104209899902,-1,1221
0.2314310073852539,1,54
0.23482394218444824,1,134
0.23749494552612305,-1,1236
0.23762893676757812,1,66
0.23900985717773438,1,146
0.3535149097442627,-1,145
0.35367488861083984,1,99
0.35958099365234375,-1,133
0.35975193977355957,1,87
0.4670538902282715,-1,133
0.46720099449157715,1,54
0.4676649570465088,-1,145
0.4677848815917969,1,66
0.4695138931274414,-1,1354
0.4696500301361084,1,66
0.4714930057525635,-1,1436
0.47163891792297363,1,54
0.5743520259857178,-1,718
0.5744929313659668,1,54
0.576542854309082,1,1436
0.5768928527832031,1,1264
0.5855398178100586,-1,827
0.5856869220733643,1,66
0.5875270366668701,1,1354
0.5875828266143799,1,856
0.6838228702545166,-1,56
0.6867518424987793,-1,1436
0.6867530345916748,-1,750
0.6868669986724854,1,54
0.6875748634338379,1,1436
0.6875970363616943,1,750
0.7021098136901855,-1,66
0.7090089321136475,-1,1354
0.7090120315551758,-1,342
0.709143877029419,1,66
0.7097609043121338,1,1354
0.7097859382629395,1,342
0.7961149215698242,-1,56
0.8159749507904053,-1,1104
0.8161020278930664,1,54
0.816957950592041,1,1104
0.8244860172271729,-1,66
0.8661658763885498,-1,602
0.8663458824157715,1,66
0.8670909404754639,1,602
0.9234130382537842,-1,1126
0.9235289096832275,1,54
0.968329906463623,-1,56
0.9684839248657227,1,1104
0.9805338382720947,-1,1138
0.9806740283966064,1,66
1.0014829635620117,1,1354
1.0015230178833008,1,364
1.0224089622497559,-1,66
1.0303409099578857,-1,1126
1.030444860458374,1,54
1.0753929615020752,-1,56
1.0756149291992188,1,590
1.0947039127349854,-1,602
1.0947890281677246,1,66
1.1156020164489746,-1,66
1.11568284034729,1,602
1.1827149391174316,-1,56
1.2098238468170166,-1,1138
1.2099649906158447,1,66
1.2404320240020752,-1,590
1.2405669689178467,1,54
1.2407498359680176,1,590
1.2698988914489746,-1,66
1.270028829574585,1,1116
1.3248460292816162,-1,602
1.3250038623809814,1,66
1.3476688861846924,-1,590
1.3476710319519043,-1,56
1.347795009613037,1,54
1.3482599258422852,1,590
1.4202799797058105,-1,66
1.420423984527588,1,602
1.4446380138397217,-1,602
1.4447150230407715,1,66
1.454563856124878,-1,590
1.4546740055084229,1,590
1.455474853515625,-1,56
1.5589818954467773,-1,602
1.5591349601745605,1,602
1.5614268779754639,-1,56
1.5615630149841309,1,590
1.6662929058074951,-1,590
1.666429042816162,1,54
1.6682498455047607,-1,56
1.6683619022369385,1,590
1.6732189655303955,-1,602
1.6733520030975342,1,602
1.7772858142852783,-1,1126
1.777289867401123,-1,56
1.7774748802185059,1,54
1.7784128189086914,1,590
1.8197078704833984,-1,66
1.819875955581665,1,602
1.8867638111114502,-1,56
1.8868639469146729,1,1104
1.8960368633270264,-1,602
1.8961730003356934,1,66
1.971134901046753,-1,66
1.9938929080963135,-1,56
2.004619836807251,1,602
2.028808832168579,-1,1436
2.028810977935791,-1,1436
2.0288119316101074,-1,910
2.028939962387085,1,54
2.0290768146514893,1,54
2.04410982131958,-1,1436
2.0441129207611084,-1,1436
2.0442419052124023,1,54
2.044461965560913,1,54
2.0720648765563965,-1,602
2.07220196723938,1,66
2.136401891708374,-1,396
2.1365678310394287,1,54
2.1385200023651123,1,590
2.1508069038391113,-1,602
2.150859832763672,1,602
2.2795348167419434,-1,590
2.2796950340270996,1,590
2.300632953643799,-1,66
2.3007068634033203,1,602
2.386620044708252,-1,590
2.3867838382720947,1,54
2.3872218132019043,1,590
2.4505269527435303,-1,66
2.4627609252929688,-1,602
2.4628798961639404,1,66
2.463866949081421,1,602
2.4936509132385254,-1,590
2.49387788772583,1,54
2.54012393951416,-1,56
2.5524590015411377,-1,1436
2.6009469032287598,-1,236
2.6011710166931152,1,54
2.6080079078674316,-1,1436
2.6080098152160645,-1,1436
2.60801100730896,-1,1436
2.6080129146575928,-1,1436
2.608013868331909,-1,1436
2.6080148220062256,-1,1436
2.6080169677734375,-1,1436
2.608893871307373,1,54
2.6091649532318115,1,590
2.610252857208252,-1,66
2.6411428451538086,1,602
2.6633059978485107,-1,1436
2.7099568843841553,-1,1436
2.7099599838256836,-1,1436
2.7099609375,-1,1436
2.709962844848633,-1,1436
2.710171937942505,1,54
2.7175538539886475,-1,1436
2.717555046081543,-1,1436
2.717556953430176,-1,1436
2.717557907104492,-1,1436
2.7175588607788086,-1,1436
2.717559814453125,-1,1436
2.717561960220337,-1,1436
2.7175629138946533,-1,1436
2.717564821243286,-1,1436
2.7175660133361816,-1,1436
2.717566967010498,-1,1268
2.7177088260650635,1,54
2.7177889347076416,1,590
2.7189748287200928,-1,1436
2.7189760208129883,-1,1436
2.71903395652771,1,54
2.7269129753112793,-1,1436
2.7272589206695557,1,1354
2.7272748947143555,1,364
2.72892689704895,1,1354
2.7289350032806396,1,342
2.790505886077881,-1,66
2.793203830718994,-1,602
2.793252944946289,1,602
2.8184168338775635,-1,1436
2.818419933319092,-1,1436
2.818420886993408,-1,1436
2.81842303276062,-1,1436
2.8184239864349365,-1,1436
2.818424940109253,-1,1436
2.8184268474578857,-1,1436
2.818591833114624,1,54
2.8251359462738037,-1,758
2.8252439498901367,1,590
2.841235876083374,-1,66
2.843153953552246,-1,66
2.8700790405273438,-1,56
2.932724952697754,-1,590
2.9328668117523193,1,54
2.9353179931640625,1,1354
2.9354019165039062,1,878
2.939781904220581,-1,66
2.9712610244750977,-1,1436
2.975742816925049,1,1354
2.975850820541382,1,878
3.013408899307251,1,590
3.0397918224334717,-1,772
3.0399258136749268,1,54
3.040860891342163,1,1354
3.040869951248169,1,878
3.0494039058685303,-1,66
3.0900378227233887,-1,66
3.121940851211548,-1,1436
3.1219429969787598,-1,1436
3.121943950653076,-1,1436
3.122062921524048,1,54
3.122252941131592,1,54
3.1231839656829834,1,590
3.134636878967285,-1,1436
3.134639024734497,-1,1436
3.134840965270996,1,54
3.1469218730926514,-1,920
3.147068977355957,1,54
3.1513099670410156,1,1354
3.1513588428497314,1,364
3.1551339626312256,-1,66
3.1597139835357666,-1,1116
3.1598339080810547,1,1116
3.1653459072113037,-1,1436
3.1653478145599365,-1,1436
3.1653499603271484,-1,1436
3.165524959564209,1,54
3.1678519248962402,1,1354
3.1679298877716064,1,364
3.169184923171997,1,1354
3.1692099571228027,1,342
3.1795108318328857,-1,1436
3.1795129776000977,-1,1436
3.1795148849487305,-1,1436
3.179724931716919,1,54
