delta_time,direction,length
0.0,0,590
0.015028953552246094,0,56
0.18272805213928223,-1,590
0.22391915321350098,1,54
1.7868261337280273,0,590
1.8003079891204834,0,56
2.0260231494903564,0,590
2.0280539989471436,0,1104
2.046138048171997,0,56
2.232445001602173,0,1440
2.232445001602173,0,1440
2.2327980995178223,0,54
2.2340431213378906,0,902
2.282058000564575,0,54
2.294114112854004,0,590
2.297213077545166,0,590
2.3098440170288086,0,56
2.314411163330078,0,590
2.32633900642395,0,56
2.537490129470825,0,1104
2.5848751068115234,0,54
2.6074180603027344,0,1440
2.6074180603027344,0,746
2.6077630519866943,0,54
2.6846821308135986,1,590
2.684781074523926,0,590
2.696913003921509,0,56
2.698484182357788,0,590
2.699249029159546,0,590
2.751193046569824,0,56
2.7513010501861572,0,1104
2.7630460262298584,0,56
2.780812978744507,-1,590
2.7823870182037354,1,590
2.799546003341675,0,590
2.8026931285858154,0,590
2.855005979537964,0,56
2.8908309936523438,-1,590
2.8919801712036133,1,590
2.9125759601593018,0,590
2.913433074951172,0,590
2.925199031829834,0,56
2.959958076477051,0,1440
2.960210084915161,0,1440
2.960371971130371,0,54
2.960775136947632,0,1352
2.960775136947632,0,1440
2.960775136947632,0,1440
2.960775136947632,0,1440
2.960775136947632,0,1440
2.960775136947632,0,1440
2.961060047149658,0,54
2.961548089981079,0,590
2.9739129543304443,0,964
2.9930450916290283,-1,590
2.9930450916290283,-1,590
2.9930450916290283,-1,590
2.9930450916290283,-1,590
2.9935340881347656,1,54
2.993772029876709,-1,590
2.993772029876709,-1,590
2.99403715133667,1,54
2.9943790435791016,-1,458
2.995849132537842,-1,590
2.995849132537842,-1,590
2.995849132537842,-1,590
2.995849132537842,-1,524
2.9961981773376465,1,54
3.0008790493011475,-1,590
3.0011141300201416,1,54
3.01459002494812,0,56
3.0163509845733643,0,54
3.0276100635528564,0,590
3.0280749797821045,0,590
3.0402140617370605,0,56
3.0520100593566895,0,1440
3.052375078201294,0,1440
3.052467107772827,0,54
3.0527260303497314,0,902
3.0538010597229004,0,1440
3.053987979888916,0,54
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0552289485931396,0,1440
3.0555219650268555,0,54
3.055783987045288,0,590
3.0655930042266846,0,518
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.087913990020752,-1,590
3.0883350372314453,1,54
3.0884761810302734,-1,590
3.0884761810302734,-1,590
3.0885889530181885,1,54
3.0895869731903076,-1,590
3.0895869731903076,-1,590
3.089759111404419,1,54
3.0899510383605957,-1,590
3.0899510383605957,-1,590
3.0899510383605957,-1,590
3.0899510383605957,-1,590
3.0901010036468506,1,54
3.09053111076355,-1,590
3.0944581031799316,-1,590
3.0944581031799316,-1,590
