delta_time,direction,length
0.0,1,602
0.41190099716186523,-1,66
1.5383038520812988,-1,602
1.538672924041748,1,66
1.7135429382324219,1,602
2.0503220558166504,-1,66
2.3579928874969482,-1,1116
2.3582990169525146,1,66
2.36069393157959,1,1116
2.7671689987182617,-1,1440
2.767742872238159,-1,1440
2.767899990081787,1,66
2.768326997756958,-1,66
2.768976926803589,-1,1388
2.7690868377685547,1,66
2.884458065032959,-1,152
2.8847639560699463,1,66
2.8862810134887695,1,602
2.888123035430908,1,1440
2.8881800174713135,1,256
3.1767449378967285,-1,602
3.1769258975982666,1,66
3.6509130001068115,1,1440
3.996562957763672,-1,66
3.9967849254608154,1,792
4.064197063446045,-1,1116
4.064493894577026,1,66
4.40559983253479,-1,1440
4.4058098793029785,-1,1284
4.405988931655884,1,66
4.406185865402222,-1,66
4.471407890319824,1,1440
4.471442937850952,1,256
4.815589904785156,-1,78
4.815593004226685,-1,66
4.81578803062439,1,602
4.903915882110596,-1,1440
4.904228925704956,-1,1440
4.90438985824585,1,66
4.905534029006958,-1,1388
4.905535936355591,-1,1440
4.905757904052734,1,66
4.90678596496582,-1,1440
4.906787872314453,-1,1440
4.906790018081665,-1,1440
4.9067909717559814,-1,1440
4.906793832778931,-1,1440
4.906795978546143,-1,1440
4.906991004943848,1,66
4.907251834869385,1,602
4.965105056762695,-1,1440
4.965304851531982,1,66
4.965703964233398,-1,1440
4.9657838344573975,1,66
4.966497898101807,-1,938
4.966562032699585,1,66
4.980780839920044,-1,1440
4.980783939361572,-1,1440
4.980953931808472,1,66
4.981114864349365,1,66
4.982133865356445,-1,1440
4.982254981994629,1,66
5.008055925369263,-1,1440
5.008198022842407,1,66
5.008326053619385,-1,1440
5.0083818435668945,1,66
5.009433031082153,-1,1440
5.009506940841675,1,66
5.020596981048584,-1,1440
5.020936965942383,-1,1440
5.021062850952148,1,66
5.021472930908203,-1,1440
5.021474838256836,-1,1440
5.021673917770386,1,66
5.022969961166382,-1,1440
5.022971868515015,-1,1440
5.022974014282227,-1,1440
5.022975921630859,-1,1440
5.022976875305176,-1,1440
5.022979974746704,-1,1440
5.0229809284210205,-1,1440
5.022982835769653,-1,1440
5.022984981536865,-1,1440
5.022985935211182,-1,1440
5.023154973983765,1,66
5.024173974990845,-1,1440
5.024174928665161,-1,1440
5.0241758823394775,-1,1006
5.024176836013794,-1,66
5.0241780281066895,-1,1440
5.024178981781006,-1,1440
5.024217844009399,1,602
5.02424693107605,1,66
5.024486064910889,-1,1440
5.024951934814453,-1,1440
5.025048017501831,1,66
5.0796568393707275,1,1440
5.079681873321533,1,256
5.136958837509155,-1,1440
5.136960029602051,-1,1440
5.137115955352783,1,602
5.141005039215088,-1,1440
5.141005992889404,-1,1440
5.141006946563721,-1,1440
5.141006946563721,-1,1440
5.1410088539123535,-1,66
5.1410088539123535,-1,1440
5.141010046005249,-1,1440
5.141010999679565,-1,1440
5.141010999679565,-1,1440
5.141011953353882,-1,1440
5.141011953353882,-1,1440
5.141012907028198,-1,1440
5.141013860702515,-1,1440
5.141013860702515,-1,1440
5.14101505279541,-1,1440
5.14101505279541,-1,1440
5.141016006469727,-1,1440
5.141016960144043,-1,1440
5.141016960144043,-1,1088
5.141017913818359,-1,1440
5.141018867492676,-1,1440
5.141018867492676,-1,1440
5.141020059585571,-1,1440
5.141020059585571,-1,1440
5.141268014907837,1,1116
5.148566961288452,-1,1440
5.148566961288452,-1,1440
5.1485679149627686,-1,1440
5.148568868637085,-1,1440
5.1485700607299805,-1,1440
5.1485700607299805,-1,1440
5.148571014404297,-1,1440
5.148571968078613,-1,1440
5.148571968078613,-1,1440
5.14857292175293,-1,1440
5.148573875427246,-1,1440
5.148573875427246,-1,1440
5.148575067520142,-1,1440
5.148576021194458,-1,1440
5.148576021194458,-1,1440
5.148777008056641,1,1116
5.252084970474243,-1,1440
5.252171993255615,1,66
5.252509832382202,-1,1440
5.252511024475098,-1,1440
5.2525739669799805,1,66
5.253664016723633,-1,1440
5.253772020339966,1,66
5.257020950317383,-1,1440
5.257066965103149,1,66
5.25755500793457,-1,1440
5.257555961608887,-1,1440
5.2576680183410645,1,66
5.259155035018921,-1,1440
5.259155988693237,-1,1440
5.259156942367554,-1,1440
5.25915789604187,-1,1440
5.2591588497161865,-1,1440
5.259160041809082,-1,1440
