delta_time,direction,length
0.0,-1,590
0.000141143798828125,1,54
2.233875036239624,1,602
2.3930680751800537,-1,66
2.412598133087158,-1,590
2.4127371311187744,1,54
2.414494037628174,1,1116
2.5060360431671143,1,590
2.5630040168762207,-1,66
2.563141107559204,1,602
2.5715749263763428,-1,1440
2.5715770721435547,-1,1440
2.571716070175171,1,54
2.571881055831909,1,54
2.5725669860839844,-1,902
2.5726511478424072,1,54
2.65480899810791,-1,56
2.680280923843384,-1,1126
2.680284023284912,-1,602
2.6804280281066895,1,54
2.680591106414795,1,66
2.6816370487213135,1,590
2.6839780807495117,1,602
2.7902350425720215,-1,56
2.8325250148773193,-1,66
2.832685947418213,1,1116
2.8540279865264893,-1,602
2.8541600704193115,1,66
2.9184751510620117,-1,590
2.9186389446258545,1,54
2.920135021209717,1,590
2.98291015625,-1,66
2.983067035675049,1,602
3.0177929401397705,-1,1440
3.0177950859069824,-1,1440
3.0179519653320312,1,54
3.018325090408325,1,54
3.0262510776519775,-1,924
3.0264580249786377,1,54
3.028109073638916,-1,56
3.131376028060913,-1,66
3.131535053253174,1,1116
3.1333670616149902,-1,590
3.1334829330444336,1,54
3.133754014968872,1,590
3.188015937805176,-1,602
3.1881420612335205,1,66
3.240726947784424,-1,56
3.281759023666382,-1,66
3.2819111347198486,1,602
3.2954230308532715,-1,590
3.295630931854248,1,54
3.2958920001983643,1,590
3.333739995956421,-1,1440
3.334459066390991,-1,1440
3.334650993347168,1,54
3.33634614944458,-1,1440
3.336348056793213,-1,1440
3.3363490104675293,-1,1440
3.3366191387176514,1,54
3.3483989238739014,-1,1440
3.3484020233154297,-1,1440
3.3486270904541016,1,54
3.349961042404175,-1,1440
3.3573191165924072,-1,1354
3.3573219776153564,-1,1354
3.3574700355529785,1,66
3.357732057571411,1,66
3.358086109161377,-1,1110
3.3580880165100098,-1,1440
3.3581960201263428,1,66
3.358469009399414,1,54
3.3593709468841553,-1,1354
3.359466075897217,1,66
3.3598639965057373,-1,1354
3.359934091567993,1,66
3.3684210777282715,-1,1354
3.3684239387512207,-1,1354
3.3685450553894043,1,66
3.368730068206787,1,66
3.369400978088379,-1,1354
3.369508981704712,1,66
3.3931961059570312,-1,1354
3.3931989669799805,-1,1354
3.3933160305023193,1,66
3.3935000896453857,1,66
3.393578052520752,-1,1354
3.393679141998291,1,66
3.401637077331543,-1,1440
3.402578115463257,-1,1440
3.4027271270751953,1,590
3.4032199382781982,-1,56
3.432173013687134,-1,630
3.43231201171875,1,66
3.4416730403900146,-1,1440
3.449799060821533,-1,1440
3.449800968170166,-1,1440
3.4498019218444824,-1,1440
3.449976921081543,1,54
3.45163893699646,-1,1440
3.4516420364379883,-1,1440
3.4516429901123047,-1,1440
3.4516501426696777,-1,1440
3.4516520500183105,-1,1440
3.451653003692627,-1,1440
3.4519240856170654,1,54
3.4548559188842773,-1,1440
3.4548590183258057,-1,1440
3.454859972000122,-1,1440
3.455575942993164,-1,1440
3.4593050479888916,1,590
3.4646100997924805,-1,1440
3.4646120071411133,-1,1440
3.4646129608154297,-1,1440
3.464843988418579,1,54
3.4653849601745605,-1,1440
3.466586112976074,1,54
3.4723451137542725,-1,1354
3.4723470211029053,-1,1354
3.472438097000122,1,66
3.472536087036133,1,66
3.4728000164031982,-1,1354
3.4728009700775146,-1,1354
3.472801923751831,-1,1354
3.4728379249572754,1,66
3.472907066345215,1,66
3.473006010055542,1,602
3.473865032196045,-1,1354
3.4738879203796387,1,66
3.4750759601593018,-1,1354
3.4750759601593018,-1,1354
3.475114107131958,1,66
3.4751880168914795,1,66
3.4770169258117676,-1,1354
3.4829771518707275,-1,1354
3.482978105545044,-1,1354
3.482978105545044,-1,1354
3.4829790592193604,-1,1354
3.483030080795288,1,66
3.4831111431121826,1,66
3.483225107192993,-1,1354
3.484415054321289,-1,1354
3.4844610691070557,1,66
3.4966390132904053,1,1354
3.496640920639038,1,1354
3.496640920639038,1,1354
3.496662139892578,1,808
3.5077171325683594,-1,1354
3.507718086242676,-1,1354
3.507719039916992,-1,1354
3.507781982421875,1,152
3.5078699588775635,1,66
3.508404016494751,-1,1354
3.5104260444641113,-1,1440
3.5104269981384277,-1,1440
3.5104291439056396,-1,1440
3.510430097579956,-1,1440
3.5104310512542725,-1,1354
3.510524034500122,1,54
3.510591983795166,1,602
3.510617971420288,1,54
3.5552139282226562,-1,1354
3.5553770065307617,1,66
3.555840015411377,-1,1440
3.5558419227600098,-1,1440
3.5558431148529053,-1,1440
3.555845022201538,-1,1440
3.5558459758758545,-1,1440
3.555938959121704,-1,1440
3.555941104888916,-1,1440
3.5559680461883545,1,590
3.5559990406036377,1,54
3.556648015975952,-1,1440
3.556678056716919,1,54
3.5574469566345215,-1,1440
3.5593819618225098,-1,1440
3.5593831539154053,-1,1440
3.5593841075897217,-1,1440
3.559385061264038,-1,1440
3.5593860149383545,-1,1440
3.5593860149383545,-1,1440
3.559386968612671,-1,1440
3.5593879222869873,-1,1440
3.559389114379883,-1,1440
3.559390068054199,-1,1440
3.5593910217285156,-1,1440
3.5595030784606934,1,1126
3.5657079219818115,-1,1440
3.565709114074707,-1,1440
3.5657100677490234,-1,1440
3.56571102142334,-1,1440
3.565765142440796,1,54
3.5658230781555176,1,54
3.566664934158325,-1,1440
3.5666661262512207,-1,488
3.5667450428009033,1,54
3.5688390731811523,-1,1440
3.570742130279541,-1,1440
3.5708470344543457,1,54
3.5709240436553955,1,1354
3.5709259510040283,1,364
3.5791101455688477,-1,1440
3.5797319412231445,-1,1440
3.5798110961914062,1,54
3.58113694190979,-1,1440
3.586893081665039,-1,1354
3.588360071182251,-1,1354
3.5884270668029785,1,66
3.589066982269287,-1,1354
3.5891311168670654,1,66
3.5901219844818115,-1,1354
3.590122938156128,-1,1354
3.5901710987091064,1,66
3.5902440547943115,1,66
3.591057062149048,-1,1354
3.5910589694976807,-1,1354
3.591059923171997,-1,1354
3.5910611152648926,-1,1354
3.5911591053009033,1,66
3.5981719493865967,-1,1354
3.5981740951538086,-1,1354
3.598175048828125,-1,1354
3.598176956176758,-1,1354
3.5981781482696533,-1,1354
3.598231077194214,1,602
3.5983200073242188,1,66
3.5999159812927246,-1,1354
3.611570119857788,-1,142
3.6115710735321045,-1,66
3.6116509437561035,1,66
3.612403154373169,-1,1440
3.6124050617218018,-1,1440
3.612489938735962,1,54
3.61273193359375,-1,1440
3.6127331256866455,-1,1440
3.6128039360046387,1,590
3.6136929988861084,-1,1440
3.613762140274048,1,54
3.6164369583129883,-1,1440
3.6166350841522217,-1,1440
3.616636037826538,-1,1440
3.6166369915008545,-1,1440
3.616685152053833,1,54
3.6171181201934814,-1,1440
3.6171200275421143,-1,1440
3.6171209812164307,-1,1440
3.6171700954437256,1,54
3.617720127105713,-1,1440
3.6177990436553955,1,54
3.6222341060638428,-1,1354
3.6222360134124756,-1,1354
3.6222851276397705,1,66
3.622360944747925,1,66
3.6240310668945312,-1,1354
3.6416549682617188,-1,1354
3.6416571140289307,-1,1354
3.641698122024536,1,66
3.64178204536438,1,66
3.6433651447296143,-1,1354
3.6628799438476562,-1,1440
3.662950038909912,1,54
3.6646640300750732,-1,1440
3.6646649837493896,-1,1440
3.6646671295166016,-1,1440
3.664668083190918,-1,1440
3.664669990539551,-1,1440
3.664670944213867,-1,1440
3.6646721363067627,-1,1440
3.664673089981079,-1,1440
3.664674997329712,-1,1440
3.6646759510040283,-1,1440
3.664813995361328,1,54
3.6704370975494385,-1,1354
3.670549154281616,1,1116
3.674260139465332,-1,238
3.6743249893188477,1,590
3.6877269744873047,-1,78
3.6877920627593994,1,66
3.7031710147857666,-1,1354
3.703233003616333,1,66
3.703700065612793,-1,1354
3.7037620544433594,1,66
3.704648017883301,-1,1354
3.704648971557617,-1,1354
3.704685926437378,1,66
3.704735040664673,1,66
3.7053699493408203,-1,1354
3.705371141433716,-1,1354
3.7054049968719482,1,66
3.7054460048675537,1,66
3.707034111022949,-1,1354
3.7070350646972656,-1,1354
3.7070679664611816,1,66
3.707113027572632,1,66
3.7075841426849365,-1,1354
3.712285041809082,-1,1354
3.7123219966888428,1,66
