delta_time,direction,length
0.0,1,78
0.006066083908081055,1,78
0.12047815322875977,-1,66
0.12064814567565918,1,54
0.1213841438293457,1,571
0.15236592292785645,-1,74
0.15254998207092285,1,66
0.15334296226501465,1,583
0.23126006126403809,-1,56
0.23211908340454102,-1,1221
0.23222994804382324,1,54
0.23485112190246582,1,134
0.29556894302368164,-1,1238
0.29572606086730957,1,66
0.2978169918060303,1,146
0.34368205070495605,-1,133
0.3437840938568115,1,87
0.43808698654174805,-1,145
0.43819403648376465,1,99
0.45238304138183594,-1,133
0.45238614082336426,-1,1436
0.4525489807128906,1,54
0.5624749660491943,-1,718
0.5625569820404053,1,54
0.5645589828491211,1,1436
0.564594030380249,1,1264
0.5790510177612305,-1,145
0.5790519714355469,-1,1354
0.5790829658508301,1,66
0.6736290454864502,-1,56
0.6768951416015625,-1,1436
0.6768951416015625,-1,750
0.6769099235534668,1,54
0.6796691417694092,1,1436
0.6797339916229248,1,750
0.7213001251220703,-1,836
0.721311092376709,1,66
0.725348949432373,1,1354
0.7253999710083008,1,856
0.8723571300506592,-1,56
0.8778080940246582,-1,590
0.8778359889984131,1,54
0.8785800933837891,1,590
0.8864779472351074,-1,1436
0.8864779472351074,-1,66
0.8864779472351074,-1,1354
0.8864791393280029,-1,342
0.8864929676055908,1,54
0.8865070343017578,1,66
0.8883941173553467,1,1354
0.8884241580963135,1,342
0.987511157989502,-1,280
0.9875450134277344,1,1104
1.0289480686187744,-1,78
1.0289490222930908,-1,66
1.0289499759674072,-1,602
1.0290100574493408,1,602
1.0290350914001465,1,66
1.032081127166748,-1,56
1.0960040092468262,-1,590
1.0960609912872314,1,590
1.1705501079559326,-1,1138
1.170644998550415,1,602
1.204590082168579,-1,1126
1.2046880722045898,1,590
1.3122429847717285,-1,602
1.3124120235443115,1,1116
1.3160929679870605,-1,590
1.3162109851837158,1,590
1.427030086517334,-1,590
1.4271979331970215,1,590
1.4560720920562744,-1,602
1.4562439918518066,1,602
1.5392770767211914,-1,590
1.5394480228424072,1,590
1.5988421440124512,-1,1138
1.5990049839019775,1,602
1.6609721183776855,-1,590
1.6611559391021729,1,590
1.7407820224761963,-1,602
1.7409660816192627,1,1116
1.8154089450836182,-1,56
1.8155629634857178,1,590
1.8842051029205322,-1,602
1.8843679428100586,1,602
1.924307107925415,-1,56
2.0075161457061768,1,1354
2.0075650215148926,1,364
2.0243940353393555,-1,1138
2.0245201587677,1,66
2.1483571529388428,-1,602
2.148512125015259,1,1116
2.254434108734131,-1,1354
2.2545671463012695,1,602
2.3229761123657227,-1,364
2.3231160640716553,1,1116
2.4317800998687744,-1,66
2.4990060329437256,-1,602
2.4991509914398193,1,602
2.6401491165161133,-1,602
2.6403119564056396,1,602
2.8117570877075195,-1,66
2.811893939971924,1,602
2.8501760959625244,-1,602
2.8502919673919678,1,66
2.9921810626983643,-1,66
2.992321014404297,1,602
3.0000460147857666,1,590
3.065840005874634,-1,602
3.0659780502319336,1,602
3.1090850830078125,-1,56
3.1090869903564453,-1,590
3.109215021133423,1,54
3.1102850437164307,1,590
3.1715760231018066,-1,66
3.2099390029907227,-1,602
3.2100770473480225,1,602
3.2562789916992188,-1,590
3.256387948989868,1,54
3.257059097290039,1,590
3.38421893119812,-1,66
3.385172128677368,1,602
3.410745143890381,-1,56
3.4528279304504395,-1,590
3.459152936935425,1,54
3.564587116241455,-1,66
3.590811014175415,-1,602
3.591676950454712,1,66
3.5926809310913086,1,602
3.7737419605255127,-1,66
3.815598964691162,-1,602
3.815714120864868,1,66
3.8167340755462646,1,602
3.9938371181488037,-1,66
3.9989049434661865,1,602
