delta_time,direction,length
0.0,1,590
0.14865398406982422,-1,56
0.894848108291626,0,590
0.9103729724884033,0,56
2.600970983505249,0,590
2.615633964538574,0,56
2.811213970184326,0,590
2.815800905227661,0,1104
2.8275160789489746,0,56
2.9137539863586426,0,1440
2.9141860008239746,0,1440
2.914436101913452,0,54
2.9146311283111572,0,902
2.9387269020080566,0,590
2.938966989517212,1,590
2.9516029357910156,0,56
2.957612991333008,0,590
2.9587080478668213,0,590
2.9890859127044678,0,590
2.9916279315948486,0,590
3.036099910736084,-1,590
3.0384681224823,1,590
3.0433719158172607,0,56
3.043617010116577,0,1104
3.055514097213745,0,56
3.05692195892334,0,590
3.0605249404907227,0,590
3.0863170623779297,0,590
3.1377720832824707,0,54
3.1432061195373535,-1,590
3.1464250087738037,1,590
3.164544105529785,0,590
3.2170000076293945,0,54
3.228343963623047,0,590
3.2308900356292725,0,590
3.2661828994750977,-1,590
3.2673768997192383,1,590
3.283245086669922,0,56
3.347609043121338,0,590
3.3484339714050293,0,590
3.360300064086914,0,56
3.399667978286743,-1,590
3.4004950523376465,1,590
3.6305530071258545,-1,56
4.2451629638671875,-1,590
4.2451629638671875,-1,590
4.2451629638671875,-1,590
4.2451629638671875,-1,590
4.2455971240997314,1,54
4.245940923690796,-1,590
4.245940923690796,-1,590
4.246210098266602,1,54
4.249726057052612,-1,458
4.249726057052612,-1,590
4.249726057052612,-1,590
4.249726057052612,-1,590
4.250217914581299,1,54
4.250776052474976,0,1440
4.2516210079193115,0,1440
4.2516210079193115,0,902
4.2516210079193115,0,1440
4.2516210079193115,0,1440
4.2516210079193115,0,1440
4.2516210079193115,0,1440
4.2516210079193115,0,1440
4.252171993255615,0,54
4.26184606552124,0,1440
4.26184606552124,0,1440
4.262213945388794,0,54
4.26283597946167,0,590
4.263952016830444,0,1440
4.263952016830444,0,1440
4.26424503326416,0,54
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1440
4.264698028564453,0,1184
4.26535701751709,0,54
4.265674114227295,0,1440
4.265674114227295,0,1440
4.265674114227295,0,1440
4.265674114227295,0,1440
4.265674114227295,0,1440
4.265674114227295,0,1440
4.2661590576171875,0,590
4.2741858959198,0,1440
4.2741858959198,0,1440
4.2744951248168945,0,54
4.274715900421143,0,1440
4.274991035461426,0,54
4.275108098983765,0,56
4.280561923980713,0,1032
4.280883073806763,0,54
4.320152044296265,0,56
4.334183931350708,0,1440
4.334183931350708,0,1440
4.334346055984497,0,54
4.335737943649292,0,1352
4.335737943649292,0,1440
4.335882902145386,0,54
4.3361101150512695,0,590
4.338357925415039,0,1440
4.338357925415039,0,1440
4.338520050048828,0,54
4.339709997177124,0,1440
4.339709997177124,0,1440
4.339709997177124,0,1440
4.339709997177124,0,1440
4.339910984039307,0,54
4.340119123458862,-1,590
4.340119123458862,-1,590
4.340119123458862,-1,590
4.340119123458862,-1,590
4.340341091156006,1,54
4.342530012130737,-1,590
4.342530012130737,-1,590
4.342530012130737,-1,590
4.342530012130737,-1,590
4.3428709506988525,1,54
4.343411922454834,0,1440
4.343411922454834,0,1440
4.343411922454834,0,1440
4.343657970428467,0,54
4.343847990036011,-1,590
4.343847990036011,-1,590
4.344020128250122,1,54
4.344249963760376,-1,590
4.344249963760376,-1,590
4.344372034072876,1,54
4.345223903656006,-1,590
4.345223903656006,-1,590
4.345350027084351,1,54
4.345510005950928,-1,590
4.345510005950928,-1,590
4.345678091049194,1,54
4.347366094589233,0,760
4.347454071044922,0,54
4.348145008087158,0,56
4.348192930221558,0,590
4.358487129211426,0,1440
4.3587119579315186,0,54
4.358963966369629,0,1440
4.359090089797974,0,54
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1366
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360383033752441,0,1440
4.360779047012329,0,54
4.361936092376709,0,1440
4.361936092376709,0,1440
4.362078905105591,0,590
4.36330509185791,0,1440
4.36330509185791,0,1440
4.36330509185791,0,1440
4.363497018814087,0,54
4.373861074447632,0,362
4.374018907546997,0,54
4.415060043334961,0,1440
4.415060043334961,0,1440
4.415060043334961,0,1352
4.415441989898682,0,590
4.427102088928223,0,654
4.427506923675537,0,1126
4.43172812461853,0,1440
4.43172812461853,0,1440
4.43172812461853,0,902
4.434813976287842,-1,590
4.434813976287842,-1,590
4.435072898864746,1,54
4.435157060623169,-1,590
4.435157060623169,-1,590
4.435234069824219,1,54
4.4354469776153564,-1,590
4.4354469776153564,-1,590
4.435539960861206,1,54
4.435765027999878,1,590
4.437060117721558,-1,590
4.437060117721558,-1,590
4.437159061431885,1,54
4.437540054321289,-1,590
4.437540054321289,-1,590
4.437540054321289,-1,590
4.437540054321289,-1,590
4.437540054321289,-1,590
4.437540054321289,-1,590
4.43772292137146,1,54
4.438200950622559,-1,590
4.438200950622559,-1,590
4.438200950622559,-1,590
4.438200950622559,-1,590
4.438340902328491,1,54
4.439543962478638,-1,590
4.439543962478638,-1,590
4.439764022827148,1,54
4.439939975738525,-1,590
4.439939975738525,-1,590
4.440083026885986,1,54
4.440670013427734,-1,590
4.440670013427734,-1,590
4.440670013427734,-1,590
4.440670013427734,-1,590
4.44091796875,1,54
4.441329002380371,-1,590
4.441329002380371,-1,590
4.4414589405059814,1,54
4.44348406791687,0,56
4.443720102310181,0,56
4.447183132171631,0,590
4.4500510692596436,0,1440
4.4501519203186035,0,54
4.450412034988403,0,1440
4.450500965118408,0,54
4.451323986053467,0,1352
4.451323986053467,0,1440
4.451323986053467,0,1440
4.451323986053467,0,1440
4.451323986053467,0,1440
4.451323986053467,0,1440
4.451520919799805,0,54
4.452338933944702,0,1440
4.452338933944702,0,1440
4.452449083328247,0,54
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.4534430503845215,0,1440
4.453675985336304,0,54
4.455063104629517,0,1440
4.455063104629517,0,1440
4.455168008804321,0,590
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456631898880005,0,1440
4.456928014755249,0,54
4.457811117172241,0,1440
4.457811117172241,0,1440
4.457910060882568,0,590
4.462830066680908,0,1440
4.462830066680908,0,1440
4.463043928146362,0,54
4.464582920074463,0,1440
4.464582920074463,0,1440
4.464582920074463,0,228
4.464735984802246,0,590
4.469356060028076,0,56
4.469475984573364,0,590
4.4809041023254395,0,56
4.48098611831665,0,590
4.4877541065216064,0,1440
4.487884044647217,0,54
4.488054990768433,0,1440
4.48812198638916,0,54
4.488719940185547,0,388
4.507308006286621,0,1440
4.507474899291992,0,590
4.507596969604492,0,1440
4.507717132568359,0,54
4.50960898399353,0,1440
4.50960898399353,0,1440
4.509782075881958,0,54
4.510004997253418,0,1440
4.510004997253418,0,1440
4.510004997253418,0,1440
4.510004997253418,0,1440
4.510174989700317,0,54
4.5192530155181885,0,876
4.519444942474365,0,54
4.523752927780151,0,1440
4.524183034896851,0,1440
4.524183034896851,0,1440
4.524183034896851,0,1440
4.524183034896851,0,1440
4.524476051330566,0,54
4.525557994842529,0,1440
4.525557994842529,0,1440
4.5258049964904785,0,54
4.526173114776611,0,590
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.5268449783325195,0,1440
4.527676105499268,0,54
4.527895927429199,0,1440
4.528094053268433,0,54
4.528157949447632,0,1440
4.528324127197266,0,590
4.52883505821228,-1,590
4.52883505821228,-1,590
4.529278993606567,1,54
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.5302300453186035,0,1440
4.530986070632935,0,54
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531217098236084,-1,590
4.531649112701416,1,54
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.531948089599609,0,1440
4.532563924789429,0,590
