delta_time,direction,length
0.0,1,602
0.11638784408569336,-1,66
0.11657285690307617,1,1116
0.23184680938720703,-1,66
1.0054709911346436,1,602
1.1220149993896484,-1,66
1.122208833694458,1,1116
1.2371478080749512,-1,66
2.008152961730957,1,602
2.125887870788574,-1,66
2.1260998249053955,1,1116
2.241090774536133,-1,66
3.0118229389190674,1,1440
3.0118417739868164,1,256
3.0138368606567383,1,1440
3.0138487815856934,1,256
3.1289138793945312,-1,66
3.1289169788360596,-1,78
3.1302719116210938,-1,66
3.2151927947998047,-1,1440
3.2151968479156494,-1,1440
3.2153937816619873,1,66
3.2156248092651367,1,66
3.2157108783721924,-1,938
3.215756893157959,1,66
3.224897861480713,-1,1440
3.2250139713287354,1,66
3.225303888320923,-1,1440
3.2253057956695557,-1,1440
3.2253079414367676,-1,1440
3.2253758907318115,1,66
3.225498914718628,1,66
3.2256038188934326,-1,1440
3.225651979446411,1,66
3.240173816680908,-1,1440
3.240302801132202,1,66
3.2405428886413574,-1,1440
3.240595817565918,1,66
3.241095781326294,-1,938
3.2411348819732666,1,66
3.248361825942993,-1,1440
3.248499870300293,1,66
3.2488439083099365,1,602
3.2490339279174805,-1,1440
3.2490739822387695,1,66
3.262394905090332,-1,1440
3.262539863586426,1,66
3.263051986694336,-1,1440
3.263054847717285,-1,1440
3.263162851333618,1,66
3.2632908821105957,1,66
3.264267921447754,-1,1440
3.2642698287963867,-1,1440
3.264270782470703,-1,1440
3.2642719745635986,-1,1440
3.2643418312072754,1,66
3.264521837234497,1,66
3.3363277912139893,-1,1440
3.336674928665161,1,66
3.336681842803955,-1,1440
3.336683988571167,-1,1440
3.3368308544158936,1,66
3.3370819091796875,-1,1440
3.3370838165283203,-1,1440
3.3371689319610596,1,66
3.3393049240112305,-1,1440
3.3393919467926025,1,66
3.3460447788238525,-1,1440
3.3465609550476074,-1,1440
3.3467018604278564,1,66
3.347242832183838,-1,1440
3.347672939300537,-1,1440
3.34767484664917,-1,1440
3.3486108779907227,1,66
3.348862886428833,-1,1440
3.3488638401031494,-1,1440
3.348864793777466,-1,1440
3.3488659858703613,-1,1440
3.348867893218994,-1,1440
3.3492188453674316,1,602
3.355404853820801,-1,1440
3.3554978370666504,1,66
3.3556759357452393,-1,1440
3.355726957321167,1,66
3.355872869491577,1,602
3.3561959266662598,-1,1440
3.3561959266662598,-1,1440
3.356196880340576,-1,1440
3.3562259674072266,1,66
3.356290817260742,1,66
3.3565399646759033,-1,1440
3.356562852859497,1,66
3.3692848682403564,-1,1440
3.3700039386749268,-1,1440
3.3700649738311768,1,66
3.370788812637329,-1,66
3.3710379600524902,-1,1440
3.3719558715820312,-1,1440
3.3720219135284424,1,66
3.376466989517212,-1,1440
3.376523971557617,1,1116
3.376551866531372,1,1440
3.3765668869018555,1,770
3.377656936645508,-1,1440
3.377657890319824,-1,1440
3.377692937850952,1,66
3.37780499458313,1,66
3.3780879974365234,-1,1440
3.37808895111084,-1,1440
3.3780899047851562,-1,1440
3.378117799758911,1,66
3.3782458305358887,1,66
3.379410982131958,-1,1440
3.3794569969177246,1,66
3.3797919750213623,-1,1440
3.3798089027404785,1,602
3.3814198970794678,-1,1440
3.3814198970794678,-1,1440
3.381420850753784,-1,1440
3.3814399242401123,1,66
3.3814849853515625,1,66
3.3821749687194824,-1,1440
3.382175922393799,-1,910
3.382229804992676,1,66
3.382462978363037,-1,1440
3.45817494392395,-1,1440
3.4582958221435547,1,66
3.4584009647369385,-1,1440
3.4584789276123047,1,66
3.4590649604797363,-1,1440
3.4590659141540527,-1,1440
3.459136962890625,1,602
3.4602158069610596,-1,1440
3.4602179527282715,-1,1440
3.460218906402588,-1,1440
3.4602208137512207,-1,1440
3.460221767425537,-1,1440
3.460223913192749,-1,1440
3.4603588581085205,1,66
3.4605929851531982,-1,1440
3.4618489742279053,-1,1440
3.461944818496704,1,66
3.4682178497314453,-1,1440
3.4686639308929443,-1,1440
3.4686648845672607,-1,1440
3.4687387943267822,1,602
