delta_time,direction,length
0.0,-1,602
0.00019216537475585938,1,66
1.1659760475158691,1,590
1.2776110172271729,-1,56
1.3780460357666016,-1,590
1.378188133239746,1,54
1.380803108215332,1,1104
1.4888529777526855,-1,56
1.5702590942382812,-1,1440
1.5704030990600586,1,54
1.5711569786071777,-1,1440
1.5711591243743896,-1,902
1.5712721347808838,1,54
1.6796231269836426,-1,590
1.679753065109253,1,54
1.6816630363464355,1,590
1.7911059856414795,-1,56
1.7912559509277344,1,1104
1.803102970123291,1,602
1.876772165298462,-1,590
1.8768880367279053,1,590
1.90071702003479,-1,56
1.9281890392303467,-1,602
1.9283599853515625,1,66
1.9294819831848145,1,602
1.986130952835083,-1,590
1.9862980842590332,1,54
2.087454080581665,-1,602
2.0876200199127197,1,66
2.0886311531066895,1,602
2.094248056411743,-1,590
2.0943801403045654,1,54
2.0952420234680176,1,590
2.23427414894104,-1,590
2.234426975250244,1,54
2.235769033432007,1,590
2.2488601207733154,-1,66
2.3465120792388916,-1,602
2.3466579914093018,1,66
2.347733974456787,1,602
2.384219169616699,-1,56
2.4940760135650635,-1,590
2.494231939315796,1,54
2.4952640533447266,1,590
2.497166156768799,-1,66
2.6043341159820557,-1,56
2.608207941055298,-1,602
2.6083290576934814,1,66
2.6086809635162354,1,602
2.75,-1,590
2.7501440048217773,1,54
2.750499963760376,1,590
2.768367052078247,-1,66
2.8593270778656006,-1,56
6.417874097824097,1,590
6.5295250415802,-1,56
7.575610160827637,-1,602
7.575763940811157,1,66
12.59397006034851,-1,602
12.594112157821655,1,66
12.721481084823608,-1,1354
12.721483945846558,-1,1354
12.721485137939453,-1,1354
12.721636056900024,1,66
12.721764087677002,-1,272
12.721765041351318,-1,1354
12.721766948699951,-1,1354
12.721864938735962,-1,1354
12.721867084503174,-1,1354
12.721915006637573,1,66
12.721977949142456,1,66
12.72203516960144,1,66
12.745743036270142,-1,1354
12.745744943618774,-1,1354
12.745747089385986,-1,1354
12.745849132537842,1,66
12.746020078659058,1,66
12.758299112319946,-1,1440
12.758301973342896,-1,1440
12.758442163467407,1,54
12.758563995361328,-1,902
12.758620977401733,1,54
12.758697986602783,1,54
12.765972137451172,-1,1440
12.766119956970215,1,54
12.766379117965698,-1,1440
12.766488075256348,1,54
12.768924951553345,-1,1440
12.769047975540161,1,54
12.769179105758667,-1,1440
12.769286155700684,1,54
12.769469022750854,-1,1440
12.76955795288086,1,54
12.814712047576904,-1,1440
12.814855098724365,1,54
