delta_time,direction,length
0.0,-1,74
0.00011110305786132812,1,66
0.0005700588226318359,1,583
0.04153895378112793,1,78
0.11594414710998535,-1,1238
0.11609506607055664,1,66
0.11948704719543457,1,146
0.2017350196838379,1,78
0.2327110767364502,-1,145
0.23289012908935547,1,99
0.34589505195617676,-1,145
0.34589695930480957,-1,1354
0.3460659980773926,1,66
0.36197996139526367,1,78
0.45850205421447754,-1,836
0.45864295959472656,1,66
0.4606640338897705,1,1354
0.46066808700561523,1,1354
0.46073293685913086,1,82
0.5081930160522461,1,1436
0.5208051204681396,1,78
0.5737190246582031,-1,78
0.5737221240997314,-1,66
0.5738840103149414,1,1354
0.5756940841674805,-1,1354
0.5756969451904297,-1,856
0.5758230686187744,1,66
0.5783469676971436,1,1354
0.5785069465637207,1,856
0.6801071166992188,1,78
0.6889901161193848,-1,66
0.6909310817718506,-1,66
0.739084005355835,-1,1116
0.7392129898071289,1,66
0.7399101257324219,1,1116
0.8228640556335449,1,78
0.8518459796905518,-1,1138
0.8519761562347412,1,66
0.8940069675445557,-1,66
0.8941349983215332,1,1116
0.9649851322174072,-1,1138
0.9650819301605225,1,66
1.0426850318908691,-1,66
1.042820930480957,1,602
1.0832569599151611,-1,602
1.0833930969238281,1,66
1.1077899932861328,1,78
1.1915719509124756,-1,602
1.191720962524414,1,602
1.3063480854034424,-1,602
1.3065011501312256,1,602
1.4544141292572021,-1,66
1.454559087753296,1,602
1.4820120334625244,-1,602
1.4821641445159912,1,66
1.595479965209961,-1,602
1.5956549644470215,1,602
1.6763710975646973,1,78
1.7418560981750488,-1,66
1.741943120956421,1,602
1.892374038696289,-1,66
2.8141119480133057,1,78
2.89319109916687,1,602
3.008305072784424,-1,602
3.008441925048828,1,66
3.009545087814331,1,602
3.161893129348755,-1,66
3.169348955154419,-1,602
3.169466018676758,1,66
3.1708221435546875,1,602
3.3222010135650635,-1,66
3.3495359420776367,-1,602
3.349705934524536,1,66
3.3507931232452393,1,602
3.5018880367279053,-1,66
3.624567985534668,-1,602
3.6247129440307617,1,66
3.6272671222686768,1,1116
3.839010000228882,-1,66
3.8390109539031982,-1,1354
3.8390121459960938,-1,1354
3.83901309967041,-1,1110
3.8391611576080322,1,66
3.839262008666992,1,66
3.8994860649108887,1,602
3.9548399448394775,-1,602
3.9549059867858887,1,66
3.95763897895813,1,1354
3.9576621055603027,1,364
4.053220987319946,-1,602
4.053380966186523,1,66
4.072796106338501,-1,66
4.072932004928589,1,602
4.165769100189209,-1,1116
4.165909051895142,1,66
4.222379922866821,-1,66
4.278826951980591,-1,602
4.278968095779419,1,66
4.280342102050781,1,602
4.431828022003174,-1,66
4.564082145690918,-1,602
4.564233064651489,1,66
4.892434120178223,1,602
4.898122072219849,-1,1354
4.898124933242798,-1,1354
4.89812707901001,-1,1110
4.898128032684326,-1,1354
4.898129940032959,-1,1354
4.8981311321258545,-1,1354
4.898133039474487,-1,1354
4.898133993148804,-1,1354
4.898261070251465,1,66
4.898453950881958,1,66
4.9079270362854,-1,1354
4.907928943634033,-1,1354
4.907931089401245,-1,1354
4.907932996749878,-1,1354
4.908087968826294,1,66
4.9082190990448,1,66
4.910731077194214,-1,1354
4.910733938217163,-1,1354
4.910736083984375,-1,1354
4.910737037658691,-1,1354
4.9108569622039795,1,602
4.9109649658203125,1,66
4.945825099945068,1,1354
4.945825099945068,1,1354
4.945826053619385,1,1354
4.945846080780029,1,808
5.013200998306274,-1,1354
5.013203144073486,-1,1354
5.013205051422119,-1,1354
5.0132060050964355,-1,1354
5.0132081508636475,-1,1354
5.013209104537964,-1,1354
5.01321005821228,-1,1354
5.013211011886597,-1,1354
5.013213157653809,-1,1354
5.013215065002441,-1,1354
5.013216018676758,-1,1354
5.013388156890869,1,152
5.013534069061279,1,66
5.023175001144409,-1,1354
5.023177146911621,-1,1354
5.023179054260254,-1,1354
5.023180961608887,-1,1354
5.023182153701782,-1,1354
5.023183107376099,-1,1354
5.023303985595703,1,602
5.023437976837158,1,66
5.026570081710815,-1,1354
5.026571989059448,-1,1354
5.026572942733765,-1,1354
5.02657413482666,-1,1354
5.026575088500977,-1,1354
5.026576995849609,-1,1354
5.026668071746826,1,66
5.026776075363159,1,66
5.0595619678497314,-1,66
5.059564113616943,-1,66
5.087167978286743,1,62
5.128616094589233,-1,1354
5.128618955612183,-1,1354
5.128620147705078,-1,1354
5.128684043884277,-1,1354
5.12868595123291,-1,1354
5.128688097000122,-1,1354
5.128771066665649,1,602
5.128878116607666,1,66
5.128921031951904,1,66
5.130043029785156,-1,1354
5.130043983459473,-1,1354
5.130044937133789,-1,1354
5.130046129226685,-1,1354
5.130046129226685,-1,1354
5.130047082901001,-1,1354
5.130048036575317,-1,1354
5.130089044570923,1,66
5.130144119262695,1,66
5.1355531215667725,-1,1354
5.135555028915405,-1,1354
5.135555982589722,-1,1354
5.135656118392944,1,1116
5.135739088058472,-1,1354
5.135740041732788,-1,1354
5.135776042938232,1,66
5.135807037353516,1,66
5.135833978652954,1,66
5.1358771324157715,-1,1354
5.135879039764404,-1,1354
5.135879993438721,-1,1354
5.135941982269287,1,66
5.135998010635376,1,66
5.140689134597778,-1,1354
5.140691041946411,-1,1354
5.1406919956207275,-1,1354
5.140692949295044,-1,1354
5.1406941413879395,-1,1354
5.140696048736572,-1,1354
5.140697002410889,-1,1354
5.140697956085205,-1,1354
5.140799045562744,1,602
5.140871047973633,1,66
5.148503065109253,1,1354
5.148532152175903,1,364
5.2459540367126465,-1,1354
5.245954990386963,-1,1354
5.245955944061279,-1,1354
5.245957136154175,-1,1354
5.245958089828491,-1,1354
5.245959043502808,-1,1354
5.245959997177124,-1,1354
5.24596095085144,-1,1354
