delta_time,direction,length
0.0,0,590
0.01788783073425293,0,590
0.018243789672851562,0,66
1.8426408767700195,-1,590
1.8853278160095215,1,54
4.825951814651489,0,590
4.839140892028809,0,56
4.993742942810059,0,590
4.993891954421997,1,590
4.997098922729492,0,590
5.007784843444824,0,56
5.007906913757324,0,1104
5.020508766174316,0,590
5.021285772323608,0,590
5.0736939907073975,0,56
5.09027099609375,-1,590
5.0926008224487305,1,590
5.13274884223938,0,590
5.134828805923462,0,590
5.147127866744995,0,56
5.16341495513916,0,1440
5.164300918579102,0,1440
5.164400815963745,0,54
5.164676904678345,0,902
5.208553791046143,-1,590
5.209679841995239,1,590
5.21474289894104,0,54
5.26189398765564,0,590
5.2647809982299805,0,590
5.294379949569702,0,590
5.294744968414307,0,1104
5.3385539054870605,-1,590
5.341022968292236,1,590
5.347714900970459,0,56
5.347899913787842,0,590
5.359861850738525,0,56
5.39474081993103,0,1104
5.438202857971191,0,54
5.476164817810059,-1,56
5.512708902359009,-1,590
5.513511896133423,1,590
5.536831855773926,0,590
5.537607908248901,0,590
5.590057849884033,0,56
5.648918867111206,-1,56
6.349283933639526,0,1440
6.349283933639526,0,1440
6.349660873413086,0,54
6.349912881851196,-1,590
6.349912881851196,-1,590
6.349912881851196,-1,590
6.349912881851196,-1,590
6.350293874740601,1,54
6.3506269454956055,0,902
6.3506269454956055,0,1440
6.3506269454956055,0,1440
6.3506269454956055,0,1440
6.3506269454956055,0,1440
6.3506269454956055,0,1440
6.3506269454956055,0,1414
6.3506269454956055,0,1440
6.351236820220947,0,54
6.351489782333374,-1,590
6.351489782333374,-1,590
6.351489782333374,-1,458
6.351489782333374,-1,590
6.351489782333374,-1,590
6.351489782333374,-1,590
6.351918935775757,1,54
6.352097988128662,0,590
6.363063812255859,0,1440
6.3633928298950195,0,54
6.363631963729858,0,1440
6.363887786865234,0,54
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,1440
6.364549875259399,0,670
6.365451812744141,0,54
6.365706920623779,0,56
6.366308927536011,0,590
6.366389989852905,0,1440
6.3666157722473145,0,54
6.367827892303467,0,1440
6.367827892303467,0,1440
6.367827892303467,0,1440
6.36815881729126,0,54
6.377352952957153,0,722
6.421458959579468,0,56
6.431168794631958,0,54
6.437207937240601,0,1440
6.437488794326782,0,1440
6.43759298324585,0,54
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.439360857009888,0,1440
6.4398908615112305,0,54
6.440257787704468,0,590
6.44330096244812,0,158
6.444626808166504,-1,590
6.444626808166504,-1,590
6.444867849349976,1,54
6.445470809936523,-1,590
6.445470809936523,-1,590
6.445672988891602,1,54
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448551893234253,-1,590
6.448864936828613,1,54
6.450556993484497,-1,590
6.450556993484497,-1,590
6.450791835784912,1,54
6.4545228481292725,0,56
6.454739809036255,0,590
6.467659950256348,0,1440
6.467659950256348,0,1440
6.467659950256348,0,902
6.467975854873657,0,54
6.4693498611450195,0,1440
6.469629764556885,0,54
6.470901966094971,0,1440
6.470901966094971,0,1440
6.471067905426025,0,54
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473131895065308,0,1440
6.473702907562256,0,54
6.4742138385772705,0,590
6.475618839263916,0,1440
6.475618839263916,0,1440
6.475856781005859,0,54
6.476026773452759,0,1440
6.476193904876709,0,54
6.48124885559082,0,132
6.481396913528442,0,54
6.513861894607544,1,590
6.5266218185424805,0,56
6.535037994384766,1,1440
6.535037994384766,1,1440
6.535037994384766,1,1440
6.535037994384766,1,74
6.541644811630249,-1,590
6.541644811630249,-1,590
6.5417609214782715,1,54
6.542705774307251,-1,590
6.542705774307251,-1,590
6.542829990386963,1,54
6.544670820236206,-1,590
6.544670820236206,-1,590
6.54477596282959,1,54
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546345949172974,-1,590
6.546541929244995,1,54
6.5484619140625,-1,590
6.5484619140625,-1,590
6.5484619140625,-1,590
6.5484619140625,-1,590
6.548592805862427,1,590
6.5494749546051025,-1,590
6.5494749546051025,-1,590
6.54967999458313,1,54
6.554811954498291,0,1440
6.5563859939575195,0,1260
6.556541919708252,0,54
6.556671857833862,0,590
6.561716794967651,0,1440
6.561917781829834,0,54
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562481880187988,0,1440
6.562679767608643,0,54
6.564862966537476,0,1440
6.564862966537476,0,1440
6.564949989318848,0,54
6.565223932266235,0,1440
6.565298795700073,0,54
6.566334962844849,0,1440
6.566412925720215,0,54
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.5670599937438965,0,1440
6.567246913909912,0,590
6.568314790725708,0,110
6.568732976913452,0,56
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570633888244629,0,1440
6.570863962173462,0,54
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.572383880615234,0,1440
6.57257080078125,0,590
6.573723793029785,0,1440
6.573723793029785,0,1440
6.573831796646118,0,590
6.574809789657593,0,1440
6.574809789657593,0,1440
6.574809789657593,0,1440
6.574931859970093,0,54
6.5761168003082275,0,1440
6.5761168003082275,0,1440
6.576214790344238,0,54
6.583285808563232,0,1246
6.5834479331970215,0,54
6.583644866943359,1,1440
6.583644866943359,1,276
6.5876688957214355,0,56
6.628705978393555,-1,56
6.628705978393555,-1,56
6.6359028816223145,-1,590
6.6359028816223145,-1,590
6.636006832122803,1,54
6.636242866516113,-1,590
6.636242866516113,-1,590
6.636318922042847,1,54
6.637081861495972,-1,590
6.637081861495972,-1,590
6.637081861495972,-1,590
6.637081861495972,-1,590
6.63718581199646,1,54
6.638880968093872,-1,590
6.638880968093872,-1,590
6.638880968093872,-1,590
6.638880968093872,-1,590
6.638978958129883,1,54
6.640455961227417,-1,590
6.640455961227417,-1,590
6.640455961227417,-1,590
6.640455961227417,-1,590
6.640556812286377,1,54
6.64089298248291,-1,590
6.64089298248291,-1,590
6.64089298248291,-1,590
6.64089298248291,-1,590
6.64098596572876,1,54
6.641195774078369,-1,590
6.641195774078369,-1,590
6.641266822814941,1,54
6.6421449184417725,-1,590
6.6421449184417725,-1,590
6.642244815826416,1,590
6.642503976821899,-1,590
6.642503976821899,-1,590
6.642591953277588,1,54
6.64302396774292,-1,590
6.64302396774292,-1,590
6.643096923828125,1,54
6.643618822097778,-1,590
6.643618822097778,-1,590
6.643691778182983,1,54
6.644211769104004,-1,590
6.644211769104004,-1,590
6.644284963607788,1,54
6.646996974945068,0,590
6.6471848487854,0,590
6.654961824417114,0,1440
6.655190944671631,0,54
6.655275821685791,0,1440
6.655398845672607,0,54
6.655818939208984,0,1440
6.655993938446045,0,54
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
6.657082796096802,0,1440
