delta_time,direction,length
0.0,-1,602
0.0001780986785888672,1,66
0.9305160045623779,1,602
1.0555460453033447,-1,66
4.744372129440308,1,602
4.883945941925049,-1,66
4.93218207359314,1,602
4.932301044464111,1,602
4.9560699462890625,-1,602
4.956228971481323,1,66
5.04784893989563,-1,66
5.053821086883545,-1,602
5.053964138031006,1,66
5.054119110107422,-1,66
5.054199934005737,1,1116
5.056144952774048,1,602
5.0790441036224365,-1,602
5.079194068908691,1,66
5.206046104431152,-1,602
5.206184148788452,1,66
5.207020044326782,1,602
5.219886064529419,-1,66
5.220035076141357,1,602
5.233015060424805,-1,1440
5.233144998550415,1,66
5.23334002494812,-1,1440
5.2334301471710205,1,66
5.233792066574097,-1,938
5.233853101730347,1,66
5.343363046646118,-1,66
5.356730937957764,-1,602
5.356920003890991,1,66
5.359137058258057,1,602
5.364443063735962,-1,66
5.37597393989563,-1,602
5.376120090484619,1,66
5.376794099807739,1,602
5.4814770221710205,-1,602
5.481667995452881,1,1116
5.493175983428955,-1,66
5.52243709564209,-1,66
5.594772100448608,-1,602
5.594985008239746,1,66
5.595577955245972,1,602
5.604489088058472,-1,1116
5.604676961898804,1,602
5.7118611335754395,-1,66
5.766585111618042,-1,66
5.788120985031128,-1,602
5.78828501701355,1,66
5.7893290519714355,1,602
5.911108016967773,-1,66
5.989269971847534,-1,602
5.989474058151245,1,66
5.990052938461304,1,602
6.113044023513794,-1,66
6.653960943222046,-1,1440
6.653964996337891,-1,1440
6.654029130935669,-1,1440
6.654031038284302,-1,1440
6.654181003570557,1,66
6.6543121337890625,1,66
6.654405117034912,-1,938
6.6544060707092285,-1,1440
6.654407978057861,-1,1440
6.654408931732178,-1,1440
6.654447078704834,1,66
6.654468059539795,1,66
6.654617071151733,1,66
6.654825925827026,1,66
6.656167030334473,-1,1440
6.6561689376831055,-1,1440
6.656171083450317,-1,1440
6.656172037124634,-1,1440
6.656173944473267,-1,1388
6.6561760902404785,-1,1440
6.656177043914795,-1,1440
6.656178951263428,-1,1440
6.656180143356323,-1,1440
6.656182050704956,-1,1440
6.656183958053589,-1,1440
6.656186103820801,-1,1440
6.6562581062316895,1,66
6.656310081481934,1,66
6.656371116638184,1,66
6.656589031219482,1,66
6.656857013702393,1,602
6.768945932388306,-1,1440
6.769129037857056,1,66
6.769300937652588,-1,1440
6.769405126571655,1,66
6.769472122192383,1,66
6.77029013633728,-1,1440
6.770292043685913,-1,1440
6.770406007766724,1,66
6.770501136779785,1,66
6.771584987640381,-1,1440
6.771587133407593,-1,1440
6.771588087081909,-1,1440
6.771589994430542,-1,1440
6.771592140197754,-1,1440
6.77159309387207,-1,1432
6.771594047546387,-1,1440
6.7715959548950195,-1,1440
6.771597146987915,-1,1440
6.771599054336548,-1,1440
6.771600008010864,-1,1440
6.771656036376953,1,66
6.772118091583252,1,1116
6.772684097290039,-1,1440
6.7726850509643555,-1,1440
6.772686958312988,-1,1440
6.772688150405884,-1,1440
6.772690057754517,-1,1440
6.772729158401489,1,66
6.772791147232056,1,66
6.77609395980835,-1,1440
6.7760961055755615,-1,1440
6.776149034500122,1,66
6.7762510776519775,1,66
6.77656102180481,-1,1440
6.776561975479126,-1,1440
6.77659010887146,1,66
6.776623010635376,1,66
6.777835130691528,-1,1440
6.777837038040161,-1,1440
6.777872085571289,1,66
6.777940988540649,1,66
6.77891206741333,-1,1440
6.7789130210876465,-1,1440
6.7789459228515625,1,66
6.778995037078857,1,66
6.780123949050903,-1,1440
6.780126094818115,-1,1440
6.780128002166748,-1,1440
6.7801289558410645,-1,1440
6.780131101608276,-1,1440
6.780132055282593,-1,1440
6.780133008956909,-1,1440
6.780135154724121,-1,1440
6.7801361083984375,-1,1440
6.780137062072754,-1,1440
6.780138969421387,-1,1440
6.780139923095703,-1,1440
6.780142068862915,-1,66
6.780210971832275,1,66
6.780323028564453,1,66
6.78047513961792,1,602
6.828480958938599,1,1440
6.8284831047058105,1,1440
6.828484058380127,1,1440
6.828505039215088,1,550
6.883507013320923,-1,1440
6.883620023727417,1,66
6.883799076080322,-1,1440
6.8838419914245605,1,66
6.884858131408691,-1,1440
6.884894132614136,1,66
6.8855791091918945,-1,1440
6.885581016540527,-1,1440
6.88558292388916,-1,1440
6.885584115982056,-1,1440
6.8856401443481445,1,66
6.885756969451904,1,66
6.886250972747803,-1,1440
6.886312961578369,1,602
6.886590957641602,-1,1440
6.887614011764526,-1,1440
6.887614965438843,-1,1440
6.8876731395721436,1,66
6.888699054718018,-1,1440
6.88870096206665,-1,1440
