delta_time,direction,length
0.0,1,602
0.1658189296722412,-1,66
1.4562201499938965,-1,590
1.4563829898834229,1,54
1.9508869647979736,1,590
2.0662219524383545,-1,56
2.1804440021514893,-1,590
2.1805920600891113,1,54
2.1827850341796875,1,1104
2.2942371368408203,-1,56
2.3754920959472656,-1,1440
2.3754961490631104,-1,1440
2.3756461143493652,1,54
2.375854015350342,1,54
2.3759450912475586,-1,902
2.3760550022125244,1,54
2.488492012023926,-1,590
2.4886269569396973,1,54
2.4901111125946045,1,590
2.6013100147247314,-1,56
2.6014580726623535,1,1104
2.683709144592285,-1,590
2.6838531494140625,1,54
2.7130539417266846,-1,56
2.7697319984436035,1,590
2.76983904838562,1,602
2.795246124267578,-1,590
2.795362949371338,1,54
2.8267760276794434,-1,1440
2.826777935028076,-1,1440
2.8269200325012207,1,54
2.8270909786224365,1,54
2.8564741611480713,-1,1354
2.8564770221710205,-1,1354
2.856477975845337,-1,1354
2.856632947921753,1,66
2.8567819595336914,-1,272
2.8568429946899414,1,66
2.8568849563598633,1,66
2.860567092895508,-1,1354
2.8605690002441406,-1,1354
2.860569953918457,-1,1354
2.8605711460113525,-1,1354
2.8607020378112793,1,66
2.860913038253784,1,66
2.874786138534546,-1,1440
2.8748960494995117,1,54
2.8754191398620605,-1,1440
2.8754210472106934,-1,1440
2.8755080699920654,1,54
2.875617027282715,1,54
2.880871057510376,-1,56
2.8919811248779297,-1,1354
2.891983985900879,-1,1354
2.8921101093292236,1,66
2.8922901153564453,1,66
2.906471014022827,-1,1436
2.9066081047058105,1,54
2.907701015472412,1,590
2.9238171577453613,-1,1440
2.9239399433135986,1,54
2.924255132675171,-1,1440
2.9242570400238037,-1,1440
2.92425799369812,-1,1440
2.924345016479492,1,54
2.924471139907837,1,54
2.936223030090332,-1,1148
2.936336040496826,1,66
2.9381020069122314,-1,1440
2.9381771087646484,1,590
2.942868947982788,-1,1440
2.9429571628570557,1,54
2.97224497795105,-1,1440
2.972248077392578,-1,1440
2.9723730087280273,1,54
2.9725501537323,1,54
2.9847819805145264,-1,1354
2.984837055206299,-1,1354
2.9848380088806152,-1,1354
2.984840154647827,-1,1354
2.9848411083221436,-1,1354
2.9848430156707764,-1,1354
