delta_time,direction,length
0.0,1,78
0.0051119327545166016,1,78
0.11138105392456055,-1,66
0.11153411865234375,1,54
0.11227107048034668,1,571
0.12267708778381348,-1,74
0.12283897399902344,1,66
0.12323403358459473,1,583
0.22205901145935059,-1,56
0.2220609188079834,-1,1221
0.22223591804504395,1,54
0.2248399257659912,1,134
0.24298596382141113,-1,1238
0.24314403533935547,1,66
0.24522709846496582,1,146
0.3375821113586426,-1,133
0.33777904510498047,1,87
0.3634519577026367,-1,145
0.36361193656921387,1,99
0.4479188919067383,-1,133
0.4479219913482666,-1,1436
0.44809508323669434,1,54
0.48407793045043945,-1,145
0.4840810298919678,-1,1354
0.4842560291290283,1,66
0.5550549030303955,-1,718
0.5552000999450684,1,54
0.5579559803009033,1,1436
0.5580599308013916,1,750
0.6020588874816895,-1,836
0.602180004119873,1,66
0.6039540767669678,1,1354
0.6039578914642334,1,1354
0.6039841175079346,1,82
0.6648740768432617,-1,56
0.6675379276275635,-1,1436
0.6675400733947754,-1,236
0.6676890850067139,1,54
0.6779019832611084,1,1436
0.677980899810791,1,236
0.7223958969116211,-1,78
0.7223970890045166,-1,66
0.7225470542907715,1,1354
0.7278389930725098,-1,1354
0.7278420925140381,-1,856
0.727971076965332,1,66
0.7286698818206787,1,1354
0.7286911010742188,1,856
0.7848069667816162,-1,66
0.7848091125488281,-1,56
0.7849550247192383,1,1436
0.8137900829315186,-1,1104
0.813884973526001,1,54
0.8146200180053711,1,1104
0.8400380611419678,-1,78
0.8466639518737793,-1,66
0.886436939239502,-1,602
0.8865489959716797,1,66
0.8871679306030273,1,602
0.8923261165618896,-1,66
0.8995389938354492,-1,1354
0.8996169567108154,1,66
0.9209818840026855,-1,590
0.9211208820343018,1,54
0.9219961166381836,-1,56
0.922144889831543,1,590
1.001791000366211,1,1354
1.001828908920288,1,364
1.0170879364013672,-1,386
1.017225980758667,1,66
1.0277090072631836,-1,1104
1.0278329849243164,1,54
1.0285189151763916,-1,56
1.0286099910736084,1,1104
1.119999885559082,-1,602
1.1201519966125488,1,602
1.1352839469909668,-1,590
1.1352860927581787,-1,56
1.1354129314422607,1,54
1.135746955871582,1,590
1.1922121047973633,-1,1354
1.1923539638519287,1,602
1.2431960105895996,-1,1104
1.243199110031128,-1,56
1.2433509826660156,1,54
1.2437379360198975,1,1104
1.2779860496520996,-1,386
1.2781310081481934,1,1116
1.348587989807129,-1,66
1.350085973739624,-1,590
1.3501780033111572,1,54
1.350965976715088,-1,56
1.3510189056396484,1,590
1.3956959247589111,-1,602
1.395845890045166,1,66
1.3960659503936768,1,602
1.4592740535736084,-1,56
1.513293981552124,-1,602
1.5134310722351074,1,66
1.548969030380249,-1,602
1.5491180419921875,1,602
1.708587884902954,-1,66
1.7087290287017822,1,602
1.7553269863128662,-1,602
1.7554619312286377,1,66
1.8372490406036377,1,590
1.8590331077575684,-1,66
1.9470090866088867,-1,56
2.008579969406128,1,590
2.008652925491333,1,1354
2.0086569786071777,1,342
2.1154770851135254,-1,56
2.1174581050872803,-1,1104
2.11753511428833,1,54
2.117846965789795,1,590
2.127347946166992,-1,66
2.127872943878174,-1,1354
2.1278750896453857,-1,342
2.1279430389404297,1,66
2.1283059120178223,1,1354
2.128319025039673,1,342
2.246860980987549,-1,78
2.2468628883361816,-1,66
2.2469749450683594,1,1354
2.2660179138183594,-1,56
2.266139030456543,1,1104
2.2757151126861572,-1,602
2.2758190631866455,1,66
2.276247978210449,1,602
2.365231990814209,-1,1150
2.36535906791687,1,66
2.3707571029663086,-1,590
2.37084698677063,1,54
2.373199939727783,-1,56
2.3732800483703613,1,590
2.4276530742645264,-1,66
2.4278008937835693,1,1116
2.454987049102783,-1,1436
2.4549899101257324,-1,1436
2.4551360607147217,1,54
2.4553449153900146,1,54
2.4787850379943848,-1,910
2.4789209365844727,1,54
2.480257987976074,-1,56
2.484337091445923,-1,602
2.484539031982422,1,66
2.577636957168579,-1,66
2.5777781009674072,1,602
2.586230993270874,-1,590
2.586359977722168,1,54
2.5879809856414795,1,590
2.66935396194458,-1,602
2.66961407661438,1,66
2.6949028968811035,-1,56
2.6950340270996094,1,1104
2.72746205329895,-1,602
2.72762393951416,1,66
2.728856086730957,1,602
2.7479259967803955,-1,590
2.7480580806732178,1,54
2.8026230335235596,-1,56
2.802759885787964,1,590
2.8450260162353516,-1,602
2.8452720642089844,1,66
2.855052947998047,-1,1104
2.8553709983825684,1,54
2.877479076385498,-1,66
2.877634048461914,1,602
2.909674882888794,-1,56
2.9628689289093018,-1,602
2.96311092376709,1,66
3.004201889038086,1,590
3.0274429321289062,-1,66
3.027554988861084,1,602
3.110943078994751,-1,56
3.1127800941467285,-1,590
3.1130340099334717,1,54
3.114082098007202,1,590
3.178101062774658,-1,66
3.2200000286102295,-1,590
3.2202279567718506,1,54
3.2622859477996826,-1,56
3.2624380588531494,1,590
3.327169895172119,-1,590
3.3274009227752686,1,54
3.371134042739868,-1,56
3.3712759017944336,1,590
3.478102922439575,-1,56
3.551203966140747,-1,590
3.5514400005340576,1,54
3.572956085205078,-1,1436
3.5729589462280273,-1,1436
3.5729610919952393,-1,1436
3.5729620456695557,-1,1436
3.572962999343872,-1,1436
3.573206901550293,1,54
3.6053659915924072,-1,1436
3.6053690910339355,-1,1436
3.605370044708252,-1,1436
3.605633020401001,1,54
3.610640048980713,-1,1436
3.611025094985962,1,590
3.6151750087738037,-1,1354
3.6151769161224365,-1,1354
3.6151790618896484,-1,596
3.6153199672698975,1,66
3.6155619621276855,1,66
3.649301052093506,-1,1354
3.649306058883667,-1,1354
3.6493079662323,-1,1354
3.6493101119995117,-1,1354
3.6494579315185547,1,66
3.6497979164123535,1,66
3.658698081970215,-1,1436
3.658700942993164,-1,1436
3.6588659286499023,1,54
3.6773269176483154,-1,1354
3.6773290634155273,-1,1354
3.6773300170898438,-1,1354
3.6774709224700928,1,66
3.677683115005493,1,66
3.6816089153289795,-1,1436
3.6816110610961914,-1,1436
3.681612014770508,-1,1436
3.6816139221191406,-1,1436
3.681615114212036,-1,1436
3.6816160678863525,-1,1436
3.6816179752349854,-1,1436
3.6816189289093018,-1,1436
3.681619882583618,-1,1436
3.6816210746765137,-1,1436
3.682084083557129,1,54
3.7141480445861816,-1,1436
3.714148998260498,-1,1436
3.7141499519348145,-1,1436
3.714150905609131,-1,1436
3.7141520977020264,-1,1436
3.7141530513763428,-1,1436
3.714277982711792,1,54
3.7185330390930176,-1,1436
3.718533992767334,-1,1436
3.718621015548706,1,590
3.718705892562866,1,54
3.7275800704956055,1,1436
3.7275989055633545,1,236
3.7291100025177,1,1436
3.7291109561920166,1,1436
3.729123115539551,1,396
3.7328860759735107,-1,1354
3.732887029647827,-1,1354
3.732887029647827,-1,1354
3.7329349517822266,1,66
3.733038902282715,1,66
3.7483339309692383,-1,1354
3.7483348846435547,-1,1354
3.7483949661254883,1,66
3.748473882675171,1,66
3.748539924621582,1,602
3.767030954360962,-1,1436
3.767033100128174,-1,1436
3.7670350074768066,-1,1436
3.767035961151123,-1,1436
3.7671780586242676,1,54
3.7799038887023926,-1,1354
3.779905080795288,-1,1354
3.7799060344696045,-1,1354
3.779906988143921,-1,1354
3.7799079418182373,-1,1354
3.7799088954925537,-1,1354
3.7799808979034424,1,66
3.7800509929656982,1,66
3.7909610271453857,-1,1436
3.790961980819702,-1,1436
3.790963888168335,-1,1436
3.7909650802612305,-1,1436
3.790966033935547,-1,1436
3.7909679412841797,-1,1436
3.790968894958496,-1,1436
3.790971040725708,-1,1436
3.7909719944000244,-1,1436
3.790972948074341,-1,1090
3.7911980152130127,1,590
3.794926881790161,-1,1354
3.8049709796905518,1,1436
3.805006980895996,1,794
3.8063108921051025,-1,1354
3.806312084197998,-1,1354
3.8063130378723145,-1,1354
3.8063700199127197,1,66
3.8064630031585693,1,66
3.8094239234924316,-1,1354
3.834373950958252,-1,66
3.8343749046325684,-1,56
3.835861921310425,-1,56
3.8397090435028076,-1,1436
3.8397109508514404,-1,1436
3.839711904525757,-1,1436
3.8397140502929688,-1,1436
3.839715003967285,-1,1436
3.8397159576416016,-1,1436
3.839716911315918,-1,1436
3.8397181034088135,-1,1436
3.83971905708313,-1,1436
3.8397200107574463,-1,1436
3.8397209644317627,-1,1436
3.839721918106079,-1,1436
3.839724063873291,-1,1436
3.8397250175476074,-1,1436
3.839725971221924,-1,1436
3.8397269248962402,-1,1436
3.8397281169891357,-1,1436
3.839729070663452,-1,1436
3.8397300243377686,-1,1436
3.8397319316864014,-1,1436
3.8398520946502686,1,54
3.8400449752807617,1,590
3.8505780696868896,-1,1354
3.850663900375366,1,602
3.8791260719299316,-1,1354
3.879128932952881,-1,1354
3.8791298866271973,-1,1354
3.8791329860687256,-1,1354
3.8792591094970703,1,66
3.879349946975708,1,66
3.9401259422302246,-1,882
3.940126895904541,-1,1436
3.9401280879974365,-1,1436
3.940129041671753,-1,1436
3.9401299953460693,-1,1436
3.9401309490203857,-1,1436
3.9401330947875977,-1,1436
3.940134048461914,-1,1436
3.9401350021362305,-1,1436
3.9401369094848633,-1,1436
3.9404890537261963,1,54
3.942821979522705,-1,1436
3.9428229331970215,-1,1436
3.942823886871338,-1,1436
3.9428250789642334,-1,1436
3.94282603263855,-1,1436
3.942826986312866,-1,1436
3.9428279399871826,-1,1436
3.942828893661499,-1,1436
3.942831039428711,-1,1436
3.9428319931030273,-1,1436
3.9428329467773438,-1,1436
3.94283390045166,-1,1436
3.9428350925445557,-1,1436
3.942836046218872,-1,1436
3.9428369998931885,-1,56
3.942837953567505,-1,1436
3.9428389072418213,-1,1436
3.942840099334717,-1,1436
3.9431850910186768,1,54
3.946190118789673,1,1126
3.9757959842681885,-1,1354
3.9757978916168213,-1,1354
3.975799083709717,-1,1354
3.9758009910583496,-1,1354
3.975801944732666,-1,1354
3.975804090499878,-1,1354
3.9758050441741943,-1,1354
3.9758059978485107,-1,1354
3.9758079051971436,-1,1354
3.975809097290039,-1,1436
3.975811004638672,-1,1436
3.9758129119873047,-1,1436
3.9759950637817383,1,66
3.9759960174560547,1,54
3.9761240482330322,1,66
3.9763619899749756,1,54
3.993424892425537,-1,1436
3.993427038192749,-1,1436
3.993428945541382,-1,1436
3.9934298992156982,-1,1436
3.9934310913085938,-1,1436
3.99343204498291,-1,1436
3.993433952331543,-1,1436
3.9934349060058594,-1,1436
3.993683099746704,1,590
3.997507095336914,-1,1436
3.9975080490112305,-1,1436
3.997509002685547,-1,1436
3.9975099563598633,-1,1436
3.9975099563598633,-1,1436
3.9975109100341797,-1,1436
3.997512102127075,-1,1436
3.9975130558013916,-1,1436
3.997514009475708,-1,1436
3.9975149631500244,-1,1436
3.9992079734802246,-1,1436
3.999208927154541,-1,1436
4.011616945266724,1,590
4.0124359130859375,-1,1354
4.012437105178833,-1,1354
4.013021945953369,1,66
4.013138055801392,1,66
4.014194965362549,1,602
4.028386116027832,-1,1354
4.028387069702148,-1,1354
4.028388977050781,-1,1354
4.029968976974487,1,66
4.030066013336182,1,66
4.030395030975342,-1,1354
4.030395984649658,-1,1436
4.030396938323975,-1,1436
4.030397891998291,-1,1436
4.030517101287842,1,590
4.034652948379517,1,1436
4.044190883636475,-1,1436
4.04419207572937,-1,1436
4.0441930294036865,-1,1436
4.0442891120910645,-1,1436
4.044291019439697,-1,1436
4.044651031494141,-1,1436
4.044651985168457,-1,1436
4.04465389251709,-1,1436
4.044656038284302,-1,1436
4.044722080230713,1,54
4.044722080230713,1,590
4.044816970825195,1,54
4.044908046722412,-1,1436
4.044909954071045,-1,1436
4.044910907745361,-1,1436
4.044912099838257,-1,1436
4.04507303237915,1,54
4.045475006103516,-1,1436
4.045475959777832,-1,1436
4.045476913452148,-1,1436
4.045591115951538,1,54
4.046860933303833,-1,1436
4.046861886978149,-1,1436
4.046861886978149,-1,1436
4.046863079071045,-1,1436
4.047060966491699,1,590
4.072232007980347,-1,1354
4.072232961654663,-1,1354
4.0722339153289795,-1,1354
4.072235107421875,-1,1354
4.072236061096191,-1,1436
4.072237014770508,-1,1354
4.072237968444824,-1,1354
4.072238922119141,-1,1354
4.072240114212036,-1,1354
4.0722410678863525,-1,1436
4.072242021560669,-1,1436
4.072242021560669,-1,1436
4.072242975234985,-1,648
4.072437047958374,1,66
4.07250189781189,1,54
4.072638034820557,1,66
4.076199054718018,1,1436
4.07893705368042,1,1436
4.081723928451538,1,1436
4.084070920944214,1,1436
4.086931943893433,-1,1354
4.086932897567749,-1,1354
4.087003946304321,1,602
4.0871100425720215,1,66
4.104856014251709,-1,56
4.105684995651245,1,1436
4.1056859493255615,1,1436
4.105686902999878,1,1436
4.105700969696045,1,256
4.108778953552246,-1,1436
4.120507001876831,-1,1354
4.121026992797852,-1,1354
4.12103009223938,-1,1354
4.121031045913696,-1,1354
4.121031999588013,-1,1354
4.121032953262329,-1,1354
4.121093034744263,1,66
4.121099948883057,1,66
4.14753794670105,-1,56
4.147538900375366,-1,1354
4.147579908370972,1,66
4.160423994064331,-1,1354
4.1604249477386475,-1,1354
4.160425901412964,-1,66
4.160425901412964,-1,56
4.160505056381226,1,66
4.160643100738525,1,66
4.16533088684082,-1,56
4.182668924331665,-1,1354
4.1826701164245605,-1,1354
4.182671070098877,-1,1354
4.182672023773193,-1,1354
4.182729959487915,1,66
4.182857036590576,1,66
4.207019090652466,-1,794
4.207020044326782,-1,56
4.207020044326782,-1,56
4.207020998001099,-1,1354
4.207020998001099,-1,1354
4.207021951675415,-1,1354
4.2070229053497314,-1,1354
4.207024097442627,-1,1354
4.207025051116943,-1,1354
4.207175016403198,1,54
4.207253932952881,1,602
4.208051919937134,1,66
4.2159318923950195,-1,56
4.217024087905884,1,590
4.246556043624878,-1,1354
4.246628046035767,-1,1354
4.246628999710083,-1,1354
4.246629953384399,-1,1354
4.246630907058716,-1,1354
4.246633052825928,-1,1354
4.247769117355347,1,66
4.247936964035034,1,66
4.262906074523926,-1,1354
4.262907028198242,-1,1354
4.2631309032440186,1,602
4.263269901275635,1,66
4.271199941635132,-1,1354
4.271200895309448,-1,1354
4.271200895309448,-1,1354
4.271202087402344,-1,1354
4.272010087966919,1,66
4.272114992141724,1,66
4.310589075088501,-1,1354
4.310590028762817,-1,1354
4.310590982437134,-1,1354
4.31059193611145,-1,1354
4.31059193611145,-1,1436
4.310592889785767,-1,1436
4.310594081878662,-1,1436
4.3105950355529785,-1,1436
4.310595989227295,-1,1436
4.310596942901611,-1,1436
4.310596942901611,-1,1436
4.310597896575928,-1,1436
4.310599088668823,-1,1354
4.31060004234314,-1,1354
4.310600996017456,-1,1354
4.3106019496917725,-1,1354
4.310602903366089,-1,1354
4.310604095458984,-1,1436
4.310604095458984,-1,1436
4.310605049133301,-1,1436
4.310725927352905,1,66
4.310727119445801,1,1104
4.310813903808594,1,66
4.311085939407349,1,54
4.316054105758667,-1,1436
4.3160560131073,-1,1436
4.3160560131073,-1,1436
4.316219091415405,1,54
4.320156097412109,-1,392
4.320156097412109,-1,1354
4.320157051086426,-1,1354
4.320627927780151,1,590
4.320645093917847,1,602
4.320746898651123,1,66
4.326184034347534,-1,1436
4.326184988021851,-1,1436
4.326186895370483,-1,1436
4.326318025588989,1,54
4.352489948272705,-1,1436
4.352492094039917,-1,1436
4.352493047714233,-1,1436
4.352494955062866,-1,1436
4.352737903594971,1,54
4.352906942367554,1,54
4.372270107269287,-1,1436
4.3722710609436035,-1,1436
4.37227201461792,-1,1436
4.372272968292236,-1,1138
4.372519016265869,1,66
4.372543096542358,1,54
4.3811869621276855,1,1436
4.381292104721069,1,236
4.384427070617676,-1,1436
4.384428024291992,-1,1436
4.384428977966309,-1,1436
4.38570499420166,1,1436
4.385711908340454,1,750
4.385771989822388,1,54
4.387120008468628,1,1436
4.387142896652222,1,236
4.388879060745239,1,1436
4.388880014419556,1,1264
4.392604112625122,1,1436
4.392613887786865,1,772
4.429409980773926,-1,1436
4.429410934448242,-1,66
4.432945013046265,1,1436
4.432945966720581,1,772
4.442842960357666,-1,414
4.442902088165283,1,54
4.45092511177063,1,1436
4.450937986373901,1,258
4.480309009552002,-1,66
4.511229038238525,-1,66
4.511229038238525,-1,56
4.511229991912842,-1,56
4.511229991912842,-1,66
4.511230945587158,-1,56
4.511230945587158,-1,56
4.511230945587158,-1,56
4.520909070968628,-1,1436
4.520911931991577,-1,1436
4.521027088165283,1,54
4.521176099777222,1,54
4.552272081375122,-1,56
4.55551290512085,-1,910
4.555633068084717,1,54
4.562896966934204,1,1436
4.5629119873046875,1,258
4.567336082458496,-1,66
4.567336082458496,-1,56
4.573961019515991,-1,1436
4.574035882949829,1,54
4.611561059951782,-1,1436
4.611644983291626,-1,1436
4.611645936965942,-1,1436
4.611716032028198,1,54
4.6119420528411865,-1,1436
4.611943006515503,-1,1436
4.611943006515503,-1,1436
4.612066030502319,1,54
4.612241983413696,-1,1436
4.612242937088013,-1,1436
4.612243890762329,-1,1436
4.612421989440918,1,590
4.613409042358398,1,1436
4.613410949707031,1,1436
4.613430023193359,1,396
4.61437201499939,-1,1436
4.614372968673706,-1,1436
4.6143739223480225,-1,1436
4.6143739223480225,-1,1436
4.614375114440918,-1,1436
4.614376068115234,-1,1436
4.614376068115234,-1,1436
4.614377021789551,-1,1436
4.614377975463867,-1,1436
4.614377975463867,-1,1436
4.614378929138184,-1,1436
4.6143798828125,-1,1436
4.6143798828125,-1,1436
4.6143810749053955,-1,1436
4.614382028579712,-1,1436
4.614810943603516,1,1436
4.6148130893707275,1,1436
4.614833116531372,1,1360
4.616177082061768,1,1436
4.616178035736084,1,1436
4.6161839962005615,1,482
4.626564979553223,-1,1436
4.626565933227539,-1,1436
4.6265668869018555,-1,1436
4.626568078994751,-1,1436
4.626569986343384,-1,1436
4.6265709400177,-1,1436
4.626571893692017,-1,1436
4.626573085784912,-1,1436
4.6265740394592285,-1,1436
4.626575946807861,-1,1436
4.626576900482178,-1,1436
4.626578092575073,-1,1436
4.635016918182373,1,54
4.635087966918945,-1,1436
4.635088920593262,-1,1436
4.635090112686157,-1,1436
4.635091066360474,-1,1436
4.63509202003479,-1,1436
4.635406970977783,1,1436
4.635406970977783,1,1436
4.635417938232422,1,1360
4.635839939117432,-1,1436
4.635840892791748,-1,1436
4.635840892791748,-1,1436
4.6358420848846436,-1,1436
4.63584303855896,-1,1436
4.63762092590332,-1,1436
4.637622117996216,-1,1436
4.637622117996216,-1,1436
4.637622117996216,-1,1436
4.638819932937622,1,1190
4.64032506942749,1,1436
4.640326023101807,1,236
4.642189979553223,-1,1436
4.642190933227539,-1,1436
4.642730951309204,1,54
4.663279056549072,-1,1436
4.663280010223389,-1,1436
4.663280963897705,-1,1436
4.663280963897705,-1,1436
4.6632819175720215,-1,1436
4.663283109664917,-1,1436
4.663283109664917,-1,1436
4.663284063339233,-1,1436
4.663284063339233,-1,1436
4.66328501701355,-1,1436
4.66328501701355,-1,1436
4.663285970687866,-1,1436
4.663285970687866,-1,1436
4.663286924362183,-1,1436
4.663412094116211,1,1126
4.673063039779663,-1,126
4.673063039779663,-1,1436
4.6730639934539795,-1,1436
4.673064947128296,-1,1436
4.673065900802612,-1,1436
4.673098087310791,-1,1436
4.673099040985107,-1,1436
4.673099994659424,-1,1436
4.67310094833374,-1,1436
4.673101902008057,-1,1436
4.673101902008057,-1,1436
4.6731040477752686,-1,1436
4.673105001449585,-1,66
4.673105001449585,-1,56
