delta_time,direction,length
0.0,-1,590
0.04724884033203125,1,54
0.5914888381958008,0,590
0.6374869346618652,0,54
1.9887399673461914,0,590
2.002924919128418,0,56
2.294886827468872,1,590
2.2949798107147217,0,590
2.310483932495117,0,56
2.3124208450317383,0,590
2.3131959438323975,0,590
2.3639369010925293,0,590
2.366715908050537,0,1104
2.396876811981201,-1,590
2.399225950241089,1,590
2.417587995529175,0,590
2.4208168983459473,0,590
2.4737799167633057,0,56
2.5176079273223877,-1,590
2.5212209224700928,1,590
2.535429000854492,0,590
2.537829875946045,0,590
2.543301820755005,0,1440
2.5435709953308105,0,54
2.544057846069336,0,1440
2.5442938804626465,0,54
2.550912857055664,0,902
2.571506977081299,0,590
2.6245808601379395,0,56
2.624677896499634,0,1126
2.6375927925109863,0,56
2.6555659770965576,0,590
2.6559159755706787,0,590
2.656270980834961,-1,56
2.6660377979278564,-1,590
2.6666829586029053,1,590
2.7095890045166016,0,56
2.737114906311035,0,1440
2.737388849258423,0,232
2.7375359535217285,0,54
2.738093852996826,0,590
2.749734878540039,0,56
2.8008668422698975,-1,56
2.810870885848999,-1,590
2.811466932296753,1,590
2.820563793182373,0,590
2.8623738288879395,0,54
2.9236159324645996,0,590
2.935403823852539,0,56
2.945369005203247,-1,56
3.036115884780884,0,590
3.0405049324035645,0,1104
3.0525670051574707,0,56
3.1747758388519287,0,1440
3.1747758388519287,0,1440
3.1747758388519287,0,902
3.1752138137817383,0,54
3.2981247901916504,1,590
3.298218011856079,0,590
3.30012583732605,0,590
3.311877965927124,0,56
3.3119637966156006,0,1126
3.32393479347229,0,590
3.3247179985046387,0,590
3.376645803451538,0,56
3.397756814956665,-1,590
3.400261878967285,1,590
3.4279379844665527,0,1440
3.4279379844665527,0,1440
3.4279379844665527,0,902
3.4283769130706787,0,54
3.4298009872436523,0,590
3.4346978664398193,0,1440
3.4349448680877686,0,54
3.435276985168457,0,1440
3.435525894165039,0,54
3.440180778503418,0,902
3.4422647953033447,0,56
3.4463188648223877,0,1440
3.4463188648223877,0,1440
3.4463188648223877,0,1440
3.4463188648223877,0,1440
3.4463188648223877,0,1440
3.4467849731445312,0,54
3.4541828632354736,0,1440
3.455098867416382,0,590
3.456530809402466,0,1440
3.4567699432373047,0,54
3.4585928916931152,0,228
3.4588749408721924,0,54
3.5078999996185303,0,56
3.5081419944763184,0,590
3.5116679668426514,0,1440
3.5116679668426514,0,1440
3.5120677947998047,0,54
3.5122928619384766,0,1352
3.5127317905426025,0,1440
3.5127317905426025,0,1440
3.5127317905426025,0,1440
3.5127317905426025,0,1440
3.513154983520508,0,54
3.520737886428833,0,56
3.525692939758301,0,272
3.526080846786499,0,54
3.535451889038086,-1,56
3.5921318531036377,-1,590
3.593552827835083,1,590
3.623616933822632,0,590
3.6287918090820312,0,590
3.6306209564208984,0,1440
3.6306209564208984,0,232
3.6429338455200195,0,66
3.6429338455200195,0,56
3.71357798576355,0,590
3.7290430068969727,-1,56
3.7504138946533203,0,590
3.7505648136138916,0,590
3.756959915161133,-1,590
3.756959915161133,-1,590
3.7570528984069824,1,54
3.757913827896118,-1,590
3.757913827896118,-1,590
3.757913827896118,-1,590
3.757913827896118,-1,590
3.7580177783966064,1,54
3.7584919929504395,-1,458
3.778406858444214,-1,590
3.778406858444214,-1,590
3.778553009033203,1,54
3.7793128490448,-1,590
3.7793128490448,-1,590
3.7794198989868164,1,54
3.7816109657287598,-1,590
3.7817108631134033,1,54
3.8036019802093506,0,56
3.8036868572235107,0,590
3.815861940383911,0,56
3.8514277935028076,-1,590
3.8514277935028076,-1,590
3.8514277935028076,-1,590
3.8514277935028076,-1,590
3.851573944091797,1,54
3.851803779602051,-1,590
3.851803779602051,-1,590
3.851803779602051,-1,590
3.851803779602051,-1,590
3.8518989086151123,1,54
3.852839946746826,-1,590
3.852839946746826,-1,590
3.8529648780822754,1,54
3.8741729259490967,-1,590
3.8741729259490967,-1,590
3.874295949935913,1,54
3.8745110034942627,-1,590
3.8745110034942627,-1,590
3.8746368885040283,1,54
3.8748319149017334,-1,590
3.8748319149017334,-1,590
3.874907970428467,1,54
3.8757448196411133,-1,590
3.876142978668213,-1,590
3.876142978668213,-1,590
3.8762168884277344,1,54
3.909937858581543,0,1440
3.9103047847747803,0,1440
3.9103808403015137,0,54
3.9106388092041016,0,902
3.910871982574463,0,590
3.921029806137085,0,1440
3.921142816543579,0,54
3.9213528633117676,0,1440
3.9214189052581787,0,54
3.9228649139404297,0,902
3.929839849472046,0,1440
3.929839849472046,0,1440
3.930020809173584,0,54
3.942018985748291,0,902
3.942161798477173,0,54
3.9449708461761475,-1,590
3.9449708461761475,-1,590
3.9450747966766357,1,54
3.9453330039978027,-1,590
3.9453330039978027,-1,590
3.9454309940338135,1,54
3.9459218978881836,-1,590
3.9459218978881836,-1,590
3.946018934249878,1,54
3.9461770057678223,1,590
3.9462578296661377,-1,590
3.9462578296661377,-1,590
3.946368932723999,1,54
3.9473748207092285,-1,590
3.9473748207092285,-1,590
3.9473748207092285,-1,590
3.9473748207092285,-1,590
3.9473748207092285,-1,590
3.9473748207092285,-1,590
3.9476349353790283,1,54
3.9477288722991943,-1,590
3.9477288722991943,-1,590
3.9478578567504883,1,54
3.9680678844451904,-1,590
3.9680678844451904,-1,590
3.968212842941284,1,54
3.9685208797454834,-1,590
3.9685208797454834,-1,590
3.9685208797454834,-1,590
3.9685208797454834,-1,590
3.9685208797454834,-1,590
3.9685208797454834,-1,590
3.968648910522461,1,54
3.969331979751587,-1,590
3.969331979751587,-1,590
3.969406843185425,1,54
3.9701638221740723,-1,590
3.9701638221740723,-1,590
3.9702389240264893,1,54
3.9705049991607666,-1,590
3.9705049991607666,-1,590
3.9705798625946045,1,54
3.9708027839660645,-1,590
3.97086501121521,1,54
4.038970947265625,-1,590
4.038970947265625,-1,590
4.039125919342041,1,54
4.039238929748535,-1,590
4.039238929748535,-1,590
4.039361000061035,1,54
4.040421962738037,-1,590
4.040421962738037,-1,590
4.040421962738037,-1,590
4.040421962738037,-1,590
4.040585994720459,1,590
4.041456937789917,-1,590
4.041456937789917,-1,590
4.041456937789917,-1,590
4.041456937789917,-1,590
4.041582822799683,1,54
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042144775390625,-1,590
4.042395830154419,1,54
4.042641878128052,-1,590
4.042641878128052,-1,590
4.042751789093018,1,54
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063286781311035,-1,590
4.063528776168823,1,54
4.063640832901001,-1,590
4.063640832901001,-1,590
4.063640832901001,-1,590
4.063640832901001,-1,590
4.063640832901001,-1,590
4.063780784606934,1,54
4.063817977905273,-1,590
4.063817977905273,-1,590
4.063901901245117,1,54
4.06492280960083,-1,590
4.06492280960083,-1,590
4.0651209354400635,1,590
4.065354824066162,-1,590
4.065354824066162,-1,590
4.065354824066162,-1,590
4.065354824066162,-1,590
4.065354824066162,-1,590
4.065354824066162,-1,590
4.065626859664917,1,54
4.066196918487549,-1,590
4.107715845108032,1,54
4.133054971694946,-1,590
4.133054971694946,-1,590
4.1331939697265625,1,1126
4.1332478523254395,-1,590
4.1332478523254395,-1,590
4.1332478523254395,-1,590
4.1332478523254395,-1,590
4.133354902267456,1,54
4.133769989013672,-1,590
4.133769989013672,-1,590
4.133906841278076,1,54
4.13444185256958,-1,590
4.13444185256958,-1,512
4.134526968002319,1,54
4.145017862319946,0,590
4.198922872543335,0,56
4.199012994766235,0,590
4.199665784835815,-1,56
4.1997230052948,1,590
4.213249921798706,0,56
4.230711936950684,-1,56
4.232622861862183,-1,590
4.26252293586731,0,1440
4.262816905975342,0,1260
4.263003826141357,0,54
4.283113956451416,1,54
4.334228992462158,-1,56
4.3344738483428955,1,590
4.50539493560791,-1,590
4.50609278678894,0,1440
4.506878852844238,0,746
4.506878852844238,0,746
4.507146835327148,0,66
4.508699893951416,1,590
4.710073947906494,-1,56
4.710425853729248,-1,590
4.724264860153198,1,590
4.923992872238159,-1,590
4.924332857131958,1,590
5.120957851409912,-1,56
5.121058940887451,1,590
5.325425863265991,-1,590
5.325629949569702,1,590
5.4231579303741455,-1,590
5.423302888870239,1,590
5.632285833358765,-1,56
5.632285833358765,-1,590
5.632643938064575,1,590
5.8365349769592285,-1,590
5.836880922317505,1,590
6.122600793838501,-1,56
6.122819900512695,1,590
6.349847793579102,-1,56
6.350072860717773,-1,590
6.352799892425537,1,590
6.553367853164673,-1,56
12.411465883255005,0,590
12.461692810058594,0,54
12.697447776794434,-1,590
12.749764919281006,1,54
16.691744804382324,0,590
16.744075775146484,0,54
19.1493079662323,-1,590
19.20643401145935,1,54
21.89262294769287,1,590
22.118366956710815,-1,56
25.17509698867798,0,590
25.189634799957275,0,56
29.389408826828003,-1,590
29.432946920394897,1,54
31.058817863464355,0,590
31.073352813720703,0,56
34.40693688392639,0,590
34.45962190628052,0,54
36.46380281448364,1,590
36.64927697181702,-1,56
39.689982891082764,0,590
39.70564794540405,0,56
