delta_time,direction,length
0.0,-1,602
0.00021314620971679688,1,66
3.0537631511688232,1,566
3.0537829399108887,1,102
3.1914970874786377,-1,66
3.262279987335205,-1,602
3.262495994567871,1,66
3.264436960220337,1,566
3.2644410133361816,1,566
3.2644729614257812,1,116
3.3867640495300293,-1,66
3.462167978286743,-1,1440
3.462383985519409,-1,1440
3.462428092956543,1,66
3.4624831676483154,1,66
3.462555170059204,1,66
3.4630320072174072,-1,938
3.4630980491638184,1,66
3.5860390663146973,-1,602
3.586207151412964,1,66
3.5943119525909424,1,566
3.594393014907837,1,102
3.595839023590088,1,566
3.5958690643310547,1,102
3.7168691158294678,-1,66
3.7187271118164062,-1,66
3.771599054336548,-1,1116
3.7717740535736084,1,66
3.7719740867614746,1,66
3.799215078353882,-1,1440
3.7993500232696533,1,66
3.818864107131958,1,602
3.8189470767974854,1,566
3.818959951400757,1,102
3.819020986557007,1,66
3.8946831226348877,-1,770
3.894848108291626,1,66
3.895643949508667,1,566
3.8956711292266846,1,102
3.935608148574829,-1,66
3.939455986022949,-1,602
3.9396021366119385,1,66
3.9401140213012695,1,602
3.9414639472961426,-1,66
4.016765117645264,-1,602
4.01676607131958,-1,66
4.016847133636475,1,66
4.01726508140564,1,566
4.017284154891968,1,102
4.0977160930633545,-1,66
4.097887992858887,1,602
4.140697956085205,-1,66
4.1797590255737305,-1,602
4.179924011230469,1,66
4.212975978851318,-1,66
4.213149070739746,1,602
4.2637550830841064,-1,602
4.263926029205322,1,66
4.2652270793914795,1,566
4.265287160873413,1,102
4.296985149383545,-1,1116
4.297147035598755,1,66
4.328149080276489,-1,66
4.3867411613464355,-1,66
4.429816007614136,-1,602
4.429883003234863,1,66
4.430143117904663,1,566
4.4301581382751465,1,102
4.543036937713623,-1,602
4.543138027191162,1,66
4.543452978134155,1,602
4.552736043930054,-1,66
4.603561162948608,-1,602
4.603669166564941,1,66
4.603870153427124,1,566
4.603891134262085,1,102
4.660284996032715,-1,66
4.726659059524536,-1,66
4.875121116638184,-1,602
4.8752970695495605,1,66
4.875806093215942,1,602
4.992237091064453,-1,66
6.939655065536499,1,566
6.939816951751709,1,102
7.062620162963867,-1,66
9.462296962738037,1,602
9.582153081893921,-1,66
11.87848711013794,-1,602
11.878711938858032,1,66
12.697540998458862,-1,602
12.697746992111206,1,66
15.25897216796875,-1,602
15.259155988693237,1,66
19.251235008239746,-1,602
19.251450061798096,1,66
21.437235116958618,1,602
21.556808948516846,-1,66
23.66295599937439,1,602
23.664956092834473,1,1440
23.6649911403656,1,1284
23.780363082885742,-1,66
23.78036594390869,-1,66
25.80469012260437,-1,602
25.80489706993103,1,66
27.25287413597107,1,602
27.373260974884033,-1,66
