delta_time,direction,length
0.0,1,602
0.1523599624633789,-1,66
5.160271883010864,1,602
5.2937188148498535,-1,66
5.548259973526001,-1,602
5.5483598709106445,1,66
7.682214975357056,1,602
7.8135199546813965,-1,66
7.88449501991272,1,602
7.884545803070068,1,602
7.955636978149414,-1,602
7.9557108879089355,1,66
7.994755983352661,-1,66
7.994848966598511,1,1116
8.00523591041565,-1,66
8.00614595413208,-1,602
8.006215810775757,1,66
8.00739598274231,1,602
8.065791845321655,-1,602
8.065876960754395,1,66
8.104538917541504,-1,66
8.10462999343872,1,602
8.13617491722107,-1,602
8.136274814605713,1,66
8.137264966964722,1,602
8.214246988296509,-1,66
8.29120683670044,-1,1436
8.291208982467651,-1,1436
8.291209936141968,-1,1396
8.291301965713501,1,66
8.291422843933105,1,66
8.299318790435791,-1,66
8.329752922058105,-1,602
8.329844951629639,1,66
8.330623865127563,1,602
8.402058839797974,-1,688
8.402156829833984,1,66
8.40344500541687,1,602
8.45258378982544,-1,66
8.497210025787354,-1,602
8.497299909591675,1,66
8.49757194519043,1,602
8.513094902038574,-1,66
8.513197898864746,1,1138
8.619670867919922,-1,66
8.623188018798828,-1,66
8.702538013458252,-1,602
8.70261287689209,1,66
8.70303988456726,1,602
8.76911187171936,-1,1436
8.769186973571777,1,66
8.812358856201172,-1,1288
8.812419891357422,1,66
8.813169956207275,-1,66
8.813217878341675,1,602
8.923707962036133,-1,66
8.923800945281982,1,602
9.006826877593994,-1,602
9.006917953491211,1,66
9.034235954284668,-1,66
9.034326791763306,1,602
9.144447803497314,-1,66
9.271472930908203,-1,602
9.27153992652893,1,66
9.272799015045166,1,1116
9.38287091255188,-1,66
9.791743993759155,-1,1436
9.791745901107788,-1,1436
9.791746854782104,-1,946
9.791844844818115,1,66
9.791985988616943,1,66
9.901386022567749,-1,602
9.901479005813599,1,66
9.911908864974976,1,602
10.02192997932434,-1,66
10.022028923034668,1,602
10.131690979003906,-1,66
10.206423997879028,-1,1116
10.206514835357666,1,66
10.303177833557129,-1,1436
10.303179025650024,-1,1436
10.303180932998657,-1,1436
10.303181886672974,-1,1436
10.30318284034729,-1,1436
10.303183794021606,-1,1436
10.303287982940674,1,66
10.303466796875,1,66
10.30364990234375,1,602
10.315159797668457,-1,1436
10.315161943435669,-1,1436
10.315233945846558,1,602
10.315376996994019,1,66
10.317433834075928,-1,1436
10.317435026168823,-1,1436
10.31743597984314,-1,376
10.3174889087677,1,66
10.317575931549072,1,66
10.414808988571167,-1,1436
10.4148108959198,-1,1436
10.414811849594116,-1,1436
10.414812803268433,-1,1436
10.414813995361328,-1,1436
10.414814949035645,-1,1436
10.414815902709961,-1,1436
10.414815902709961,-1,1436
10.414816856384277,-1,66
10.414922952651978,1,66
10.415120840072632,1,66
10.425256967544556,-1,66
10.425337791442871,1,602
10.427407026290894,-1,524
10.427472829818726,1,66
10.462057828903198,1,1436
10.462076902389526,1,282
10.57141900062561,-1,78
10.571419954299927,-1,66
10.571486949920654,1,1138
10.711363792419434,-1,1436
10.711365938186646,-1,1436
10.711366891860962,-1,1396
10.711367845535278,-1,1436
10.711368799209595,-1,1436
10.711476802825928,1,66
10.711587905883789,1,66
10.722332000732422,-1,1436
10.722332954406738,-1,1436
10.722391843795776,1,66
10.722448825836182,1,66
10.723160982131958,-1,1436
10.723195791244507,1,66
10.737663984298706,-1,66
10.743745803833008,-1,1436
10.74374794960022,-1,1436
10.743834018707275,1,66
10.743929862976074,1,66
10.847445964813232,-1,1436
10.847446918487549,-1,1436
10.847447872161865,-1,1436
10.847537994384766,1,66
10.84767484664917,1,66
10.849043846130371,-1,1436
10.849044799804688,-1,1436
10.849045991897583,-1,1436
10.8490469455719,-1,1436
10.849047899246216,-1,1436
10.849048852920532,-1,1436
10.849049806594849,-1,1436
10.849050998687744,-1,1436
10.84905195236206,-1,1436
10.849052906036377,-1,1436
10.849053859710693,-1,1436
10.84905481338501,-1,1436
10.849056005477905,-1,1436
10.849130868911743,1,66
10.849187850952148,1,66
10.849479913711548,1,1116
10.866508960723877,-1,1436
10.86651086807251,-1,1436
10.866511821746826,-1,1436
10.866513013839722,-1,1436
10.866601943969727,1,66
10.866745948791504,1,66
10.96914792060852,-1,1436
10.969148874282837,-1,1436
10.969149827957153,-1,1436
10.969151020050049,-1,1436
10.969151020050049,-1,1436
10.969151973724365,-1,1436
10.969237804412842,1,66
10.969522953033447,1,66
10.971061944961548,-1,1436
10.971062898635864,-1,1212
10.971062898635864,-1,66
10.971130847930908,1,66
10.971835851669312,1,602
11.052280902862549,-1,1436
11.052282810211182,-1,1436
11.052282810211182,-1,1436
11.052284002304077,-1,1436
11.05237889289856,1,66
11.052478790283203,1,66
11.054673910140991,-1,1436
11.054675817489624,-1,1436
11.05467700958252,-1,1436
11.054756879806519,1,66
11.054893016815186,1,66
11.055835962295532,-1,1436
11.055836915969849,-1,1436
11.055837869644165,-1,1436
11.055838823318481,-1,1436
11.055840015411377,-1,1436
11.055905818939209,1,66
11.055976867675781,1,66
11.06739091873169,-1,1436
11.067391872406006,-1,1436
11.067452907562256,1,602
11.067540884017944,1,66
11.08518385887146,-1,1436
11.085186004638672,-1,1436
11.085265874862671,1,66
11.085392951965332,1,66
11.092192888259888,-1,1430
11.092309951782227,1,66
11.092312812805176,-1,66
11.115652799606323,1,602
11.187968969345093,-1,66
11.225336790084839,-1,66
11.225396871566772,1,602
11.335002899169922,-1,66
11.368382930755615,-1,1436
11.368384838104248,-1,1288
11.368485927581787,1,66
11.418632984161377,-1,1436
11.418730020523071,1,66
11.489989995956421,-1,774
11.490065813064575,1,66
17.654270887374878,1,602
17.795020818710327,-1,66
18.13715100288391,1,602
18.260204792022705,-1,66
24.062578916549683,1,602
24.20213484764099,-1,66
25.384071826934814,1,602
25.51380681991577,-1,66
27.812712907791138,-1,602
27.812814950942993,1,66
31.640950918197632,1,602
31.723076820373535,-1,602
31.723179817199707,1,66
31.75016498565674,-1,66
36.10338497161865,-1,602
36.10348296165466,1,66
40.52669095993042,1,602
40.67113995552063,-1,66
42.591065883636475,1,602
42.72866892814636,-1,66
46.57011079788208,-1,602
46.57021379470825,1,66
48.708189964294434,1,602
48.84733486175537,-1,66
