delta_time,direction,length
0.0,1,602
0.15850400924682617,-1,66
0.2737898826599121,-1,602
0.27393484115600586,1,66
0.2765679359436035,1,1116
0.4280219078063965,-1,66
0.5039539337158203,-1,1354
0.5039558410644531,-1,1354
0.5040969848632812,1,66
0.504241943359375,-1,1110
0.5043120384216309,1,66
0.5043449401855469,1,66
0.5124399662017822,1,602
0.6702389717102051,-1,66
0.6704099178314209,1,602
0.7074298858642578,-1,1116
0.7075779438018799,1,66
0.8206238746643066,-1,66
0.820775032043457,1,602
0.9788069725036621,-1,66
1.0122320652008057,1,590
1.0123569965362549,1,602
1.1253318786621094,-1,56
1.1291818618774414,-1,590
1.1292860507965088,1,54
1.1303229331970215,1,590
1.1311230659484863,-1,602
1.1312649250030518,1,66
1.1321940422058105,1,602
1.24835205078125,-1,602
1.2484898567199707,1,66
1.2874188423156738,-1,56
1.2893118858337402,-1,66
1.2950539588928223,1,602
1.2968299388885498,-1,590
1.2968859672546387,1,54
1.2971599102020264,1,590
1.3658149242401123,-1,602
1.3659489154815674,1,66
1.4104678630828857,-1,56
1.4475648403167725,-1,66
1.4477169513702393,1,602
1.5041298866271973,-1,590
1.504288911819458,1,54
1.5982060432434082,-1,66
1.5983970165252686,1,1116
1.6181449890136719,-1,590
1.6182868480682373,1,54
1.618947982788086,1,590
1.6389968395233154,-1,602
1.639145851135254,1,66
1.7330009937286377,-1,56
1.7488150596618652,-1,66
1.7489559650421143,1,602
1.8324949741363525,-1,1440
1.8324978351593018,-1,1440
1.8324999809265137,-1,902
1.8326878547668457,1,54
1.832831859588623,1,54
1.9012608528137207,-1,66
1.9241878986358643,-1,602
1.9243340492248535,1,66
1.9247219562530518,1,602
1.945693016052246,-1,1126
1.9458448886871338,1,54
1.9462130069732666,1,590
2.0175728797912598,1,1354
2.0176029205322266,1,386
2.058927059173584,-1,56
2.059072971343994,1,590
2.078934907913208,-1,66
2.135063886642456,-1,66
2.1389689445495605,-1,602
2.139106035232544,1,66
2.140187978744507,1,602
2.17242693901062,-1,56
2.1741089820861816,-1,590
2.1742138862609863,1,54
2.1752829551696777,1,590
2.2518198490142822,-1,1440
2.2519538402557373,1,54
2.25357985496521,-1,1440
2.2537078857421875,1,54
2.283828020095825,-1,1440
2.283829927444458,-1,1440
2.283982992172241,1,54
2.2843308448791504,1,54
2.2858450412750244,-1,1440
2.2860069274902344,1,54
2.287355899810791,-1,364
2.287358045578003,-1,66
2.2874538898468018,1,54
2.28755784034729,1,602
2.296942949295044,-1,602
2.2970499992370605,1,66
2.3221490383148193,-1,1440
2.322150945663452,-1,1440
2.3223068714141846,1,54
2.3225178718566895,1,54
2.3234219551086426,1,590
2.350429058074951,-1,1440
2.350550889968872,1,54
2.3518359661102295,-1,1440
2.3519580364227295,1,54
2.37309193611145,-1,1440
2.3732118606567383,1,54
2.3736040592193604,-1,1440
2.3736069202423096,-1,1440
2.373755931854248,1,590
2.4007129669189453,-1,206
2.4009029865264893,1,54
2.4073989391326904,-1,1440
2.408302068710327,-1,1440
2.408439874649048,1,54
2.421726942062378,-1,1440
2.4222488403320312,-1,1440
2.4224159717559814,1,54
2.439754009246826,-1,66
2.4399008750915527,1,602
2.4456939697265625,-1,1440
2.445694923400879,-1,1440
2.4456958770751953,-1,1440
2.4457640647888184,1,54
2.445854902267456,1,54
2.514042854309082,-1,720
2.5141868591308594,1,54
2.51459002494812,1,590
2.518350839614868,1,1354
2.5183708667755127,1,386
2.588175058364868,-1,66
2.613956928253174,-1,602
2.614032030105591,1,602
2.6352858543395996,-1,66
2.676090955734253,-1,56
2.6858599185943604,-1,590
2.686053991317749,1,54
2.686173915863037,1,590
2.736453056335449,-1,1440
2.736454963684082,-1,1440
2.73659086227417,1,54
2.7623000144958496,-1,1440
2.762833833694458,-1,1440
2.76289701461792,1,590
2.764164924621582,-1,1440
2.769773006439209,-1,66
2.7698709964752197,1,602
2.791632890701294,-1,1440
2.791851043701172,1,54
2.792240858078003,-1,1440
2.7923219203948975,1,54
2.793199062347412,-1,1440
2.798198938369751,-1,1412
2.7983169555664062,1,54
2.7991199493408203,-1,56
2.812692880630493,-1,1440
2.813340902328491,-1,1440
2.8134310245513916,1,54
2.8388710021972656,-1,1440
2.8388729095458984,-1,1440
2.8391318321228027,1,54
2.8404479026794434,-1,1440
2.8551599979400635,-1,1440
2.8553948402404785,1,54
2.8557538986206055,-1,1440
2.8557560443878174,-1,1440
2.855875015258789,1,590
2.882366895675659,-1,1440
2.882369041442871,-1,1440
2.88250994682312,1,54
2.882746934890747,1,54
2.8833680152893066,-1,1440
2.8867318630218506,-1,1354
2.886734962463379,-1,1354
2.8869009017944336,1,66
2.8870890140533447,1,66
2.887460947036743,-1,596
2.887558937072754,1,66
2.897477865219116,-1,1440
2.897480010986328,-1,1440
2.8974809646606445,-1,1440
2.8977179527282715,1,54
2.8985588550567627,-1,1440
2.912458896636963,-1,1028
2.9126179218292236,1,54
2.9203150272369385,-1,1440
2.9203169345855713,-1,1440
2.92049503326416,1,590
2.9421629905700684,-1,1440
2.942164897918701,-1,1440
2.9424068927764893,1,54
2.9436628818511963,-1,1440
2.9494268894195557,-1,1440
2.9494290351867676,-1,1440
2.949620008468628,1,54
2.951201915740967,-1,1354
2.951205015182495,-1,1354
2.9513559341430664,1,66
2.951472043991089,-1,1354
2.9515769481658936,1,66
2.951882839202881,1,66
2.9521429538726807,1,602
2.965200901031494,-1,1354
2.9660849571228027,-1,1440
2.9660868644714355,-1,1440
2.966398000717163,1,54
2.9671790599823,-1,1440
2.979167938232422,-1,1440
2.9791698455810547,-1,1440
2.9793150424957275,1,54
2.9796030521392822,1,54
2.9820609092712402,-1,1440
2.9888558387756348,-1,1440
2.9890499114990234,1,54
2.9986300468444824,-1,1440
2.9986329078674316,-1,1440
2.998868942260742,1,590
3.0001280307769775,-1,1440
3.00335693359375,-1,1440
3.0035040378570557,1,54
3.0043530464172363,-1,1440
3.004504919052124,1,54
3.016695022583008,-1,1440
3.017629861831665,-1,1440
3.017791986465454,1,54
3.0182478427886963,-1,1354
3.018249034881592,-1,1354
3.0183379650115967,1,66
3.0184779167175293,1,66
3.0196399688720703,-1,1440
3.0246028900146484,-1,1180
3.0247879028320312,1,54
3.074553966522217,-1,56
3.1077818870544434,-1,650
3.107938051223755,1,66
3.1116299629211426,-1,56
3.1116719245910645,1,590
3.123913049697876,1,602
3.2254438400268555,-1,56
3.2775349617004395,-1,66
3.277708053588867,1,602
3.3829269409179688,-1,1354
3.3829288482666016,-1,1354
3.3830819129943848,1,66
3.383105993270874,-1,82
3.3834228515625,1,66
3.4312119483947754,-1,66
3.5342559814453125,-1,1354
3.5354440212249756,-1,856
3.53550386428833,1,66
6.398798942565918,-1,590
6.399049997329712,1,54
8.958860874176025,-1,590
8.959089040756226,1,54
10.10117506980896,1,602
10.25826096534729,-1,66
16.33859395980835,-1,590
16.338871955871582,1,54
16.59183096885681,1,602
16.84514594078064,-1,66
21.556545972824097,-1,590
21.55679488182068,1,54
22.477309942245483,-1,602
22.477421045303345,1,66
26.366894006729126,-1,602
26.367003917694092,1,66
26.67662000656128,-1,590
26.676851987838745,1,54
30.501899003982544,1,602
30.65888500213623,-1,66
31.077515840530396,-1,590
31.077762842178345,1,54
34.559141874313354,-1,590
34.55933403968811,1,54
38.07392406463623,1,602
38.22955393791199,-1,66
38.500365018844604,1,590
38.61795091629028,-1,56
43.46797204017639,-1,602
43.46811604499817,1,66
44.38955593109131,-1,590
44.38970994949341,1,54
