delta_time,direction,length
0.0,0,590
0.05497002601623535,0,54
3.4710941314697266,1,590
3.605241060256958,-1,56
4.210295915603638,0,590
4.224117994308472,0,56
4.404259920120239,0,590
4.408984899520874,0,1104
4.421129941940308,0,56
4.609757900238037,0,1440
4.610958099365234,0,1440
4.610958099365234,0,902
4.611253023147583,0,54
4.61993408203125,0,590
4.620253086090088,0,54
4.638447999954224,0,590
4.650564908981323,0,56
4.650783061981201,0,590
4.662658929824829,0,56
4.662888050079346,0,590
4.674621105194092,0,56
4.75258207321167,0,1104
4.799945116043091,0,54
4.8469719886779785,0,1440
4.8469719886779785,0,1440
4.8469719886779785,0,902
4.847145080566406,0,54
4.847938060760498,0,590
4.849290132522583,-1,590
4.849290132522583,-1,590
4.849496126174927,1,54
4.850335121154785,-1,590
4.850335121154785,-1,590
4.850335121154785,-1,590
4.850335121154785,-1,590
4.850464105606079,1,54
4.8516950607299805,-1,458
4.8539719581604,-1,590
4.8539719581604,-1,590
4.854129076004028,1,54
4.855595111846924,-1,590
4.8557350635528564,1,54
4.860419988632202,0,56
4.866626977920532,0,1440
4.866818904876709,0,1260
4.866919994354248,0,54
4.925503969192505,0,1440
4.92592191696167,0,1440
4.9262120723724365,0,54
4.926433086395264,0,902
4.9428980350494385,0,1440
4.9428980350494385,0,1440
4.943290948867798,0,54
4.9436609745025635,-1,590
4.9436609745025635,-1,590
4.944001913070679,1,54
4.944422006607056,-1,590
4.944422006607056,-1,590
4.944422006607056,-1,590
4.944422006607056,-1,590
4.944422006607056,-1,590
4.944422006607056,-1,590
4.944901943206787,1,54
4.945125102996826,-1,590
4.945125102996826,-1,590
4.945413112640381,1,54
4.946151971817017,0,1440
4.946151971817017,0,1440
4.946435928344727,0,54
4.946645975112915,0,1440
4.946878910064697,0,54
4.946969985961914,0,590
4.947618007659912,-1,590
4.947618007659912,-1,590
4.947890043258667,1,54
4.948096036911011,-1,590
4.948096036911011,-1,590
4.948370933532715,1,54
4.948965072631836,-1,590
4.950546979904175,-1,590
4.950546979904175,-1,590
4.950896978378296,1,54
4.956547021865845,0,364
5.000396966934204,0,56
5.007030963897705,0,54
5.025352954864502,0,1440
5.025568962097168,0,1440
5.025697946548462,0,54
5.026120901107788,0,1352
5.026120901107788,0,1440
5.026120901107788,0,1440
5.026120901107788,0,1440
5.02626895904541,0,54
5.037858963012695,0,116
5.039747953414917,-1,590
5.039747953414917,-1,590
5.040048122406006,1,54
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040211915969849,-1,590
5.040508985519409,1,54
5.040805101394653,1,590
5.04118013381958,-1,590
5.04118013381958,-1,590
5.041440963745117,1,54
5.042211055755615,-1,590
5.042211055755615,-1,590
5.042464017868042,1,54
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054336071014404,-1,590
5.054836988449097,1,54
5.079297065734863,0,1104
5.085990905761719,0,1440
5.085990905761719,0,1440
5.086205005645752,0,54
5.091140985488892,0,388
5.091331958770752,0,1104
5.103327989578247,0,1440
5.103548049926758,0,590
5.103851079940796,0,1440
5.104010105133057,0,54
5.104758024215698,0,1352
5.104758024215698,0,1440
5.104883909225464,0,54
5.116615056991577,0,296
5.116770029067993,0,54
5.134205102920532,-1,590
5.134205102920532,-1,590
5.134205102920532,-1,590
5.134205102920532,-1,590
5.134687900543213,1,54
5.135045051574707,-1,590
5.135045051574707,-1,590
5.135045051574707,-1,590
5.135045051574707,-1,590
5.135395050048828,1,54
