delta_time,direction,length
0.0,-1,66
2.884334087371826,1,602
3.0020041465759277,-1,66
3.062014102935791,-1,1440
3.0621280670166016,1,66
3.0622670650482178,-1,1440
3.062317132949829,1,66
3.0629220008850098,-1,1388
3.0629241466522217,-1,1440
3.0629870891571045,1,66
3.064018964767456,-1,1440
3.064065933227539,1,66
3.067518949508667,-1,1440
3.0675771236419678,1,66
3.0678770542144775,-1,1440
3.0679290294647217,1,66
3.0684280395507812,-1,1440
3.0684800148010254,1,66
3.074643135070801,-1,1440
3.074702024459839,1,66
3.0762081146240234,-1,1440
3.076249122619629,1,66
3.095392942428589,-1,1440
3.0955519676208496,1,66
3.0956950187683105,-1,1440
3.0957441329956055,1,66
3.096248149871826,-1,1388
3.096250057220459,-1,1440
3.0963330268859863,1,66
3.0976810455322266,-1,1440
3.0976829528808594,-1,1440
3.097684144973755,-1,1440
3.0977671146392822,1,66
3.0978989601135254,1,66
3.1192660331726074,-1,1440
3.1193830966949463,1,66
3.130488157272339,-1,1440
3.130495071411133,-1,1440
3.1305899620056152,1,66
3.1307010650634766,1,66
3.1769580841064453,-1,1440
3.1771371364593506,1,66
3.17733097076416,-1,1440
3.1774120330810547,1,66
3.177582025527954,1,602
3.1791510581970215,-1,1440
3.1791529655456543,-1,1440
3.179155111312866,-1,1440
3.1791560649871826,-1,1440
3.1791579723358154,-1,1440
3.1792280673980713,1,66
3.1793301105499268,1,66
3.1810050010681152,-1,1440
3.181007146835327,-1,1440
3.181065082550049,1,66
3.1812329292297363,1,66
3.229736089706421,1,1440
3.229759931564331,1,300
3.2612149715423584,-1,1440
3.2612171173095703,-1,1440
3.2613091468811035,1,66
3.2614409923553467,1,66
3.2616920471191406,-1,1440
3.2616939544677734,-1,1440
3.2617480754852295,1,66
3.2618069648742676,1,66
3.2641279697418213,-1,1440
3.264130115509033,-1,1440
3.2641820907592773,1,66
3.2642810344696045,1,66
3.265273094177246,-1,1440
3.265275001525879,-1,1440
3.2652759552001953,-1,1440
3.265277147293091,-1,1440
3.2652781009674072,-1,1440
3.2652790546417236,-1,1440
3.26528000831604,-1,1440
3.2652809619903564,-1,1440
3.265282154083252,-1,1440
3.2652831077575684,-1,1440
3.2652840614318848,-1,1440
3.265285015106201,-1,1440
3.265289068222046,-1,1440
3.2652900218963623,-1,1440
3.265291929244995,-1,916
3.2652931213378906,-1,1440
3.265294075012207,-1,1440
3.2652950286865234,-1,1440
3.26529598236084,-1,1440
3.2652981281280518,-1,1440
3.265299081802368,-1,1440
3.2653000354766846,-1,1440
3.265300989151001,-1,1440
3.2653019428253174,-1,1440
3.265303134918213,-1,1440
3.2653610706329346,1,602
3.2653839588165283,1,66
3.2654080390930176,1,66
3.2654359340667725,1,66
3.2655670642852783,1,1116
3.265592098236084,1,66
3.2736339569091797,1,1440
3.2929580211639404,-1,1440
3.292958974838257,-1,1440
3.2930729389190674,1,66
3.2933709621429443,-1,1440
3.29337215423584,-1,1440
3.293426990509033,1,66
3.293704032897949,-1,66
3.293750047683716,1,792
3.3795721530914307,-1,1440
3.380195140838623,-1,1440
3.380197048187256,-1,1440
3.380300998687744,1,412
3.381535053253174,-1,1440
3.3815360069274902,-1,1440
3.3815369606018066,-1,1440
3.381538152694702,-1,1440
3.3815391063690186,-1,1440
3.381540060043335,-1,1440
3.3815410137176514,-1,1440
3.3815419673919678,-1,1440
3.3815431594848633,-1,1440
3.3815441131591797,-1,1440
3.381545066833496,-1,1440
3.3815460205078125,-1,1440
3.3815481662750244,-1,1440
3.3815481662750244,-1,1440
3.3815500736236572,-1,1440
3.3815500736236572,-1,1440
3.3815510272979736,-1,1440
