delta_time,direction,length
0.0,1,602
0.13766813278198242,-1,66
2.3561952114105225,-1,602
2.3562870025634766,1,66
4.72521710395813,1,602
4.801667213439941,-1,602
4.801765203475952,1,66
4.833164215087891,-1,66
5.815248012542725,1,602
5.938854217529297,-1,66
5.9958600997924805,-1,602
5.995959043502808,1,66
5.996796131134033,1,1116
6.10462212562561,-1,66
6.173358201980591,-1,1436
6.173360109329224,-1,1436
6.17336106300354,-1,946
6.1734631061553955,1,66
6.173638105392456,1,66
6.303620100021362,-1,602
6.303714036941528,1,66
6.313229084014893,1,602
6.42067813873291,-1,66
6.420781135559082,1,602
6.46982216835022,-1,1116
6.4699180126190186,1,66
6.519363164901733,1,602
6.528027057647705,-1,66
6.528119087219238,1,602
6.57374119758606,-1,1436
6.573743104934692,-1,1436
6.573743104934692,-1,1436
6.573818206787109,1,66
6.5739381313323975,1,66
6.577268123626709,-1,112
6.577329158782959,1,602
6.581640005111694,-1,1436
6.58164119720459,-1,1436
6.581642150878906,-1,1436
6.581701993942261,1,66
6.581805229187012,1,66
6.585218191146851,-1,1436
6.585220098495483,-1,1436
6.5852210521698,-1,1436
6.585280179977417,1,66
6.585381031036377,1,66
6.615191221237183,-1,1436
6.615192174911499,-1,1436
6.615193128585815,-1,1396
6.615193128585815,-1,1436
6.615194082260132,-1,1436
6.615195035934448,-1,1436
6.615265130996704,1,66
6.615368127822876,1,66
6.625049114227295,-1,1436
6.625050067901611,-1,1436
6.625143051147461,1,66
6.6252992153167725,1,66
6.635373115539551,-1,66
6.644935131072998,-1,66
6.647831201553345,-1,1436
6.647832155227661,-1,1436
6.647890090942383,1,66
6.6479811668396,1,66
6.681351184844971,-1,1436
6.681352138519287,-1,1436
6.6813530921936035,-1,1436
6.68135404586792,-1,1436
6.68135404586792,-1,1436
6.681354999542236,-1,1436
6.68143105506897,1,66
6.681528091430664,1,66
6.685063123703003,-1,1436
6.685064077377319,-1,1436
6.685133218765259,1,602
6.685225009918213,1,66
6.689399003982544,-1,1436
6.6894001960754395,-1,1436
6.689401149749756,-1,1436
6.689402103424072,-1,1436
6.689403057098389,-1,1436
6.689403057098389,-1,1436
6.689477205276489,1,66
6.691624164581299,1,66
6.692883014678955,-1,1436
6.692884206771851,-1,1436
6.692885160446167,-1,1436
6.692886114120483,-1,1436
6.692886114120483,-1,1436
6.6928870677948,-1,1436
6.692957162857056,1,66
6.693141222000122,1,1116
6.727549076080322,1,1436
6.727570056915283,1,796
6.733476161956787,1,1436
6.7335100173950195,1,282
6.7349700927734375,1,1436
6.734991073608398,1,774
6.742172002792358,-1,1436
6.742173194885254,-1,1436
6.742173194885254,-1,1436
6.74217414855957,-1,1436
6.742175102233887,-1,1436
6.742176055908203,-1,1436
6.7421770095825195,-1,1436
6.742178201675415,-1,1436
6.742178201675415,-1,1436
6.7421791553497314,-1,1436
6.742180109024048,-1,1436
6.742181062698364,-1,1436
6.7422730922698975,1,66
6.742325067520142,1,66
6.742445230484009,1,66
6.7429070472717285,1,1116
6.75176215171814,-1,1436
6.751763105392456,-1,1436
6.7517640590667725,-1,1436
6.751765012741089,-1,1436
6.751840114593506,1,66
6.7519590854644775,1,66
6.7745749950408936,-1,1436
6.7745771408081055,-1,1436
6.774578094482422,-1,1436
6.774579048156738,-1,1436
6.774672031402588,1,602
