delta_time,direction,length
0.0,-1,590
0.00016999244689941406,1,54
0.20325684547424316,1,602
0.35475587844848633,-1,66
0.676231861114502,1,602
0.8248429298400879,-1,66
0.8843867778778076,-1,602
0.8845229148864746,1,66
0.8864219188690186,1,1116
1.0354878902435303,-1,66
1.0991737842559814,-1,1354
1.0991768836975098,-1,1354
1.099341869354248,1,66
1.0995569229125977,1,66
1.0999128818511963,-1,1110
1.1000218391418457,1,66
1.2135767936706543,-1,602
1.213716983795166,1,66
1.22216796875,1,602
1.375105857849121,-1,66
1.375255823135376,1,602
1.4336369037628174,-1,1116
1.4337968826293945,1,66
1.5251209735870361,-1,66
1.574821949005127,1,602
1.574908971786499,1,590
1.5886549949645996,-1,1354
1.5886578559875488,-1,1354
1.5886588096618652,-1,1110
1.588777780532837,1,66
1.5888898372650146,1,66
1.5914568901062012,-1,1354
1.5914599895477295,-1,1354
1.591460943222046,-1,1354
1.5915439128875732,1,602
1.5916409492492676,1,66
1.604801893234253,-1,1354
1.6048028469085693,-1,1354
1.6048049926757812,-1,1354
1.6048059463500977,-1,1354
1.604909896850586,1,66
1.605090856552124,1,66
1.6187489032745361,-1,1104
1.6188478469848633,1,54
1.6236798763275146,-1,1440
1.6236817836761475,-1,1440
1.623682975769043,-1,1440
1.6237897872924805,-1,1440
1.6237919330596924,-1,1440
1.6238298416137695,1,54
1.6238768100738525,1,54
1.6239218711853027,1,54
1.6263108253479004,-1,1440
1.6263139247894287,-1,1440
1.6264338493347168,1,54
1.6266109943389893,1,54
1.6342809200286865,-1,1354
1.6342828273773193,-1,1354
1.6342849731445312,-1,1354
1.634415864944458,1,602
1.6345798969268799,1,66
1.6382169723510742,-1,1354
1.6383018493652344,1,66
1.644805908203125,-1,1440
1.6449379920959473,1,54
1.6501388549804688,-1,1440
1.6502609252929688,1,54
1.6739189624786377,1,1354
1.6739399433135986,1,364
1.6878588199615479,-1,56
1.7014439105987549,-1,1354
1.701591968536377,1,1138
1.7018468379974365,-1,1354
1.701847791671753,-1,1354
1.7018489837646484,-1,1354
1.7018499374389648,-1,1354
1.7018508911132812,-1,1354
1.7019028663635254,1,66
1.701969861984253,1,66
1.7045350074768066,-1,1354
1.7045369148254395,-1,1354
1.7045388221740723,-1,1354
1.7045397758483887,-1,1354
1.7045409679412842,-1,1354
1.704615831375122,1,66
1.7046878337860107,1,66
1.7047178745269775,1,66
1.7181448936462402,-1,1354
1.718146800994873,-1,1354
1.7182059288024902,-1,1354
1.7182068824768066,-1,1354
1.7182087898254395,-1,1354
1.718209981918335,-1,1354
1.718256950378418,1,602
1.718297004699707,1,66
1.7183477878570557,1,66
1.7310400009155273,1,1354
1.7310659885406494,1,878
1.7317898273468018,-1,1440
1.7318317890167236,-1,1440
1.7318658828735352,1,54
1.7318909168243408,1,54
1.7319209575653076,1,54
1.7360458374023438,-1,1440
1.7360479831695557,-1,1440
1.7361068725585938,1,54
1.7361969947814941,1,54
1.7362358570098877,1,590
1.7381010055541992,-1,1440
1.738102912902832,-1,1440
1.7381038665771484,-1,1440
1.7381048202514648,-1,1440
1.7381069660186768,-1,1440
1.7381079196929932,-1,1440
1.7381088733673096,-1,1440
1.7381107807159424,-1,1440
1.7382099628448486,1,54
1.7383179664611816,1,54
1.7390258312225342,-1,1440
1.7390267848968506,-1,1440
1.73909592628479,1,54
1.7391459941864014,1,54
1.7459919452667236,-1,1440
1.74599289894104,-1,1440
1.7460758686065674,1,590
1.7461278438568115,1,54
1.7473759651184082,-1,1354
1.747377872467041,-1,1354
1.7473788261413574,-1,1354
1.7473809719085693,-1,1354
1.7473828792572021,-1,1354
1.7474868297576904,1,66
1.747605800628662,1,66
1.7509567737579346,-1,1354
1.7510027885437012,1,602
