delta_time,direction,length
0.0,1,602
0.001622915267944336,1,602
0.11873602867126465,-1,66
0.12651896476745605,-1,66
0.16949987411499023,-1,602
0.16963696479797363,1,66
0.22721195220947266,-1,602
0.22740602493286133,1,66
1.0064020156860352,1,602
1.00770902633667,1,1440
1.0077199935913086,1,256
1.1250240802764893,-1,66
1.1250250339508057,-1,78
1.1264729499816895,-1,66
1.1755990982055664,-1,1440
1.1757230758666992,1,66
1.177649974822998,-1,770
1.1777560710906982,1,66
2.0121030807495117,1,602
2.013547897338867,1,602
2.1343798637390137,-1,66
2.1402089595794678,-1,66
2.2127978801727295,-1,602
2.2129759788513184,1,66
3.017469882965088,1,602
3.142267942428589,-1,66
3.2146239280700684,-1,602
3.2148520946502686,1,66
3.3446860313415527,1,602
3.4664559364318848,-1,66
3.5739588737487793,-1,602
3.5741429328918457,1,66
3.577802896499634,1,1116
3.7007880210876465,-1,66
3.7145309448242188,-1,602
3.714684009552002,1,66
3.7985339164733887,-1,1440
3.79872989654541,1,66
3.7989420890808105,-1,1440
3.7998299598693848,1,66
3.8336808681488037,-1,1440
3.833838939666748,1,66
3.83811092376709,-1,100
3.8381919860839844,1,66
3.845097064971924,1,602
3.995054006576538,1,602
4.009367942810059,-1,66
4.009509086608887,1,1138
4.058290958404541,-1,1116
4.058430910110474,1,66
4.1109559535980225,-1,66
4.114868879318237,-1,602
4.115020036697388,1,66
4.116282939910889,1,602
4.132755994796753,-1,66
4.18136191368103,-1,602
4.18149209022522,1,66
4.1824939250946045,1,602
4.240190029144287,-1,1440
4.2403459548950195,1,66
4.240508079528809,-1,1440
4.240576982498169,1,66
4.241024017333984,-1,1440
4.241024971008301,-1,1440
4.241070985794067,1,66
4.2411720752716064,1,66
4.241815090179443,-1,1440
4.241848945617676,1,66
4.253998041152954,-1,1440
4.254149913787842,1,66
4.2542829513549805,-1,1440
4.254347085952759,1,66
4.254810094833374,-1,1388
4.254832983016968,1,66
4.255548000335693,-1,1440
4.255588054656982,1,66
4.258424997329712,-1,1440
4.258462905883789,1,66
4.259413003921509,-1,1440
4.259413957595825,-1,1440
4.259454011917114,1,66
4.259532928466797,1,66
4.260513067245483,-1,1440
4.260555028915405,1,66
4.26132607460022,1,602
4.263118028640747,-1,1440
4.2631590366363525,1,66
4.263467073440552,-1,1440
4.263503074645996,1,66
4.2778708934783936,-1,1440
4.277991056442261,1,602
4.2781829833984375,-1,1440
4.278233051300049,1,66
4.278915882110596,-1,1440
4.27894401550293,1,66
4.303207874298096,-1,1440
4.303210020065308,-1,1440
4.303340911865234,1,66
4.303466081619263,-1,1440
4.303534030914307,1,66
4.30426287651062,-1,66
4.362037897109985,-1,1440
4.362040042877197,-1,1440
4.36216402053833,1,602
4.362303018569946,1,66
4.362406015396118,-1,1440
4.362406969070435,-1,1440
4.362407922744751,-1,1440
4.362410068511963,-1,1440
4.362411975860596,-1,1440
4.362489938735962,1,66
4.362936973571777,-1,1440
4.363025903701782,1,66
4.3647849559783936,-1,1440
4.365113019943237,-1,1440
4.36549186706543,1,66
4.368422985076904,-1,1440
4.368485927581787,1,66
4.368774890899658,-1,1440
4.368804931640625,1,66
4.369600057601929,-1,1440
4.369631052017212,1,66
4.370388984680176,-1,1440
4.370389938354492,-1,1440
4.370423078536987,1,66
4.370496988296509,1,66
4.370750904083252,-1,1440
4.3707520961761475,-1,1440
4.370784044265747,1,602
4.370847940444946,1,66
4.372834920883179,-1,1440
4.372837066650391,-1,1440
4.372936964035034,1,66
4.373190879821777,1,66
4.373224973678589,-1,1440
4.373291015625,1,66
4.3739540576934814,-1,1440
4.374463081359863,-1,1440
4.374464988708496,-1,1440
4.374855041503906,1,66
4.375844955444336,-1,1440
4.375845909118652,-1,1440
4.375846862792969,-1,1440
4.375977039337158,1,66
4.377441883087158,-1,1440
4.377515077590942,1,602
4.377901077270508,-1,1440
4.377954006195068,1,66
4.378201961517334,-1,1440
4.378537893295288,-1,1440
4.378616094589233,1,66
4.3990349769592285,-1,1440
4.399121999740601,1,602
4.400064945220947,-1,1440
4.400151014328003,1,66
4.400686025619507,-1,1440
4.400718927383423,1,66
4.401134014129639,-1,1440
4.401134967803955,-1,1440
4.401211977005005,1,66
4.401827096939087,-1,1440
4.401895046234131,1,66
4.415903091430664,1,1440
4.415926933288574,1,792
4.417903900146484,1,1440
4.417918920516968,1,770
4.419486999511719,1,1440
4.419494867324829,1,1284
4.424712896347046,-1,1440
4.425148010253906,-1,1440
4.425149917602539,-1,1440
4.42523193359375,1,66
4.425559043884277,-1,1440
4.425559997558594,-1,1440
4.425623893737793,1,66
4.427335023880005,-1,1440
4.427386045455933,1,66
4.482732057571411,-1,1440
4.483315944671631,-1,1440
4.483406066894531,1,66
4.483789920806885,-1,1440
4.483864068984985,1,602
4.48416805267334,-1,1440
4.484169006347656,-1,1440
4.484169960021973,-1,1440
4.484227895736694,1,66
4.484827995300293,-1,1440
4.484828948974609,-1,1440
4.484896898269653,1,66
4.4863669872283936,-1,1440
4.48636794090271,-1,1440
4.48636794090271,-1,1440
4.486368894577026,-1,1440
4.486370086669922,-1,1440
4.486371040344238,-1,1440
4.486371994018555,-1,1440
4.486371994018555,-1,1440
4.486372947692871,-1,1440
4.4863739013671875,-1,578
4.486449956893921,1,66
4.486500024795532,1,66
4.48747992515564,-1,1440
4.487537860870361,1,602
4.489640951156616,-1,1440
4.489641904830933,-1,1440
4.489643096923828,-1,1440
4.4896440505981445,-1,1440
4.489645004272461,-1,1440
4.489645004272461,-1,1440
4.489645957946777,-1,1440
4.489646911621094,-1,1440
4.489646911621094,-1,1440
4.48964786529541,-1,1368
4.48975396156311,1,66
4.532793045043945,-1,66
4.53863000869751,-1,66
4.540817022323608,-1,66
4.5425310134887695,-1,66
4.554661989212036,-1,1440
4.5546629428863525,-1,1440
4.554841995239258,1,1116
4.5551230907440186,-1,1440
4.555124044418335,-1,1440
4.555124998092651,-1,1440
4.555126905441284,-1,1440
4.55520486831665,1,66
4.555744886398315,-1,1440
4.556578874588013,-1,1440
4.556678056716919,1,66
4.567686080932617,-1,1440
4.567687034606934,-1,1440
4.5677409172058105,1,66
4.5685200691223145,-1,1440
4.568521022796631,-1,1440
4.568649053573608,1,66
4.570777893066406,-1,1440
4.570779085159302,-1,1440
4.570860862731934,1,66
4.571892976760864,-1,1440
4.587518930435181,-1,1440
4.587640047073364,1,602
4.604882001876831,-1,66
4.607264041900635,-1,1432
4.607400894165039,1,66
4.630162954330444,-1,1440
4.6313910484313965,-1,1440
4.631500959396362,1,66
4.6368138790130615,-1,1440
4.636816024780273,-1,1440
4.636936902999878,1,66
4.637795925140381,-1,1440
4.637796878814697,-1,1440
4.637903928756714,1,66
4.639101028442383,-1,1440
4.639102935791016,-1,1440
4.639103889465332,-1,1440
4.6391050815582275,-1,1440
4.6391050815582275,-1,1440
4.639106035232544,-1,1440
