delta_time,direction,length
0.0,1,602
0.13419604301452637,-1,66
0.8535909652709961,1,602
1.019392967224121,-1,66
2.629556894302368,1,602
2.7625439167022705,-1,66
2.886357069015503,-1,602
2.8865609169006348,1,66
2.8922979831695557,1,1116
2.999526023864746,-1,66
3.064681053161621,1,602
3.0647950172424316,1,602
3.1703310012817383,-1,1436
3.1703338623046875,-1,1436
3.1703360080718994,-1,946
3.1704938411712646,1,66
3.170659065246582,1,66
3.17228102684021,-1,66
3.179689884185791,-1,1436
3.179816961288452,1,66
3.1837809085845947,-1,66
3.184880018234253,-1,602
3.184962034225464,1,66
3.1857309341430664,1,602
3.277958869934082,-1,260
3.2781670093536377,1,66
3.2793619632720947,1,602
3.347156047821045,-1,602
3.3473260402679443,1,66
3.3484389781951904,1,602
3.4187510013580322,-1,602
3.419020891189575,1,1138
3.5123908519744873,-1,66
3.5689890384674072,-1,66
3.5691869258880615,1,602
3.676023006439209,-1,66
3.733729839324951,-1,1436
3.7337329387664795,-1,260
3.7339119911193848,1,66
3.7347359657287598,1,602
3.7957849502563477,-1,602
3.7959630489349365,1,66
3.7967870235443115,1,602
3.8422908782958984,-1,66
3.8424859046936035,1,602
3.8807320594787598,-1,602
3.8809330463409424,1,66
3.916066884994507,-1,66
3.9880759716033936,-1,66
3.9882659912109375,1,602
4.049952030181885,-1,602
4.050143003463745,1,66
4.050607919692993,1,602
4.137807846069336,-1,66
4.170413970947266,-1,66
4.310129880905151,-1,1436
4.310132026672363,-1,260
4.310277938842773,1,66
4.417492866516113,-1,602
4.41765284538269,1,66
4.505456924438477,-1,1436
4.505457878112793,-1,1436
4.505537033081055,1,66
4.505666971206665,1,66
4.517451047897339,-1,1436
4.517452955245972,-1,1436
4.517538070678711,1,66
4.51764988899231,1,66
4.522902965545654,-1,1436
4.522903919219971,-1,260
4.522960901260376,1,66
4.525171995162964,-1,798
4.525231838226318,1,66
4.542611837387085,-1,1436
4.542613983154297,-1,1436
4.542614936828613,-1,1436
4.54261589050293,-1,1436
4.542715072631836,1,66
4.542814016342163,1,66
