delta_time,direction,length
0.0,-1,602
0.00016498565673828125,1,66
0.3226311206817627,1,590
0.437514066696167,-1,56
0.5454401969909668,-1,590
0.5455741882324219,1,54
0.5479950904846191,1,1104
0.6593329906463623,-1,56
0.7799642086029053,-1,1440
0.7799670696258545,-1,1440
0.7801401615142822,1,54
0.7802882194519043,1,54
0.7806742191314697,-1,902
0.7807600498199463,1,54
0.8924050331115723,-1,590
0.892578125,1,54
0.9005930423736572,1,590
1.012153148651123,-1,56
1.0123062133789062,1,590
1.0976650714874268,-1,1104
1.0978291034698486,1,54
1.1028940677642822,1,602
1.1236600875854492,-1,56
1.123798131942749,1,590
1.20945405960083,-1,1440
1.2094571590423584,-1,1440
1.2096021175384521,1,54
1.2097721099853516,1,54
1.2098650932312012,-1,1352
1.2099640369415283,1,54
1.210906982421875,-1,1440
1.2110211849212646,1,590
1.2126550674438477,-1,1440
1.2126572132110596,-1,1440
1.2126591205596924,-1,1440
1.2126600742340088,-1,1440
1.2127552032470703,1,54
1.212895154953003,1,54
1.2188961505889893,-1,602
1.2190279960632324,1,66
1.2200300693511963,1,602
1.2362561225891113,-1,56
1.2379870414733887,-1,1440
1.2381300926208496,1,54
1.2415521144866943,-1,1440
1.2416701316833496,1,590
1.2886161804199219,-1,1354
1.288619041442871,-1,1354
1.2887771129608154,1,66
1.2890231609344482,1,66
1.2914412021636963,-1,1354
1.2914440631866455,-1,1354
1.291567087173462,1,66
1.2917520999908447,1,66
1.291882038116455,-1,1354
1.2918851375579834,-1,1354
1.2918870449066162,-1,1354
1.2919909954071045,1,66
1.2921321392059326,1,66
1.3214890956878662,-1,1440
1.3214921951293945,-1,1440
1.321493148803711,-1,1440
1.3214941024780273,-1,1440
1.3216450214385986,1,590
1.3218631744384766,1,54
1.3235390186309814,-1,1440
1.3235421180725098,-1,1440
1.3235430717468262,-1,1440
1.323545217514038,-1,1440
1.3235461711883545,-1,1440
1.323547124862671,-1,1440
1.3236870765686035,1,54
1.3238451480865479,1,54
1.3240251541137695,1,54
1.3256020545959473,-1,1440
1.3256042003631592,-1,1440
1.3256051540374756,-1,1440
1.3256070613861084,-1,1440
1.3256080150604248,-1,1440
1.3256092071533203,-1,1440
1.3257451057434082,1,590
1.3259851932525635,1,54
1.3495030403137207,-1,1440
1.349503993988037,-1,1440
1.3495640754699707,1,54
1.3496441841125488,1,54
1.352696180343628,-1,1440
1.3526971340179443,-1,1440
1.3527741432189941,1,54
1.3528921604156494,1,54
1.3535771369934082,-1,1354
1.3535780906677246,-1,1354
1.353605031967163,1,66
1.3536450862884521,1,66
1.3539910316467285,-1,1354
1.3540101051330566,1,66
1.3699681758880615,1,1440
1.3699891567230225,1,254
1.3773221969604492,1,1440
1.3773231506347656,1,1440
1.3773550987243652,1,1438
1.4020180702209473,-1,1354
1.4021461009979248,1,66
1.4032201766967773,-1,1354
1.4032211303710938,-1,1354
1.4032230377197266,-1,1354
1.4032251834869385,-1,1354
1.4033000469207764,1,66
1.4034161567687988,1,66
1.4034922122955322,1,602
1.4039320945739746,-1,1354
1.403933048248291,-1,1354
1.403982162475586,1,66
1.4039959907531738,1,66
1.4045121669769287,-1,1354
1.4045140743255615,-1,1354
1.4045600891113281,1,66
1.4046061038970947,1,66
1.4052112102508545,-1,1354
1.4052112102508545,-1,1354
1.4052259922027588,1,66
1.4052472114562988,1,66
1.4058430194854736,-1,1354
1.4058442115783691,-1,1354
1.4058451652526855,-1,1354
1.4058690071105957,1,66
1.405886173248291,1,66
1.4370341300964355,-1,1440
1.4370360374450684,-1,1440
1.4370369911193848,-1,1440
1.4370381832122803,-1,1440
1.437040090560913,-1,1440
1.4370410442352295,-1,1440
1.437041997909546,-1,1440
1.4370431900024414,-1,1440
1.4370450973510742,-1,1440
1.4370460510253906,-1,1440
1.4370481967926025,-1,1440
1.437049150466919,-1,1440
1.4370501041412354,-1,1440
1.4370520114898682,-1,116
1.4371991157531738,1,590
1.4374051094055176,1,590
1.4671380519866943,-1,1354
1.4672269821166992,1,66
1.4685640335083008,-1,1354
1.4685649871826172,-1,1354
1.4685661792755127,-1,1354
1.4685661792755127,-1,1354
1.4686241149902344,1,602
1.4686992168426514,1,66
1.4809980392456055,-1,66
1.4810001850128174,-1,56
1.4810831546783447,1,590
1.487335205078125,-1,1440
1.4873361587524414,-1,1440
1.4873831272125244,1,54
1.4874601364135742,1,54
1.4896180629730225,-1,1440
1.4896180629730225,-1,1440
1.4896190166473389,-1,1440
1.4896202087402344,-1,1440
1.4896211624145508,-1,1440
1.4896211624145508,-1,1440
1.4896221160888672,-1,1440
1.4896230697631836,-1,1440
1.4896230697631836,-1,1440
1.4896240234375,-1,56
1.489687204360962,1,590
1.4903390407562256,-1,1440
1.490339994430542,-1,1440
1.4903721809387207,1,54
1.490403175354004,1,54
1.5034961700439453,-1,1440
1.5153942108154297,-1,1354
1.5153961181640625,-1,1354
1.5154950618743896,1,602
1.5155980587005615,1,66
1.5159401893615723,-1,1354
1.5159411430358887,-1,1354
1.515942096710205,-1,1354
1.5159430503845215,-1,1354
1.515944004058838,-1,1354
1.516010046005249,-1,1354
1.5160109996795654,-1,1354
1.5160331726074219,1,66
1.5160582065582275,1,66
1.5160760879516602,1,66
1.5165250301361084,-1,1354
1.5165259838104248,-1,1354
1.5165719985961914,1,66
1.5166051387786865,1,66
1.5187041759490967,-1,1354
1.518705129623413,-1,1354
1.518707036972046,-1,1354
1.5187079906463623,-1,1354
1.5187101364135742,-1,1354
1.5187110900878906,-1,1354
1.518712043762207,-1,1354
1.518714189529419,-1,1354
1.5187151432037354,-1,1354
1.5187160968780518,-1,1354
1.5187962055206299,1,66
1.518860101699829,1,66
1.5321731567382812,-1,1440
1.5321741104125977,-1,1440
1.5323050022125244,1,590
1.5327630043029785,-1,1440
1.5484020709991455,-1,1362
1.5484740734100342,1,54
1.5699000358581543,-1,1440
1.5699031352996826,-1,1440
1.569904088973999,-1,1440
1.5699050426483154,-1,1440
1.5699071884155273,-1,1440
1.5700650215148926,1,54
1.5740571022033691,-1,1440
1.574059009552002,-1,1440
1.5741260051727295,1,54
1.5759050846099854,-1,1440
1.5759060382843018,-1,1440
1.5759069919586182,-1,1440
1.5759081840515137,-1,1440
1.57590913772583,-1,1440
1.5759100914001465,-1,1440
1.575911045074463,-1,1440
1.5759119987487793,-1,1440
1.5759131908416748,-1,1440
1.5759141445159912,-1,1440
1.5759150981903076,-1,1440
1.575916051864624,-1,1440
1.5759170055389404,-1,1440
1.5759191513061523,-1,1440
1.5759201049804688,-1,1440
1.5759210586547852,-1,1440
1.5759220123291016,-1,1440
1.5759220123291016,-1,1440
1.5759241580963135,-1,1440
1.5761620998382568,1,590
1.5809340476989746,-1,1440
1.5809361934661865,-1,1440
1.5810341835021973,1,590
1.6009910106658936,-1,56
1.612462043762207,-1,1440
1.6135711669921875,-1,914
1.6136491298675537,1,602
1.6174511909484863,-1,1354
1.6174530982971191,-1,1354
1.6175081729888916,1,602
1.6175551414489746,1,66
1.6314101219177246,-1,1354
1.631486177444458,1,66
1.635740041732788,-1,1354
1.6357409954071045,-1,1354
1.6357409954071045,-1,1354
1.6357851028442383,1,66
1.635878086090088,1,66
1.638702154159546,-1,1354
1.638740062713623,1,1440
1.6387410163879395,1,768
1.6407890319824219,-1,1354
1.6407899856567383,-1,1354
1.6407911777496338,-1,1354
1.6407921314239502,-1,1354
1.6407930850982666,-1,1354
1.640794038772583,-1,1354
1.6407949924468994,-1,1354
1.640796184539795,-1,1354
1.6407971382141113,-1,1354
1.6407980918884277,-1,1354
1.6407990455627441,-1,1354
1.6407999992370605,-1,1354
1.640801191329956,-1,1354
1.6408731937408447,1,602
1.6410400867462158,1,602
1.650787115097046,-1,1440
1.6508820056915283,1,54
1.6598491668701172,-1,930
1.6599071025848389,1,590
1.665605068206787,1,1440
1.665607213973999,1,1440
1.66562819480896,1,924
1.6837270259857178,-1,1354
1.6837291717529297,-1,1354
1.6838130950927734,1,66
1.6839001178741455,1,66
1.6844580173492432,-1,1354
1.6844592094421387,-1,1354
1.684460163116455,-1,1354
1.68448805809021,1,66
1.6845200061798096,1,66
1.6941170692443848,-1,56
1.7171621322631836,1,1440
1.7304410934448242,-1,1026
1.7305231094360352,1,66
1.7435061931610107,-1,1440
1.7435081005096436,-1,1440
1.7436389923095703,1,54
1.7438621520996094,1,590
1.749567985534668,-1,56
1.7535710334777832,-1,66
1.7536320686340332,1,602
1.7712531089782715,-1,410
1.771395206451416,1,54
1.774217128753662,1,1440
1.774219036102295,1,1440
1.774219036102295,1,1440
1.774238109588623,1,1016
1.7766690254211426,-1,56
1.8229241371154785,-1,56
1.825179100036621,-1,1440
1.8267900943756104,-1,1440
1.8267910480499268,-1,1440
1.8267920017242432,-1,1440
1.8267931938171387,-1,1440
1.826794147491455,-1,1440
1.826794147491455,-1,1440
1.8267951011657715,-1,1440
1.826796054840088,-1,1440
1.826796054840088,-1,1440
1.8267970085144043,-1,1440
1.8267982006072998,-1,1440
1.8267991542816162,-1,1440
1.8267991542816162,-1,1440
1.8268001079559326,-1,1440
1.826801061630249,-1,1440
1.826801061630249,-1,1440
1.8268020153045654,-1,1440
1.8268752098083496,-1,1440
1.8268752098083496,-1,1440
1.826996088027954,1,1190
1.8277649879455566,-1,1440
1.8277661800384521,-1,1440
1.8278250694274902,1,54
1.8280870914459229,-1,66
1.828679084777832,-1,1440
1.830834150314331,-1,1440
1.8308360576629639,-1,1440
1.8308382034301758,-1,1440
1.8308401107788086,-1,1440
1.830841064453125,-1,1440
1.830843210220337,-1,1440
1.8308451175689697,-1,1440
1.8308470249176025,-1,1440
1.830848217010498,-1,1440
1.8309450149536133,1,1126
1.8344440460205078,-1,1440
1.834604024887085,-1,1440
1.8346052169799805,-1,1440
1.8346061706542969,-1,1440
1.8346459865570068,1,54
1.8349452018737793,-1,1440
1.8349461555480957,-1,1440
1.834947109222412,-1,1440
1.834947109222412,-1,1440
1.8349480628967285,-1,1440
1.83498215675354,1,590
1.8373022079467773,-1,1440
1.8373031616210938,-1,1440
1.8373041152954102,-1,1440
1.8373050689697266,-1,1440
1.837306022644043,-1,1440
1.8373072147369385,-1,1440
1.8373081684112549,-1,1440
1.8373091220855713,-1,1440
1.8373100757598877,-1,1440
1.8373100757598877,-1,1440
1.837311029434204,-1,1440
1.8373661041259766,1,54
1.8429560661315918,-1,1440
1.8429570198059082,-1,1440
1.8430030345916748,1,590
1.8443021774291992,-1,1440
1.8443031311035156,-1,1440
1.844304084777832,-1,1440
1.8443050384521484,-1,602
1.8443610668182373,1,66
1.8443610668182373,1,54
1.8550701141357422,-1,56
1.8566100597381592,-1,1440
1.856612205505371,-1,1440
1.8566131591796875,-1,1440
1.856614112854004,-1,1440
1.8566150665283203,-1,1440
1.8566172122955322,-1,1440
1.8566181659698486,-1,1440
1.856619119644165,-1,1440
1.8566210269927979,-1,1440
1.8566222190856934,-1,1440
1.8566231727600098,-1,1440
1.8566250801086426,-1,1440
1.856626033782959,-1,1440
1.856628179550171,-1,1440
1.8566291332244873,-1,1440
1.8566300868988037,-1,1440
1.8566310405731201,-1,1440
1.856633186340332,-1,1440
1.8566341400146484,-1,1440
1.8566350936889648,-1,1440
1.8566360473632812,-1,1440
1.8566370010375977,-1,1440
1.8566391468048096,-1,1440
1.856640100479126,-1,1440
1.8566410541534424,-1,1440
1.8566420078277588,-1,1440
1.8566441535949707,-1,1440
1.856645107269287,-1,1440
1.85664701461792,-1,1440
1.8566482067108154,-1,1440
1.8566491603851318,-1,1440
1.857023000717163,1,1104
1.8583312034606934,-1,1440
1.8583321571350098,-1,1440
1.8583331108093262,-1,1440
1.8583331108093262,-1,1440
1.8583340644836426,-1,1440
1.8583340644836426,-1,1440
1.858335018157959,-1,1440
1.8583362102508545,-1,1440
1.8583362102508545,-1,1440
1.858337163925171,-1,1440
1.8583381175994873,-1,1440
1.8583850860595703,1,590
1.8777170181274414,-1,1354
1.8777191638946533,-1,1354
1.877845048904419,1,602
1.8779430389404297,1,66
1.882200002670288,-1,1354
1.8822011947631836,-1,1354
1.8822681903839111,1,66
1.8823511600494385,1,66
1.8839881420135498,-1,1354
1.8839890956878662,-1,1354
1.8839900493621826,-1,1354
1.8839921951293945,-1,1354
1.883993148803711,-1,1354
1.8839950561523438,-1,1440
1.8839960098266602,-1,1440
1.8839972019195557,-1,1354
1.8839991092681885,-1,1354
1.8840000629425049,-1,1354
1.8840010166168213,-1,1354
1.8840031623840332,-1,1354
1.8840041160583496,-1,1354
1.884005069732666,-1,1354
1.8840060234069824,-1,1354
1.8840081691741943,-1,1354
1.8840091228485107,-1,1354
1.8840100765228271,-1,1354
1.8840110301971436,-1,1354
1.884108066558838,1,66
1.8842229843139648,1,590
1.8842370510101318,1,602
1.8862781524658203,-1,56
1.8862791061401367,-1,56
1.9381301403045654,-1,1440
1.9381320476531982,-1,1440
1.9382750988006592,1,54
1.9384419918060303,1,54
1.9387471675872803,-1,1440
1.9387481212615967,-1,1440
1.938749074935913,-1,1440
1.9387500286102295,-1,1440
1.938750982284546,-1,1440
1.9387521743774414,-1,1440
1.9388480186462402,1,590
1.9389901161193848,-1,1440
1.9389910697937012,-1,1440
1.9389920234680176,-1,1440
1.939054012298584,1,54
1.9408490657806396,-1,1440
1.9408512115478516,-1,1440
1.9408531188964844,-1,1440
1.9408540725708008,-1,1440
1.9408562183380127,-1,1440
1.940857172012329,-1,1440
1.9408581256866455,-1,1440
1.9408600330352783,-1,1440
1.9408621788024902,-1,1440
1.9408631324768066,-1,1440
1.940864086151123,-1,1440
1.9408650398254395,-1,1440
1.9408671855926514,-1,1440
1.9408681392669678,-1,1440
1.9408700466156006,-1,1388
1.9408721923828125,-1,1354
1.9410521984100342,1,590
1.941112995147705,-1,1354
1.9411821365356445,1,66
1.9415922164916992,-1,1354
1.9416241645812988,1,66
1.9424140453338623,-1,1354
1.9429850578308105,-1,1354
1.942986011505127,-1,1354
1.9429881572723389,-1,1354
1.9430341720581055,1,66
1.943073034286499,1,66
1.9443612098693848,-1,1354
1.9443621635437012,-1,1354
1.9443631172180176,-1,1354
1.944364070892334,-1,1354
1.944366216659546,-1,1354
1.9443671703338623,-1,1354
1.9443681240081787,-1,1354
1.9443690776824951,-1,1354
1.944370985031128,-1,1354
1.9443721771240234,-1,1354
1.9443731307983398,-1,1354
1.9443750381469727,-1,1354
1.9444260597229004,1,66
1.9445722103118896,1,1116
1.9474570751190186,-1,1354
1.947458028793335,-1,1354
1.9474940299987793,1,66
1.9475691318511963,1,66
1.94901704788208,-1,1354
1.9490180015563965,-1,1354
1.949019193649292,-1,1354
1.9490201473236084,-1,1354
1.9490540027618408,1,66
1.9491190910339355,1,66
1.9527621269226074,-1,56
1.9684929847717285,-1,56
1.9909310340881348,-1,1354
1.991008996963501,1,66
1.99580717086792,-1,56
2.007885217666626,-1,1354
2.007888078689575,-1,1354
2.007996082305908,1,66
2.0080721378326416,1,66
2.0084950923919678,-1,1354
2.0084969997406006,-1,1354
2.0084991455078125,-1,1354
2.0085010528564453,-1,1354
2.0085031986236572,-1,1354
2.0085041522979736,-1,1354
2.00856614112854,-1,1354
2.0085811614990234,-1,1354
2.00858211517334,-1,1354
2.008601188659668,1,66
2.0086162090301514,1,66
2.008751153945923,-1,1354
2.0087530612945557,-1,1354
2.008754014968872,-1,1354
2.0088040828704834,1,602
2.0101962089538574,-1,1354
2.0101981163024902,-1,1354
2.0101990699768066,-1,1354
2.010200023651123,-1,1354
2.010202169418335,-1,1354
2.0102031230926514,-1,1354
2.010298013687134,1,66
2.0235960483551025,-1,1440
2.0235981941223145,-1,1440
2.023670196533203,1,1104
2.0383400917053223,-1,1440
2.038341999053955,-1,1440
2.0383431911468506,-1,1440
2.0385119915008545,1,54
2.0520381927490234,-1,900
2.052147150039673,1,54
2.0538060665130615,-1,1354
2.054084062576294,-1,1354
2.054159164428711,1,602
2.0545711517333984,-1,1354
2.054572105407715,-1,1440
2.0551841259002686,-1,1354
2.055246114730835,1,66
2.056295156478882,-1,1354
2.0666561126708984,-1,1354
2.0666592121124268,-1,1354
2.066771984100342,1,66
2.0668981075286865,-1,1354
2.0669281482696533,1,66
2.068570137023926,-1,1354
2.068675994873047,1,66
2.0708940029144287,-1,1354
2.070895195007324,-1,1354
2.0708961486816406,-1,1354
2.0708980560302734,-1,1354
2.07089900970459,-1,1354
2.0709002017974854,-1,1354
2.070902109146118,-1,1354
2.0709030628204346,-1,1354
2.070904016494751,-1,1354
2.0709052085876465,-1,1354
2.0709071159362793,-1,1354
2.0709080696105957,-1,1354
2.070909023284912,-1,1354
2.0709102153778076,-1,1354
2.071237087249756,1,1138
2.0750410556793213,-1,1354
2.0750441551208496,-1,1354
2.075045108795166,-1,1354
2.0764009952545166,1,66
2.0830252170562744,1,1440
2.0831542015075684,1,1282
2.0853400230407715,1,1440
2.0854270458221436,1,746
2.0861921310424805,-1,1440
2.086557149887085,1,1440
2.0865581035614014,1,1440
2.086578130722046,1,1352
2.0865981578826904,1,1440
2.086599111557007,1,1440
2.0866050720214844,1,966
2.08686900138855,-1,1440
2.0868701934814453,-1,1440
2.086935043334961,1,54
2.0881052017211914,1,1440
2.088114023208618,1,746
2.145359992980957,1,1440
2.14538311958313,1,276
2.1540989875793457,-1,344
2.1541740894317627,1,66
2.159213066101074,1,1440
2.159215211868286,1,1440
2.159215211868286,1,1440
2.159234046936035,1,502
2.1633810997009277,-1,1258
2.1634562015533447,1,1168
2.16679310798645,1,1440
2.1668081283569336,1,768
2.1748712062835693,1,1440
2.174884080886841,1,276
2.1843090057373047,-1,66
2.193639039993286,1,1440
2.1936399936676025,1,1440
2.193679094314575,1,410
2.1944961547851562,-1,56
2.1967320442199707,-1,56
2.197638988494873,-1,56
2.1976401805877686,-1,56
