delta_time,direction,length
0.0,0,590
0.04258394241333008,0,54
3.4814929962158203,-1,590
3.5322060585021973,1,54
6.174713850021362,0,590
6.1883039474487305,0,56
6.450534820556641,0,590
6.455031871795654,0,1104
6.4669389724731445,0,56
6.655318975448608,0,1440
6.655758857727051,0,1440
6.656052827835083,0,54
6.65669584274292,0,902
6.703304052352905,0,54
6.731446027755737,0,1440
6.731446027755737,0,1440
6.731446027755737,0,902
6.731891870498657,0,54
6.7512290477752686,0,590
6.7630438804626465,0,56
6.96237587928772,0,590
6.963451862335205,0,590
6.976297855377197,0,56
7.11091685295105,1,590
7.111011028289795,0,590
7.125805854797363,0,56
7.125999927520752,0,590
7.126756906509399,0,590
7.1802098751068115,0,56
7.208622932434082,-1,590
7.210952043533325,1,590
7.23466682434082,0,1104
7.240593910217285,0,590
7.252487897872925,0,590
7.252802848815918,0,1126
7.306152820587158,0,56
7.306391000747681,0,590
7.3185529708862305,0,56
7.327275037765503,-1,590
7.330554962158203,1,590
7.4268639087677,0,590
7.428508043289185,0,590
7.441287040710449,0,56
7.457134962081909,0,590
7.459753036499023,0,590
7.467707872390747,-1,56
7.487421989440918,-1,590
7.490092039108276,1,590
7.513331890106201,0,56
7.526819944381714,0,590
7.569576978683472,0,54
7.58386492729187,0,1440
7.58386492729187,0,1440
7.584230899810791,0,54
7.584503889083862,0,1352
7.584941864013672,0,1440
7.584941864013672,0,1440
7.585225820541382,0,54
7.596974849700928,0,452
7.597250938415527,0,54
7.59778904914856,0,590
7.609271049499512,0,1440
7.609663009643555,0,54
7.610020875930786,0,232
7.610020875930786,0,56
7.610452890396118,0,54
7.628239870071411,0,590
7.62841796875,-1,56
7.628711938858032,0,590
7.636103868484497,-1,590
7.636522054672241,1,590
7.646317958831787,0,1440
7.646317958831787,0,1440
7.646317958831787,0,1352
7.64650297164917,0,54
7.659353017807007,0,140
7.659495830535889,0,54
7.659848928451538,0,1440
7.660476922988892,0,1440
7.66054892539978,0,54
7.661548852920532,0,1440
7.661958932876587,-1,590
7.661958932876587,-1,590
7.6621339321136475,1,54
7.662312030792236,-1,590
7.662312030792236,-1,590
7.662400007247925,1,54
7.662562847137451,-1,590
7.662562847137451,-1,590
7.662693023681641,1,54
7.6651530265808105,-1,458
7.665299892425537,1,54
7.665379047393799,0,1440
7.665379047393799,0,1440
7.665379047393799,0,1440
7.665379047393799,0,1440
7.665379047393799,0,1440
7.665379047393799,0,1440
7.665628910064697,0,54
7.665695905685425,-1,590
7.665695905685425,-1,590
7.665695905685425,-1,590
7.665695905685425,-1,590
7.665695905685425,-1,590
7.665827989578247,1,54
7.665935039520264,0,590
7.6724159717559814,0,1440
7.6724159717559814,0,1440
7.6724159717559814,0,1440
7.672657012939453,0,54
7.672821998596191,0,1030
7.673014879226685,0,54
7.688385963439941,0,1440
7.688385963439941,0,1440
7.688385963439941,0,388
7.688611030578613,0,54
7.705039978027344,0,590
7.713047981262207,0,1440
7.713047981262207,0,1440
7.713047981262207,0,410
7.725461959838867,0,56
7.7264180183410645,0,56
7.7288429737091064,0,590
7.7305920124053955,-1,590
7.7305920124053955,-1,590
7.730893850326538,1,54
7.733834981918335,0,1440
7.733979940414429,0,54
7.735585927963257,0,1440
7.735585927963257,0,1352
7.735585927963257,0,1440
7.735585927963257,0,1440
7.735585927963257,0,1440
7.735821962356567,0,54
7.738793849945068,0,1440
7.738793849945068,0,1440
7.73893404006958,0,590
7.7394280433654785,0,1440
7.7394280433654785,0,1440
7.7394280433654785,0,1440
7.7395339012146,0,54
7.740210056304932,0,1440
7.740210056304932,0,1440
7.740210056304932,0,1440
7.740336894989014,0,54
7.747534990310669,0,916
7.756667852401733,-1,590
7.756667852401733,-1,590
7.756799936294556,1,54
7.757179021835327,-1,590
7.757179021835327,-1,590
7.757179021835327,-1,590
7.757179021835327,-1,590
7.757331848144531,1,54
