delta_time,direction,length
0.0,1,54
4.355716943740845,-1,590
4.407212018966675,1,54
7.346441984176636,1,590
7.479959964752197,-1,56
7.484947919845581,-1,590
7.487017869949341,1,590
7.487092018127441,1,590
7.582624912261963,-1,590
7.582728862762451,1,1104
7.602190971374512,-1,590
7.602804899215698,1,590
7.6760618686676025,-1,56
7.676133871078491,1,590
7.740170955657959,-1,590
7.740916013717651,1,590
7.754205942153931,-1,590
7.754205942153931,-1,590
7.754205942153931,-1,590
7.754205942153931,-1,590
7.754205942153931,-1,590
7.754205942153931,-1,590
7.754205942153931,-1,458
7.75437593460083,1,54
7.761693000793457,-1,590
7.761693000793457,-1,568
7.761779069900513,1,54
7.773248910903931,-1,590
7.773248910903931,-1,568
7.773334980010986,1,54
7.778838872909546,1,590
7.804136037826538,-1,590
7.844775915145874,1,54
7.895200967788696,-1,56
7.912190914154053,-1,56
7.912262916564941,1,590
7.959862947463989,-1,590
7.976601839065552,-1,590
7.977293014526367,1,590
8.003309965133667,1,54
8.04547905921936,-1,56
8.045549869537354,1,590
8.099462032318115,-1,590
8.099565029144287,1,54
8.125840902328491,-1,56
8.168477058410645,-1,590
8.168736934661865,1,590
8.1788969039917,-1,56
8.179004907608032,1,590
8.23386287689209,-1,590
8.23386287689209,-1,568
8.233970880508423,1,54
8.31485104560852,-1,56
8.314934968948364,1,1126
8.315165042877197,-1,56
8.395668983459473,-1,590
8.3957839012146,1,54
8.408097982406616,-1,56
8.408176898956299,1,590
8.459406852722168,-1,590
8.500707864761353,-1,590
8.500782012939453,1,590
8.511180877685547,-1,590
8.511180877685547,-1,590
8.511180877685547,-1,590
8.511180877685547,-1,590
8.511180877685547,-1,590
8.511180877685547,-1,590
8.511180877685547,-1,458
8.511307954788208,1,54
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,372
8.51545786857605,-1,590
8.51545786857605,-1,590
8.51545786857605,-1,96
8.515671968460083,1,54
8.518517017364502,-1,590
8.518517017364502,-1,590
8.518517017364502,-1,590
8.518517017364502,-1,590
8.518517017364502,-1,590
8.518660068511963,1,590
8.583317995071411,1,1436
8.583317995071411,1,1286
8.593873023986816,-1,590
8.593873023986816,-1,590
8.593873023986816,-1,590
8.593873023986816,-1,590
8.594078063964844,1,54
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604694843292236,-1,590
8.604925870895386,1,54
8.607301950454712,1,1104
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.608804941177368,-1,590
8.609051942825317,1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.611841917037964,-1,590
8.61205792427063,1,54
8.669679880142212,-1,1436
8.669679880142212,-1,1436
8.669679880142212,-1,1360
8.669679880142212,-1,1436
8.669679880142212,-1,1436
8.669679880142212,-1,1360
8.669831037521362,1,54
8.676382064819336,-1,524
8.676382064819336,-1,56
8.676483869552612,1,590
8.687119007110596,-1,590
8.687119007110596,-1,590
8.687119007110596,-1,590
8.687119007110596,-1,590
8.687119007110596,-1,590
8.687119007110596,-1,590
8.687269926071167,1,54
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698341846466064,-1,590
8.698521852493286,1,54
8.703019857406616,-1,1436
8.703019857406616,-1,1436
8.703019857406616,-1,1060
8.703112840652466,1,54
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703155040740967,-1,590
8.703316926956177,1,54
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.70586895942688,-1,590
8.706085920333862,1,590
8.709285020828247,-1,1436
8.709383964538574,1,54
8.720676898956299,1,1436
8.720676898956299,1,1436
8.720676898956299,1,932
8.733701944351196,1,1436
8.733701944351196,1,280
8.7552490234375,-1,582
8.769583940505981,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780447959899902,-1,590
8.780652046203613,1,54
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.784492015838623,-1,1436
8.7846200466156,1,54
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.791642904281616,-1,590
8.79182505607605,1,54
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.796545028686523,-1,590
8.79674506187439,1,1126
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.799944877624512,-1,590
8.800215005874634,1,54
8.814481973648071,-1,458
8.814481973648071,-1,56
8.814576864242554,1,590
8.8176908493042,-1,1436
8.8176908493042,-1,1436
