delta_time,direction,length
0.0,-1,66
0.03008103370666504,-1,602
0.03026103973388672,1,66
0.03165602684020996,1,602
0.18754100799560547,-1,66
0.2366352081298828,-1,602
0.2367560863494873,1,66
0.23747920989990234,1,602
0.3537130355834961,-1,66
0.48835015296936035,-1,602
0.48847007751464844,1,66
0.48893308639526367,1,602
0.6061952114105225,-1,66
0.7322101593017578,1,566
0.7323100566864014,1,102
0.8536660671234131,-1,66
0.8574371337890625,-1,602
0.8575341701507568,1,66
0.8585970401763916,1,566
0.8586130142211914,1,102
0.9806060791015625,-1,66
1.3891651630401611,-1,602
1.3893980979919434,1,66
1.3911781311035156,1,566
1.3912181854248047,1,102
1.5137710571289062,-1,66
1.6446821689605713,-1,602
1.644883155822754,1,66
1.6461260318756104,1,566
1.646165132522583,1,102
1.7676661014556885,-1,66
1.9396111965179443,-1,602
1.93985915184021,1,66
1.9403440952301025,1,566
1.9403681755065918,1,102
2.062558174133301,-1,66
5.155678987503052,1,566
5.155717134475708,1,102
5.160343170166016,1,566
5.160356044769287,1,102
5.164355993270874,1,566
5.164374113082886,1,102
5.197259187698364,1,602
5.281393051147461,-1,66
5.281395196914673,-1,66
5.287159204483032,-1,66
5.312591075897217,-1,66
5.410292148590088,-1,602
5.410430192947388,1,66
5.4125730991363525,1,1116
5.527446031570435,-1,602
5.527580976486206,1,66
5.529564142227173,-1,66
5.626291990280151,-1,1440
5.6264731884002686,1,66
5.627097129821777,-1,1440
5.627183198928833,1,66
5.645021200180054,-1,938
5.64516019821167,1,66
5.70687198638916,-1,1440
5.7070631980896,1,66
5.707189083099365,-1,1440
5.7072601318359375,1,66
5.707305192947388,1,66
5.748103141784668,1,602
5.748284101486206,1,566
5.748291015625,1,102
5.761857986450195,-1,960
5.761962175369263,1,66
5.766641139984131,1,1440
5.7666590213775635,1,278
5.863762140274048,-1,66
5.871175050735474,-1,66
5.873100996017456,-1,602
5.873219013214111,1,66
5.874547004699707,1,566
5.874585151672363,1,102
5.879016160964966,-1,602
5.879132986068726,1,66
5.881850004196167,-1,78
5.881852149963379,-1,66
5.881933212280273,1,602
5.994948148727417,-1,602
5.995089054107666,1,66
5.996148109436035,-1,66
6.039192199707031,-1,66
6.039398193359375,1,602
6.067968130111694,-1,1440
6.0679709911346436,-1,1440
6.068075180053711,1,66
6.068217039108276,1,66
6.068395137786865,-1,1440
6.068396091461182,-1,1440
6.0683979988098145,-1,1440
6.0683979988098145,-1,1440
6.068434000015259,1,66
6.068725109100342,1,602
6.068754196166992,-1,1440
6.068786144256592,1,66
6.069149017333984,-1,1440
6.069180011749268,1,66
6.078253984451294,-1,1440
6.0783631801605225,1,602
6.110311031341553,-1,1440
6.110383987426758,1,66
6.111419200897217,-1,1440
6.111958026885986,1,66
6.120445013046265,1,1440
6.120447158813477,1,1440
6.120465993881226,1,960
6.156290054321289,-1,66
6.18314003944397,-1,1440
6.183142185211182,-1,1440
6.1833391189575195,1,66
6.18415904045105,-1,1440
6.184159994125366,-1,1440
6.184234142303467,1,66
6.185518026351929,-1,1440
6.185520172119141,-1,1440
6.185521125793457,-1,1440
6.18552303314209,-1,1440
6.185525178909302,-1,1440
6.185527086257935,-1,1440
6.185700178146362,1,66
6.18768310546875,-1,1310
6.187684059143066,-1,1440
6.187685012817383,-1,1440
6.187685012817383,-1,1440
6.187686204910278,-1,1440
6.1877570152282715,1,602
6.1935200691223145,-1,1440
6.193584203720093,1,66
6.195417165756226,-1,1440
6.19549298286438,1,66
6.195795059204102,-1,1440
6.195796012878418,-1,1440
6.195855140686035,1,66
6.195914030075073,1,66
6.197856187820435,-1,1388
6.197908163070679,1,66
6.197964191436768,1,66
6.211104154586792,-1,1440
6.225306987762451,-1,1440
6.225429058074951,1,66
6.226872205734253,-1,1440
6.226947069168091,1,66
6.227217197418213,-1,1440
6.228607177734375,-1,1440
6.228657007217407,1,602
6.235887050628662,-1,66
6.236307144165039,-1,1440
6.236347198486328,1,66
6.236420154571533,1,66
6.236761093139648,-1,1440
6.236762046813965,-1,1440
6.236763000488281,-1,1440
6.236790180206299,1,66
6.236813068389893,1,66
6.237536191940308,1,1440
6.23753809928894,1,1440
6.237539052963257,1,1440
6.2375500202178955,1,100
6.27336311340332,-1,1440
6.273364067077637,-1,1440
6.2734270095825195,1,66
6.273514032363892,1,66
6.291102170944214,-1,66
6.2993810176849365,-1,1440
6.299829006195068,-1,1440
6.2999022006988525,1,1116
6.300389051437378,-1,1440
6.300390005111694,-1,1440
6.30039119720459,-1,1440
6.300392150878906,-1,1440
6.300394058227539,-1,1440
6.300473213195801,1,66
6.300867080688477,-1,1440
6.300921201705933,1,66
6.302829027175903,-1,1400
6.3028950691223145,1,66
6.30677604675293,-1,1440
6.306847095489502,1,66
6.3069071769714355,1,66
6.309300184249878,1,1440
6.309311151504517,1,278
6.317559003829956,-1,1440
6.317608118057251,1,66
