delta_time,direction,length
0.0,1,590
0.11630511283874512,-1,56
0.7483110427856445,-1,602
0.7484550476074219,1,66
1.9260780811309814,1,590
2.0385730266571045,-1,56
2.1196861267089844,-1,590
2.119824171066284,1,54
2.1214962005615234,1,1104
2.234060049057007,-1,56
2.321676015853882,-1,1440
2.32167911529541,-1,1440
2.3218400478363037,1,54
2.322179079055786,1,54
2.3224401473999023,-1,902
2.3225719928741455,1,54
2.3495421409606934,-1,1440
2.3495450019836426,-1,1440
2.349682092666626,1,54
2.3498711585998535,1,54
2.435312032699585,-1,902
2.4354500770568848,1,54
2.4439620971679688,1,590
2.55633807182312,-1,56
2.6204020977020264,-1,590
2.6205410957336426,1,54
2.621657133102417,1,590
2.73362398147583,-1,56
2.817030191421509,-1,1104
2.81718111038208,1,54
2.8198111057281494,1,590
2.932255983352661,-1,56
2.9324090480804443,1,590
2.9421021938323975,1,602
3.011937141418457,-1,590
3.0120620727539062,1,590
3.044905185699463,-1,56
3.07914400100708,-1,602
3.0793039798736572,1,66
3.0803561210632324,1,602
3.1247780323028564,-1,590
3.1249301433563232,1,590
3.190308094024658,-1,1440
3.190310001373291,-1,1440
3.1904561519622803,1,54
3.19069504737854,1,54
3.1987640857696533,-1,1440
3.198765993118286,-1,1440
3.198768138885498,-1,1440
3.1988890171051025,1,590
3.1990721225738525,1,54
3.209879159927368,-1,1440
3.2098820209503174,-1,1440
3.209882974624634,-1,1440
3.210026979446411,1,54
3.21122407913208,1,54
3.2127511501312256,-1,1440
3.2128641605377197,1,590
3.2373600006103516,-1,1440
3.237361192703247,-1,1440
3.2374181747436523,1,54
3.2374801635742188,1,54
3.2463650703430176,-1,66
3.249997138977051,-1,1354
3.249998092651367,-1,1354
3.2499990463256836,-1,1354
3.2500360012054443,1,66
3.2500829696655273,1,66
3.2502241134643555,-1,272
3.2502241134643555,-1,1354
3.250225067138672,-1,1354
3.250241994857788,1,66
3.250274181365967,1,66
3.250383138656616,-1,1354
3.2503840923309326,-1,1354
3.250385046005249,-1,1354
3.250413179397583,1,66
3.2505440711975098,1,1440
3.250547170639038,1,1440
3.250566005706787,1,1438
3.250568151473999,1,602
3.2842390537261963,-1,1354
3.2842421531677246,-1,1354
3.2843661308288574,1,66
3.284370183944702,1,66
3.2845351696014404,1,66
3.3026750087738037,-1,1440
3.302678108215332,-1,1440
3.302680015563965,-1,1440
3.3026809692382812,-1,1440
3.3027939796447754,1,54
3.302917003631592,1,54
3.311967134475708,-1,1440
3.311969041824341,-1,1440
3.3120250701904297,1,54
3.312088966369629,1,54
3.313225030899048,-1,1440
3.3132271766662598,-1,1440
3.313228130340576,-1,1440
3.3132290840148926,-1,1440
3.3132710456848145,1,54
3.3133440017700195,1,54
3.3221161365509033,-1,1440
3.3221170902252197,-1,1440
3.322180986404419,1,590
3.323662042617798,-1,1440
3.3236629962921143,-1,1440
3.3236641883850098,-1,1440
3.3236660957336426,-1,1440
3.323763132095337,1,54
3.3250930309295654,-1,1440
3.3250951766967773,-1,1440
3.325144052505493,1,54
3.325226068496704,1,54
3.349776029586792,-1,1440
3.349778175354004,-1,1440
3.3497800827026367,-1,1440
3.349781036376953,-1,1440
3.3499081134796143,1,54
3.3634231090545654,-1,56
3.3838939666748047,-1,1354
3.38399600982666,1,66
3.3842849731445312,-1,1354
3.3842861652374268,-1,1354
3.384287118911743,-1,1354
3.3842880725860596,-1,1354
3.384289026260376,-1,1354
3.3843390941619873,1,66
3.3844151496887207,1,66
3.3847479820251465,-1,1354
3.384749174118042,-1,1354
3.3847830295562744,1,602
3.384817123413086,1,66
3.3861920833587646,-1,1354
3.386193037033081,-1,1354
3.3861939907073975,-1,1354
3.3861961364746094,-1,1354
3.386197090148926,-1,1354
3.386198043823242,-1,1354
3.3862411975860596,1,66
3.3863279819488525,1,66
3.407219171524048,-1,56
3.4149131774902344,-1,1440
3.416995048522949,-1,1440
3.4169981479644775,-1,1440
3.4170000553131104,-1,1440
3.4170022010803223,-1,1440
3.4170031547546387,-1,1440
3.417004108428955,-1,1440
3.417006015777588,-1,610
3.4170069694519043,-1,674
3.417178153991699,1,66
3.4173290729522705,1,590
3.4188010692596436,-1,1354
3.418887138366699,1,66
3.4210259914398193,-1,1354
3.4210290908813477,-1,1354
3.421030044555664,-1,1354
3.421032190322876,-1,1354
3.421118974685669,1,66
3.4212541580200195,1,66
3.432651996612549,1,1440
3.432690143585205,1,254
3.4342920780181885,-1,56
3.43507719039917,1,1440
3.43507719039917,1,1440
3.435091018676758,1,1438
3.4708750247955322,-1,1440
3.4709300994873047,-1,1440
3.470931053161621,-1,1440
3.470933198928833,-1,1440
3.471114158630371,1,1104
3.4728281497955322,-1,1440
3.4728291034698486,-1,1440
3.472830057144165,-1,1440
3.4728310108184814,-1,1440
3.4728331565856934,-1,1440
3.4728341102600098,-1,1440
3.472835063934326,-1,1440
3.4728360176086426,-1,1440
3.472836971282959,-1,1440
3.472839117050171,-1,1440
3.4728400707244873,-1,1440
3.4728410243988037,-1,1440
3.4730160236358643,1,54
3.473234176635742,-1,1440
3.473236083984375,-1,1440
3.4733309745788574,1,590
3.498883008956909,-1,1440
3.4988861083984375,-1,1440
3.498887062072754,-1,1440
3.499089002609253,1,54
3.503322124481201,-1,1440
3.503376007080078,-1,1440
3.5033771991729736,-1,1440
3.5033791065216064,-1,1440
3.5034751892089844,-1,1440
3.503477096557617,-1,1440
3.5034780502319336,-1,1440
3.503528118133545,1,54
3.5035760402679443,-1,1440
3.5035781860351562,-1,1440
3.503892183303833,1,590
3.5061850547790527,-1,1440
3.5061872005462646,-1,1440
3.506188154220581,-1,1440
3.506190061569214,-1,1440
3.5061910152435303,-1,1440
3.506366014480591,1,54
3.516211986541748,-1,1440
3.518015146255493,-1,1354
3.518097162246704,1,602
3.5189290046691895,-1,1354
3.5189311504364014,-1,1354
3.518994092941284,1,66
3.51908016204834,1,66
3.5205821990966797,-1,1354
3.5205841064453125,-1,1354
3.520585060119629,-1,1354
3.5205869674682617,-1,1354
3.5205881595611572,-1,1354
3.5205891132354736,-1,1354
3.5205910205841064,-1,1354
3.520591974258423,-1,1354
3.5205931663513184,-1,1354
3.5205941200256348,-1,1354
3.520595073699951,-1,1354
3.520596981048584,-1,1354
3.5206899642944336,1,66
3.5207669734954834,1,66
3.5208799839019775,1,66
3.5221359729766846,-1,1354
3.522139072418213,-1,1354
3.5221409797668457,-1,1354
3.522142171859741,-1,1354
3.522245168685913,1,1116
3.5224201679229736,1,66
3.527014970779419,1,1440
3.527175188064575,1,768
3.5292301177978516,-1,1354
3.529492139816284,-1,1440
3.529595136642456,1,54
3.5315489768981934,-1,1440
3.5315511226654053,-1,1440
3.5315520763397217,-1,1440
3.5315539836883545,-1,1440
3.53155517578125,-1,1440
3.5315561294555664,-1,1440
3.531557083129883,-1,1440
3.5315589904785156,-1,1440
3.531560182571411,-1,1440
3.5315611362457275,-1,1440
3.5315630435943604,-1,1188
3.5318970680236816,1,590
3.5451650619506836,-1,66
3.5451669692993164,-1,56
3.5452821254730225,1,590
3.5470941066741943,-1,56
3.553990125656128,-1,1354
3.5540859699249268,1,66
3.57489013671875,-1,1354
3.574892044067383,-1,1354
3.5748941898345947,-1,1354
3.575024127960205,1,66
3.575209140777588,1,66
3.57637619972229,-1,1354
3.5784850120544434,-1,1354
3.5784871578216553,-1,1354
3.5784881114959717,-1,1354
3.5784900188446045,-1,1354
3.578601121902466,1,602
3.5787429809570312,1,66
3.5835351943969727,-1,56
3.592651128768921,-1,1440
3.592764139175415,1,54
3.5944700241088867,-1,1440
3.5944721698760986,-1,1440
3.5944740772247314,-1,1440
3.594475030899048,-1,1440
3.5944759845733643,-1,1440
3.5944771766662598,-1,1440
3.5944790840148926,-1,1440
3.594480037689209,-1,1440
3.5944809913635254,-1,1440
3.594482183456421,-1,1440
3.5944831371307373,-1,1440
3.59448504447937,-1,1440
3.5944859981536865,-1,1440
3.594487190246582,-1,1440
3.594489097595215,-1,1440
3.5944900512695312,-1,1440
3.5949480533599854,1,590
3.6150341033935547,-1,1440
3.615036964416504,-1,1440
3.6152219772338867,1,54
3.6168529987335205,-1,1440
3.6168551445007324,-1,1440
3.616856098175049,-1,1440
3.6168570518493652,-1,1440
3.6168580055236816,-1,1440
3.616859197616577,-1,1440
3.6168601512908936,-1,1440
3.6168620586395264,-1,1440
3.6168630123138428,-1,1440
3.616863965988159,-1,1440
3.6168651580810547,-1,1440
3.616866111755371,-1,1440
3.6168670654296875,-1,1440
3.6168689727783203,-1,1440
3.616870164871216,-1,1440
3.616870164871216,-1,1440
3.6168720722198486,-1,1440
3.616873025894165,-1,1440
3.6168739795684814,-1,1440
3.616875171661377,-1,1440
3.6173741817474365,1,590
3.6179611682891846,-1,1440
3.617962121963501,-1,1440
3.617964029312134,-1,1440
3.61796498298645,-1,1440
3.6179661750793457,-1,1440
3.6180591583251953,1,54
3.6182470321655273,1,54
3.6262409687042236,-1,1440
3.639971971511841,-1,56
3.6438980102539062,-1,318
3.6440160274505615,1,590
3.6536731719970703,-1,1354
3.6538171768188477,1,66
3.653992176055908,-1,1354
3.653994083404541,-1,1354
3.6539950370788574,-1,1354
3.653995990753174,-1,1354
3.6539971828460693,-1,1354
3.6539981365203857,-1,1354
3.6540989875793457,1,66
3.654236078262329,1,66
3.654370069503784,-1,1354
3.654371976852417,-1,1354
3.6543731689453125,-1,1354
3.654374122619629,-1,1354
3.6543750762939453,-1,1354
3.6543760299682617,-1,1354
3.6544241905212402,-1,1354
3.6544251441955566,-1,1354
3.654426097869873,-1,1354
3.6544840335845947,1,602
3.654538154602051,1,66
3.6545569896698,1,66
3.6545960903167725,1,66
3.654637098312378,-1,1354
3.6546380519866943,-1,1354
3.6547000408172607,1,66
3.6548941135406494,1,66
3.66523814201355,-1,1440
3.665369987487793,1,590
3.6694440841674805,-1,1440
3.6695921421051025,1,54
3.671403169631958,-1,1440
3.6714060306549072,-1,1440
3.671408176422119,-1,1440
3.6714091300964355,-1,1440
3.671410083770752,-1,1440
3.6714119911193848,-1,1440
3.6714131832122803,-1,1440
3.671415090560913,-1,1440
3.6714160442352295,-1,1440
3.6714181900024414,-1,1440
3.671419143676758,-1,1440
3.6714210510253906,-1,1440
3.671422004699707,-1,1440
3.6714231967926025,-1,1440
3.671424150466919,-1,1440
3.6714260578155518,-1,1440
3.671427011489868,-1,1440
3.671977996826172,1,1126
3.690941095352173,-1,1440
3.690944194793701,-1,1440
3.6909451484680176,-1,1440
3.6911940574645996,1,54
3.6961491107940674,-1,264
3.696269989013672,1,66
3.6981639862060547,-1,1440
3.6981661319732666,-1,1440
3.698451042175293,-1,1440
3.698453187942505,-1,1440
3.6984541416168213,-1,1440
3.6991171836853027,1,54
3.7004141807556152,1,1440
3.700486183166504,1,254
3.7014451026916504,-1,1440
3.7014482021331787,-1,1440
3.701449155807495,-1,1440
3.7014501094818115,-1,1440
3.7014520168304443,-1,1440
3.7014529705047607,-1,1440
3.7014541625976562,-1,1440
3.7014551162719727,-1,1440
3.701456069946289,-1,1440
3.701457977294922,-1,1440
3.7014591693878174,-1,1440
3.701460123062134,-1,1440
3.70146107673645,-1,1440
3.7014620304107666,-1,1440
3.701462984085083,-1,1440
3.7017910480499268,1,590
3.702125072479248,-1,1440
3.7021260261535645,-1,1440
3.702224016189575,1,54
3.7023890018463135,-1,1440
3.704430103302002,-1,1354
3.704710006713867,-1,1354
