delta_time,direction,length
0.0,1,590
0.20219707489013672,-1,56
3.990821123123169,-1,590
4.046895980834961,1,54
4.298959016799927,0,590
4.350283145904541,0,54
5.496860027313232,0,590
5.510096073150635,0,56
5.707809209823608,1,590
5.707903146743774,0,590
5.718109130859375,0,590
5.718231201171875,0,54
5.721746206283569,0,56
5.721840143203735,0,1104
5.732288122177124,0,590
5.7748119831085205,0,54
5.775082111358643,0,56
5.775200128555298,0,590
5.789638996124268,0,56
5.806240081787109,-1,590
5.808178186416626,1,590
5.870064973831177,0,1440
5.870786190032959,0,1440
5.870786190032959,0,902
5.870997190475464,0,54
5.944034099578857,-1,56
5.959092140197754,0,590
5.960407972335815,0,590
5.973357200622559,0,56
5.983528137207031,0,1440
5.983528137207031,0,746
5.983814001083374,0,54
6.001438140869141,0,590
6.001725196838379,-1,590
6.005065202713013,1,590
6.054113149642944,0,56
6.114930152893066,0,590
6.117449045181274,0,590
6.129893064498901,0,56
6.1380860805511475,-1,56
6.351473093032837,-1,590
6.352429151535034,0,590
6.392857074737549,1,590
6.3984479904174805,0,54
6.3984761238098145,0,590
6.410340070724487,0,56
6.4906392097473145,-1,590
6.4909679889678955,1,590
6.653902053833008,-1,56
6.6540141105651855,1,590
6.858067989349365,-1,590
6.860270977020264,1,590
7.063220977783203,-1,56
7.063566207885742,-1,590
7.100314140319824,1,590
7.196774005889893,-1,590
7.196915149688721,1,590
7.371641159057617,-1,56
7.37191104888916,1,590
7.575201034545898,-1,590
7.578777074813843,1,590
7.779793977737427,-1,56
7.779793977737427,-1,590
7.780066013336182,1,590
7.876521110534668,-1,590
7.8768470287323,1,590
7.99723219871521,0,590
8.011160135269165,-1,56
8.011289119720459,1,590
8.011718034744263,0,56
8.01184606552124,0,1104
8.02389407157898,0,56
8.189119100570679,0,590
8.189465045928955,-1,590
8.191385984420776,1,590
8.20420217514038,0,590
8.21616506576538,0,56
8.237608194351196,0,590
8.263569116592407,0,1440
8.263846158981323,0,54
8.275840044021606,0,232
8.278521060943604,0,590
8.325618028640747,-1,56
8.33109998703003,0,56
8.366653203964233,-1,590
8.368084192276001,1,590
8.392261028289795,0,590
8.405363082885742,0,56
8.502077102661133,-1,56
8.52666711807251,0,590
8.530794143676758,0,1104
8.543056011199951,0,56
8.54346513748169,0,590
8.556313037872314,0,56
8.704569101333618,0,1440
8.706456184387207,0,1440
8.706456184387207,0,902
8.706560134887695,0,54
8.779816150665283,0,1440
8.779816150665283,0,746
8.78003215789795,0,54
8.786833047866821,0,590
8.802232027053833,0,56
8.812364101409912,0,1104
8.824602127075195,0,56
8.885683059692383,0,590
8.889518976211548,0,1104
8.902526140213013,0,56
8.971155166625977,0,590
8.971867084503174,0,590
8.983803033828735,0,56
9.059284210205078,0,590
9.115478038787842,0,54
9.126659154891968,0,1440
9.126983165740967,0,1440
9.127187013626099,0,54
9.127685070037842,0,902
9.128592014312744,0,590
9.141062021255493,0,56
9.145477056503296,0,1440
9.145909070968628,0,746
9.146208047866821,0,54
9.16035509109497,0,590
9.17141604423523,0,1440
