delta_time,direction,length
0.0,-1,590
0.05141115188598633,1,54
1.6083800792694092,1,590
1.7429170608520508,-1,56
2.08854603767395,1,590
2.184373140335083,-1,590
2.186244010925293,1,590
2.3203439712524414,-1,56
2.32839298248291,1,590
2.3308169841766357,-1,590
2.3308870792388916,1,54
2.462128162384033,-1,56
2.4623591899871826,1,590
2.5103981494903564,-1,590
2.550924062728882,1,54
2.5967090129852295,-1,56
2.596928119659424,1,1104
2.6485300064086914,-1,590
2.6904561519622803,-1,56
2.6948070526123047,1,54
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,590
2.7479021549224854,-1,372
2.7479021549224854,-1,590
2.7479021549224854,-1,118
2.7486441135406494,1,54
2.758193016052246,-1,590
2.758193016052246,-1,568
2.758545160293579,1,54
2.7812681198120117,1,590
2.916020154953003,-1,56
2.916666030883789,-1,590
2.917426109313965,1,590
3.052011013031006,-1,56
3.059429168701172,-1,590
3.059429168701172,-1,568
3.059784173965454,1,54
3.091560125350952,1,590
3.0916810035705566,1,590
3.186622142791748,-1,590
3.186784029006958,1,1126
3.2093780040740967,-1,590
3.210782051086426,1,590
3.280050039291382,-1,56
3.2801380157470703,1,590
3.3421239852905273,-1,590
3.3467721939086914,-1,590
3.349910020828247,1,590
3.3717081546783447,-1,590
3.3717081546783447,-1,590
3.3717081546783447,-1,546
3.3718411922454834,1,590
3.3860061168670654,-1,590
3.386139154434204,1,590
3.4794111251831055,-1,56
3.479572057723999,1,1126
3.498075008392334,-1,56
3.520271062850952,-1,590
3.5209341049194336,1,590
3.5727150440216064,-1,56
3.625807046890259,-1,590
3.6267640590667725,1,590
3.634247064590454,-1,590
3.634395122528076,1,54
3.66841197013855,-1,56
3.7032630443573,-1,590
3.7040770053863525,1,590
3.762155055999756,-1,56
3.762371063232422,1,1104
3.8252100944519043,-1,590
3.8562309741973877,-1,56
3.856456995010376,1,590
3.8586370944976807,-1,56
3.911431074142456,-1,590
3.911431074142456,-1,590
3.911431074142456,-1,590
3.911431074142456,-1,590
3.911431074142456,-1,590
3.911431074142456,-1,590
3.911431074142456,-1,458
3.9119791984558105,1,54
3.9266910552978516,-1,590
3.9266910552978516,-1,590
3.9266910552978516,-1,590
3.9266910552978516,-1,524
3.9271609783172607,1,54
3.9428670406341553,1,1436
3.9428670406341553,1,280
3.990591049194336,-1,56
4.03839111328125,-1,66
4.03839111328125,-1,56
4.078706979751587,-1,590
4.080366134643555,1,590
4.1284260749816895,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,590
4.163525104522705,-1,458
4.164060115814209,1,54
4.180065155029297,-1,590
4.180065155029297,-1,590
4.180065155029297,-1,590
4.180065155029297,-1,524
4.180195093154907,1,590
4.186333179473877,-1,590
4.186333179473877,-1,590
4.186333179473877,-1,590
4.186333179473877,-1,590
4.186333179473877,-1,590
4.186333179473877,-1,590
4.186333179473877,-1,458
4.186505079269409,1,54
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,590
4.202444076538086,-1,372
4.20261812210083,1,54
4.205255031585693,-1,590
4.205255031585693,-1,590
4.205255031585693,-1,590
4.205255031585693,-1,590
4.205255031585693,-1,590
4.205255031585693,-1,590
4.205255031585693,-1,544
4.205428123474121,1,54
4.212346076965332,1,1436
4.212346076965332,1,280
4.228268146514893,1,1436
4.228268146514893,1,750
4.24324107170105,-1,1436
4.24324107170105,-1,1436
4.24324107170105,-1,910
4.243467092514038,1,54
4.24792218208313,-1,1436
4.24792218208313,-1,1436
4.24792218208313,-1,1360
4.248114109039307,1,54
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.2581400871276855,-1,590
4.258332967758179,1,54
4.2606730461120605,-1,1436
4.2606730461120605,-1,1436
4.2606730461120605,-1,1436
4.2606730461120605,-1,64
4.260899066925049,1,54
4.266501188278198,-1,1436
4.273276090621948,-1,590
4.273388147354126,1,54
4.274032115936279,-1,590
4.274032115936279,-1,590
4.274032115936279,-1,590
4.274032115936279,-1,590
4.274032115936279,-1,590
4.274121999740601,1,54
4.279713153839111,-1,590
4.2798171043396,1,54
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.279957056045532,-1,590
4.280071020126343,1,54
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297775030136108,-1,590
4.297948122024536,1,54
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299513101577759,-1,590
4.299650192260742,1,590
4.3062920570373535,-1,558
4.3062920570373535,-1,56
4.307871103286743,1,54
4.321949005126953,-1,56
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352732181549072,-1,590
4.352922201156616,1,54
4.360465049743652,-1,1436
4.360465049743652,-1,1436
4.360465049743652,-1,1436
4.360465049743652,-1,1436
4.360465049743652,-1,1436
4.360605001449585,1,54
4.360795974731445,1,590
4.36467719078064,-1,1436
4.36467719078064,-1,1436
4.36467719078064,-1,1436
4.36467719078064,-1,1436
4.36477518081665,1,54
4.366322040557861,-1,590
4.366322040557861,-1,590
4.366387128829956,1,590
4.366950035095215,-1,590
4.366950035095215,-1,590
4.366950035095215,-1,590
4.366950035095215,-1,70
4.367027997970581,1,54
4.37034797668457,-1,590
4.37034797668457,-1,590
4.37034797668457,-1,590
4.370465040206909,1,54
4.371385097503662,1,1436
4.371385097503662,1,1436
4.371385097503662,1,1360
4.373037099838257,-1,590
4.373037099838257,-1,590
4.373037099838257,-1,590
4.373037099838257,-1,458
4.373116970062256,1,140
4.375737190246582,-1,1436
4.375737190246582,-1,1436
4.375737190246582,-1,1436
4.375737190246582,-1,1436
4.375737190246582,-1,1436
4.375737190246582,-1,1436
4.37588906288147,1,54
4.424791097640991,-1,1436
4.424791097640991,-1,1436
4.425106048583984,1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,372
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,590
4.426877021789551,-1,372
4.427361965179443,1,54
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,590
4.429574966430664,-1,72
4.429830074310303,1,54
4.434051036834717,-1,590
4.434051036834717,-1,590
4.434051036834717,-1,546
4.434242010116577,1,54
4.436565160751343,-1,590
4.436565160751343,-1,590
4.436565160751343,-1,590
4.436565160751343,-1,590
4.436565160751343,-1,590
4.436565160751343,-1,590
4.4368040561676025,1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446463108062744,-1,590
4.446846008300781,1,54
4.45973014831543,-1,590
4.45973014831543,-1,590
4.45973014831543,-1,590
4.45973014831543,-1,590
4.459939002990723,1,54
4.460080146789551,-1,590
4.460080146789551,-1,590
4.460080146789551,-1,590
4.460080146789551,-1,590
4.460080146789551,-1,590
4.460080146789551,-1,590
4.460308074951172,1,54
4.463900089263916,-1,590
4.463900089263916,-1,590
4.463900089263916,-1,590
4.463900089263916,-1,590
4.463900089263916,-1,590
4.464117050170898,1,54
4.464804172515869,-1,68
4.464804172515869,-1,56
4.464954137802124,1,590
4.466364145278931,-1,590
4.466364145278931,-1,590
4.466364145278931,-1,590
4.466364145278931,-1,590
4.466364145278931,-1,590
4.466617107391357,1,54
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476603031158447,-1,1436
4.476927042007446,1,54
4.479479074478149,-1,1436
4.479479074478149,-1,1436
4.479479074478149,-1,1436
4.479479074478149,-1,1436
4.479479074478149,-1,1436
4.479479074478149,-1,1436
4.479727029800415,1,54
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.490913152694702,-1,1436
4.491250038146973,1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.520765066146851,-1,590
4.521113157272339,1,1126
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.523128032684326,-1,590
4.5232579708099365,1,54
4.527450084686279,-1,590
4.527450084686279,-1,590
4.527450084686279,-1,590
4.527450084686279,-1,590
4.527450084686279,-1,590
4.527538061141968,1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.529952049255371,-1,590
4.530059099197388,1,54
4.540122985839844,-1,1436
4.540122985839844,-1,1436
4.540122985839844,-1,1436
4.540122985839844,-1,1436
4.540241003036499,1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541179180145264,-1,590
4.541376113891602,1,54
4.547960996627808,1,1436
4.547960996627808,1,258
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.554887056350708,-1,590
4.555121183395386,1,54
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559282064437866,-1,590
4.559452056884766,1,54
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559554100036621,-1,590
4.559697151184082,1,54
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.591998100280762,-1,1436
4.592287063598633,1,54
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595365047454834,-1,1436
4.595693111419678,1,590
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606449127197266,-1,1436
4.606638193130493,1,54
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.614811182022095,-1,590
4.615100145339966,1,54
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616706132888794,-1,590
4.616839170455933,1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.620957136154175,-1,590
4.621062994003296,1,54
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.623332977294922,-1,590
4.62349796295166,1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.6361401081085205,-1,590
4.637042999267578,1,54
4.643083095550537,-1,560
4.643392086029053,1,54
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.651254177093506,-1,590
4.652255058288574,1,54
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.653470993041992,-1,590
4.6543450355529785,1,590
4.6558921337127686,-1,1436
4.6558921337127686,-1,1436
4.6558921337127686,-1,1436
4.6558921337127686,-1,1436
4.6558921337127686,-1,1436
4.6558921337127686,-1,1436
4.656363010406494,1,590
4.658401012420654,1,1436
4.658401012420654,1,258
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.707471132278442,-1,1436
4.708250045776367,1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.714743137359619,-1,590
4.716416120529175,1,54
4.716668128967285,-1,590
4.716668128967285,-1,590
4.7168660163879395,1,54
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71697998046875,-1,1436
4.71749210357666,1,590
4.717741966247559,-1,590
4.717741966247559,-1,590
4.717741966247559,-1,590
