delta_time,direction,length
0.0,-1,602
0.0001862049102783203,1,66
1.9940440654754639,1,602
2.1190221309661865,-1,66
2.5598790645599365,-1,602
2.5600740909576416,1,66
2.563214063644409,1,1116
2.6511590480804443,1,602
2.6854782104492188,-1,66
2.685624122619629,1,602
2.767552137374878,-1,66
2.7733020782470703,-1,602
2.7734169960021973,1,66
2.7748050689697266,1,602
2.782602071762085,-1,1440
2.7826859951019287,1,66
2.782958984375,-1,1440
2.7830071449279785,1,66
2.7834041118621826,-1,938
2.783447027206421,1,66
2.8064770698547363,-1,66
2.819265127182007,-1,1440
2.81938099861145,1,66
2.8201839923858643,-1,1440
2.8201851844787598,-1,1440
2.8202521800994873,1,66
2.8202731609344482,1,602
2.8203442096710205,1,66
2.9061341285705566,-1,100
2.9062721729278564,1,66
2.9081830978393555,-1,602
2.90828013420105,1,66
2.909917116165161,1,602
2.984239101409912,-1,66
2.9843950271606445,1,602
3.0643980503082275,-1,602
3.0645720958709717,1,66
3.066457986831665,-1,602
3.0665600299835205,1,66
3.0675430297851562,1,602
3.1073110103607178,-1,66
3.10752010345459,1,602
3.1971821784973145,-1,602
3.197376012802124,1,66
3.224487066268921,-1,66
3.230081081390381,-1,66
3.2302191257476807,1,602
3.2303590774536133,-1,602
3.2304141521453857,1,66
3.230772018432617,1,602
3.347568988800049,-1,66
3.351379156112671,-1,66
3.412093162536621,-1,1116
3.412285089492798,1,66
3.4158480167388916,-1,1116
3.4159350395202637,1,66
3.41892409324646,1,602
3.536947011947632,-1,602
3.5371060371398926,1,602
3.5408542156219482,-1,66
3.659940004348755,-1,602
3.6601321697235107,1,602
3.7479681968688965,-1,1440
3.7481231689453125,1,602
3.783468008041382,-1,1306
3.7836501598358154,1,66
3.904165029525757,-1,66
3.904280185699463,1,1138
4.00580620765686,-1,602
4.005978107452393,1,66
4.068263053894043,-1,66
4.068425178527832,1,602
4.128897190093994,-1,602
4.1290740966796875,1,66
4.189388036727905,-1,66
4.189576148986816,1,1116
4.312371015548706,-1,66
4.3632941246032715,-1,1440
4.363486051559448,1,66
4.363620042800903,-1,1440
4.363866090774536,1,66
4.3651111125946045,-1,938
4.365225076675415,1,66
4.400263071060181,-1,1440
4.400266170501709,-1,1440
4.400560140609741,1,66
4.486067056655884,-1,938
4.486329078674316,1,66
4.4866721630096436,1,602
4.609230041503906,-1,66
4.60929012298584,1,1138
4.730323076248169,-1,66
4.789003133773804,-1,1116
4.789152145385742,1,66
4.789947032928467,1,602
4.900621175765991,-1,1440
4.900804042816162,1,66
4.900937080383301,-1,1440
4.900999069213867,1,66
4.901097059249878,1,66
4.902223110198975,-1,1440
4.902268171310425,1,66
4.906063079833984,-1,100
4.9061360359191895,1,66
4.91193699836731,-1,66
4.9471821784973145,-1,1440
4.947249174118042,1,66
4.961806058883667,-1,1440
4.9618752002716064,1,66
4.9621641635894775,-1,1440
4.9622180461883545,1,66
4.9627649784088135,-1,938
4.962802171707153,1,66
4.966437101364136,-1,1440
4.966492176055908,1,66
4.966783046722412,-1,1440
4.966804027557373,1,66
4.967097997665405,-1,1440
4.967112064361572,1,66
4.972675085067749,1,602
4.974367141723633,1,1254
4.974379062652588,1,956
4.98247504234314,-1,1440
4.982982158660889,-1,1440
4.982983112335205,-1,1440
4.9829840660095215,-1,1440
4.983042001724243,1,66
4.984508037567139,-1,1440
4.9898741245269775,-1,1440
4.989938020706177,1,66
4.990189075469971,-1,1440
4.990215063095093,1,66
4.997192144393921,-1,1440
4.997298002243042,1,66
4.99803900718689,-1,1440
4.998104095458984,1,66
5.017292022705078,-1,1440
5.017404079437256,1,66
5.017664194107056,-1,1440
5.017665147781372,-1,1440
5.0177412033081055,1,66
5.021425008773804,-1,1174
5.021489143371582,1,66
5.021543979644775,1,602
5.02980899810791,-1,1440
5.030549049377441,-1,1440
5.030645132064819,1,66
5.031193017959595,-1,1440
5.0526649951934814,-1,1440
5.0528481006622314,1,66
5.062406063079834,-1,1440
5.064291000366211,-1,1440
5.0643510818481445,1,66
5.08145809173584,-1,1440
5.081787109375,-1,1440
5.081888198852539,1,66
5.082250118255615,-1,1440
5.08254599571228,-1,1440
5.0826311111450195,1,66
5.0830700397491455,-1,1440
5.083808183670044,-1,1440
5.084477186203003,-1,1440
5.084478139877319,-1,1440
5.084479093551636,-1,1440
5.084480047225952,-1,1440
5.0844810009002686,-1,1440
5.084583044052124,1,66
5.095524072647095,-1,66
5.095638036727905,1,602
5.09934401512146,-1,1440
5.099445104598999,1,66
5.103598117828369,-1,1440
5.103665113449097,1,66
5.103984117507935,-1,1440
5.103986024856567,-1,1440
5.104084014892578,1,66
5.104366064071655,-1,1388
5.10444712638855,1,66
5.105077028274536,-1,1440
5.105401039123535,-1,1440
5.1054441928863525,1,602
5.129883050918579,-1,1440
5.130725145339966,-1,1440
5.130792140960693,1,66
5.132656097412109,-1,1440
5.133045196533203,-1,1440
5.133133172988892,1,66
5.133477210998535,-1,1440
5.133793115615845,-1,1440
5.133864164352417,1,66
5.134721040725708,-1,1440
5.137153148651123,-1,752
5.1371541023254395,-1,66
5.13723611831665,1,66
5.138446092605591,-1,1440
5.1391119956970215,-1,1440
5.13918399810791,1,66
5.146795988082886,1,1254
5.146797180175781,1,1254
5.146798133850098,1,1254
5.146812200546265,1,144
5.158908128738403,-1,1440
5.159243106842041,-1,1440
5.159346103668213,1,602
5.160508155822754,-1,1440
5.168136119842529,-1,1440
5.168137073516846,-1,1440
5.168224096298218,1,66
5.17080020904541,-1,1440
5.184435129165649,-1,1440
5.184532165527344,1,66
5.184802055358887,-1,1440
5.185157060623169,-1,1440
5.185159206390381,-1,1440
5.1852240562438965,1,66
5.18552303314209,-1,1440
5.185525178909302,-1,1440
5.185526132583618,-1,1440
5.185610055923462,1,66
5.186214208602905,-1,1440
5.193895101547241,-1,1440
5.193991184234619,1,602
5.194339036941528,-1,1440
5.19434118270874,-1,1440
