delta_time,direction,length
0.0,-1,590
0.0001480579376220703,1,54
0.06256413459777832,1,602
0.21955108642578125,-1,66
4.813207149505615,-1,602
4.813355207443237,1,66
6.963565111160278,-1,590
6.963730096817017,1,54
8.085177183151245,1,590
8.192288160324097,-1,56
8.231393098831177,-1,590
8.23153305053711,1,54
8.232816219329834,1,1104
8.338776111602783,-1,56
8.386115074157715,-1,1440
8.386117219924927,-1,1440
8.38624119758606,1,54
8.38643217086792,1,54
8.387563228607178,-1,902
8.387649059295654,1,54
8.406410217285156,-1,1440
8.406513214111328,1,54
8.407088041305542,-1,1440
8.40716814994812,1,54
8.495035171508789,-1,902
8.495199203491211,1,54
8.50389814376831,1,590
8.610562086105347,-1,56
8.661057233810425,-1,590
8.661194086074829,1,54
8.661596059799194,1,590
8.768484115600586,-1,56
9.040389060974121,1,602
9.040420055389404,1,590
9.046035051345825,-1,1104
9.046173095703125,1,54
9.151324033737183,-1,56
9.151326179504395,-1,590
9.151486158370972,1,1126
9.174755096435547,-1,602
9.174927234649658,1,66
9.17594313621521,1,602
9.295845031738281,-1,590
9.295994997024536,1,590
9.334882020950317,-1,1440
9.335013151168823,1,590
9.337412118911743,-1,66
9.370206117630005,-1,602
9.37034010887146,1,66
9.371628999710083,1,602
9.401317119598389,-1,768
9.401478052139282,1,54
9.485258102416992,-1,56
9.48537015914917,1,1126
9.506740093231201,-1,590
9.506851196289062,1,54
9.52819299697876,-1,66
9.591334104537964,-1,56
9.591506004333496,1,590
9.60072112083435,-1,602
9.6008620262146,1,66
9.601654052734375,1,602
9.629818201065063,-1,590
9.629953145980835,1,54
9.698448181152344,-1,56
9.69859504699707,1,1104
9.75676417350769,-1,66
9.786058187484741,-1,590
9.786201000213623,1,54
9.803770065307617,-1,56
9.803885221481323,1,1126
9.819220066070557,-1,602
9.819351196289062,1,66
9.819655179977417,1,602
9.848820209503174,-1,1440
9.848949193954468,1,54
9.850426197052002,-1,1440
9.850520133972168,1,54
9.868759155273438,-1,1440
9.868762016296387,-1,1440
9.868880033493042,1,54
9.869064092636108,1,54
9.870177030563354,-1,1440
9.891372203826904,-1,364
9.891538143157959,1,54
9.89715313911438,1,1440
9.89722204208374,1,276
9.911030054092407,-1,56
9.977463006973267,-1,66
9.996974229812622,-1,590
9.997184038162231,1,54
10.002798080444336,-1,56
10.002930164337158,1,590
10.110634088516235,-1,56
10.12064814567566,-1,1440
10.120650053024292,-1,1440
10.120877027511597,1,54
10.121578216552734,-1,1352
10.121581077575684,-1,1440
10.121791124343872,1,54
10.12200403213501,-1,1440
10.122138023376465,1,54
10.122467041015625,1,590
10.137902021408081,-1,1440
10.13790512084961,-1,1440
10.137906074523926,-1,1440
10.137907028198242,-1,1440
10.137988090515137,-1,1440
10.13798999786377,-1,1440
10.138084173202515,1,54
10.139785051345825,-1,1440
10.140281200408936,1,54
10.159403085708618,1,1440
10.159426212310791,1,254
10.160919189453125,1,1440
10.160928010940552,1,746
10.226869106292725,-1,1440
10.228742122650146,-1,1440
10.228743076324463,-1,1440
10.228745222091675,-1,1440
10.228746175765991,-1,1440
10.228748083114624,-1,1440
10.22874903678894,-1,1440
10.228751182556152,-1,1440
10.228752136230469,-1,1440
10.228754043579102,-1,1440
10.228933095932007,1,54
10.243266105651855,-1,1440
10.243340015411377,1,54
10.243540048599243,-1,1440
10.243543148040771,-1,1440
10.243544101715088,-1,1440
10.243545055389404,-1,1440
10.24354600906372,-1,1440
10.243547201156616,-1,1440
10.243549108505249,-1,1440
10.243551015853882,-1,1440
10.243702173233032,1,590
10.245528221130371,-1,638
10.24560809135437,1,54
10.252809047698975,1,1440
10.252812147140503,1,1440
10.252833127975464,1,1438
10.266097068786621,-1,66
10.266099214553833,-1,56
10.266099214553833,-1,56
10.284730195999146,-1,1440
10.284821033477783,1,54
10.286052227020264,-1,1440
10.28605318069458,-1,1440
10.286143064498901,1,590
10.287742137908936,-1,1440
10.287790060043335,1,590
10.31178617477417,-1,1354
10.311788082122803,-1,1354
10.311898231506348,1,66
10.312004089355469,1,66
10.313130140304565,-1,1110
10.313196182250977,1,66
10.319317102432251,-1,1354
10.319319009780884,-1,1354
10.319378137588501,1,66
10.319445133209229,1,66
10.32101821899414,-1,1354
10.321068048477173,1,66
10.333837032318115,-1,1440
10.335853099822998,-1,1440
10.33585500717163,-1,1440
10.335856199264526,-1,1440
10.33585810661316,-1,1440
10.335859060287476,-1,1440
10.335860013961792,-1,1440
10.335861206054688,-1,1440
10.33586311340332,-1,1440
10.335864067077637,-1,1440
10.335866212844849,-1,1440
10.335867166519165,-1,1440
10.335868120193481,-1,1440
10.335869073867798,-1,1440
10.335870027542114,-1,1440
10.335872173309326,-1,1440
10.335873126983643,-1,1440
10.335874080657959,-1,1440
10.335875034332275,-1,1440
10.335877180099487,-1,1440
10.33622407913208,1,590
10.346006155014038,-1,1354
10.346122026443481,1,66
10.346338033676147,-1,1354
10.346403121948242,1,66
10.348341226577759,-1,1440
10.348343133926392,-1,1440
10.348473072052002,1,54
10.349171161651611,-1,1440
10.349173069000244,-1,1440
10.349242210388184,1,590
10.349317073822021,1,54
10.350990056991577,-1,1440
10.350991010665894,-1,1440
10.350992202758789,-1,1440
10.350993156433105,-1,1440
10.350994110107422,-1,1440
10.350995063781738,-1,1440
10.35099720954895,-1,1440
10.350998163223267,-1,1440
10.350999116897583,-1,1440
10.351161003112793,1,54
10.35240912437439,-1,568
10.35253620147705,1,54
10.358295202255249,-1,56
10.364371061325073,-1,1440
10.364373207092285,-1,1440
10.364375114440918,-1,1440
10.364376068115234,-1,1440
10.364546060562134,1,590
10.364812135696411,1,54
10.365915060043335,-1,1440
10.367017030715942,-1,1440
10.367019176483154,-1,1354
10.367125034332275,1,66
10.367159128189087,1,54
10.367977142333984,-1,1354
10.36807918548584,1,66
10.389751195907593,-1,1440
10.39196515083313,-1,1440
10.392136096954346,1,1126
10.393460035324097,-1,1440
10.393461227416992,-1,1440
10.393463134765625,-1,1440
10.393464088439941,-1,1440
10.393465042114258,-1,1440
10.39346718788147,-1,1440
10.393590211868286,1,54
10.393792152404785,1,54
10.434148073196411,-1,1354
10.43415117263794,-1,1354
10.434291124343872,1,66
10.434502124786377,1,66
10.435421228408813,-1,1354
10.435424089431763,-1,1354
10.435425043106079,-1,1354
10.435543060302734,1,66
10.435686111450195,1,66
10.435861110687256,1,602
10.440767049789429,-1,1440
10.44076919555664,-1,1440
10.440896034240723,1,590
10.441029071807861,1,54
10.443631172180176,-1,1440
10.443633079528809,-1,1440
10.443634033203125,-1,1440
10.443636178970337,-1,1440
10.443637132644653,-1,1440
10.44363808631897,-1,1440
10.443639039993286,-1,1440
10.443641185760498,-1,1440
10.443642139434814,-1,1440
10.44364309310913,-1,1440
10.443644046783447,-1,1440
10.44364619255066,-1,1440
10.443647146224976,-1,1440
10.443648099899292,-1,1440
10.443649053573608,-1,1440
10.44365119934082,-1,1440
10.443652153015137,-1,1440
10.444317102432251,1,590
10.448459148406982,-1,1440
10.448461055755615,-1,1354
10.448462009429932,-1,1440
10.448463201522827,-1,1354
10.448464155197144,-1,1354
10.44846510887146,-1,1354
10.448466062545776,-1,1354
10.448467016220093,-1,1440
10.448468208312988,-1,1440
10.448470115661621,-1,1440
10.448471069335938,-1,1440
10.448472023010254,-1,1440
10.44847321510315,-1,1440
10.448474168777466,-1,1440
10.448475122451782,-1,1440
10.448477029800415,-1,1440
10.44847822189331,-1,1354
10.448479175567627,-1,1440
10.448575019836426,-1,1440
10.448576211929321,-1,1440
10.448633193969727,1,66
10.448836088180542,1,66
10.448967218399048,1,590
10.459127187728882,-1,652
10.459243059158325,1,54
10.462592124938965,-1,1440
10.464787006378174,-1,1440
10.464789152145386,-1,1440
10.464790105819702,-1,1440
10.464792013168335,-1,1440
10.46479320526123,-1,1440
10.464794158935547,-1,1440
10.464795112609863,-1,1440
10.46479606628418,-1,1440
10.464798212051392,-1,1440
10.464799165725708,-1,1440
10.46499514579773,1,590
10.468359231948853,-1,1354
10.468481063842773,1,66
10.469845056533813,-1,1354
10.469847202301025,-1,1354
10.469848155975342,-1,1354
10.469956159591675,1,66
10.470099210739136,1,66
10.479621171951294,-1,1440
10.479623079299927,-1,1440
10.479761123657227,1,54
10.479971170425415,1,54
10.481467008590698,-1,1440
10.48146915435791,-1,1440
10.481630086898804,1,590
10.481718063354492,-1,1440
10.481720209121704,-1,1440
10.48172116279602,-1,1440
10.48184609413147,1,54
10.483139038085938,-1,1440
10.48314118385315,-1,1440
10.483142137527466,-1,1440
10.483143091201782,-1,1440
10.483144998550415,-1,1440
10.48314619064331,-1,1440
10.483148097991943,-1,1440
10.48329210281372,1,54
10.483351230621338,1,1440
10.489185094833374,-1,1354
10.489188194274902,-1,1354
10.489311218261719,1,66
10.489540100097656,1,66
10.491130113601685,-1,1354
10.499764204025269,-1,1440
10.499766111373901,-1,1440
10.499768018722534,-1,1440
10.499820232391357,-1,1440
10.499821186065674,-1,1440
10.49989914894104,1,54
10.500088214874268,1,54
10.500301122665405,1,590
10.500730037689209,-1,1440
10.502853155136108,-1,1440
10.503048181533813,1,54
10.50317120552063,-1,1440
10.503174066543579,-1,1440
10.503308057785034,1,54
10.518530130386353,-1,1440
10.518532037734985,-1,1440
10.518588066101074,-1,1440
10.51858901977539,-1,1440
10.518591165542603,-1,1440
10.518704175949097,-1,1440
10.51870608329773,-1,1440
10.518707036972046,-1,1440
10.51875901222229,1,54
10.518846035003662,1,54
10.520710229873657,-1,1440
10.52071213722229,-1,1440
10.520713090896606,-1,1440
10.520714044570923,-1,1440
10.520716190338135,-1,1440
10.520717144012451,-1,1440
10.520876169204712,1,590
10.536055088043213,-1,1440
10.537696123123169,-1,1440
10.537699222564697,-1,1440
10.53770112991333,-1,1440
10.537702083587646,-1,1440
10.537703037261963,-1,1440
10.537705183029175,-1,1440
10.537706136703491,-1,1440
10.537707090377808,-1,1440
10.537708044052124,-1,1440
10.537710189819336,-1,1440
10.537711143493652,-1,1440
10.537712097167969,-1,1440
10.538170099258423,1,1126
10.540560007095337,-1,1440
10.540667057037354,1,54
