delta_time,direction,length
0.0,1,590
0.14792108535766602,-1,56
4.361620903015137,1,590
4.496527910232544,-1,56
4.519763946533203,-1,590
4.521106004714966,1,1104
4.5694990158081055,1,54
4.614614009857178,-1,56
4.810561895370483,-1,1436
4.810561895370483,-1,1436
4.810561895370483,-1,910
4.8106770515441895,1,54
4.847991943359375,-1,1436
4.847991943359375,-1,772
4.848098039627075,1,54
4.853803873062134,1,590
4.987155914306641,-1,56
5.046313047409058,1,590
5.046443939208984,1,590
5.095753908157349,-1,590
5.136729001998901,1,54
5.141530990600586,-1,590
5.1416120529174805,1,590
5.198515892028809,-1,590
5.199091911315918,1,590
5.2767510414123535,-1,56
5.276821851730347,1,590
5.334334850311279,-1,1104
5.38499903678894,-1,590
5.385097980499268,1,1126
5.389028072357178,1,54
5.478389024734497,-1,56
5.478460073471069,1,590
5.504894971847534,-1,590
5.505701065063477,1,590
5.6048688888549805,-1,590
5.605525016784668,1,590
5.62023401260376,-1,590
5.6338300704956055,-1,1436
5.6338300704956055,-1,1436
5.6338300704956055,-1,1436
5.6338300704956055,-1,64
5.633949041366577,1,54
5.648038864135742,-1,1436
5.648169040679932,1,54
5.649839878082275,-1,1436
5.649839878082275,-1,910
5.649954080581665,1,54
5.6767799854278564,-1,1436
5.6767799854278564,-1,1436
5.6767799854278564,-1,1436
5.6767799854278564,-1,578
5.67693305015564,1,54
5.677120923995972,1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,372
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681037902832031,-1,590
5.681340932846069,1,590
5.6878838539123535,-1,1436
5.6878838539123535,-1,1436
5.6878838539123535,-1,1360
5.688024997711182,1,54
5.693760871887207,-1,1436
5.693760871887207,-1,1436
5.693760871887207,-1,482
5.693892002105713,1,54
5.700069904327393,-1,590
5.700069904327393,-1,590
5.700154066085815,1,54
5.701228857040405,-1,1436
5.7013139724731445,1,54
5.706003904342651,1,1436
5.706003904342651,1,1436
5.706003904342651,1,1436
5.706003904342651,1,64
5.749145984649658,-1,1436
5.749145984649658,-1,1436
5.749145984649658,-1,1436
5.749145984649658,-1,1436
5.749145984649658,-1,1436
5.749399900436401,1,54
5.762902021408081,-1,1436
5.762902021408081,-1,1436
5.763020038604736,1,590
5.764570951461792,-1,1436
5.764646053314209,1,54
5.764922857284546,-1,1436
5.764922857284546,-1,1436
5.764986991882324,1,54
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.774811029434204,-1,590
5.775022029876709,1,54
5.793102979660034,-1,1436
5.793102979660034,-1,1436
5.793102979660034,-1,1436
5.793102979660034,-1,1436
5.793102979660034,-1,1436
5.793102979660034,-1,1436
5.793248891830444,1,1126
5.7945239543914795,-1,590
5.7945239543914795,-1,590
5.7945239543914795,-1,590
5.7945239543914795,-1,590
5.794609069824219,1,54
5.79919695854187,-1,56
5.79919695854187,-1,66
5.79919695854187,-1,56
5.80339503288269,-1,1436
5.80339503288269,-1,1436
5.80339503288269,-1,1436
5.80339503288269,-1,1436
5.80339503288269,-1,1436
5.803509950637817,1,590
5.808522939682007,-1,1436
5.808522939682007,-1,1436
5.808522939682007,-1,1436
5.808522939682007,-1,1436
5.8086700439453125,1,54
5.81641697883606,-1,1436
5.81641697883606,-1,592
5.816534042358398,1,54
5.832231044769287,1,1436
5.832231044769287,1,1436
5.832231044769287,1,1360
5.8323869705200195,1,1436
5.8323869705200195,1,814
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.868278980255127,-1,590
5.86852502822876,1,54
5.887630939483643,-1,590
5.887630939483643,-1,590
5.887630939483643,-1,590
5.887630939483643,-1,590
