delta_time,direction,length
0.0,1,602
0.12543010711669922,-1,66
1.655505895614624,1,602
1.771665096282959,-1,66
3.340179920196533,1,602
3.4650540351867676,-1,66
3.5987401008605957,-1,1440
3.5989179611206055,1,66
3.5990500450134277,-1,1440
3.5991458892822266,1,66
3.5995070934295654,-1,1388
3.5995090007781982,-1,1440
3.5995779037475586,1,66
3.599670886993408,-1,1440
3.5997259616851807,1,66
3.599752902984619,1,66
3.6069540977478027,-1,1440
3.607090950012207,1,66
3.6072659492492676,-1,1440
3.6073389053344727,1,66
3.607728958129883,-1,1440
3.6077709197998047,1,66
3.6297199726104736,-1,1440
3.62984299659729,1,66
3.630086898803711,1,602
3.6310229301452637,-1,1440
3.631087064743042,1,66
3.647665023803711,1,602
3.649388074874878,1,1440
3.6494030952453613,1,256
3.7134110927581787,-1,1440
3.7135090827941895,1,66
3.7141408920288086,-1,1440
3.7142069339752197,1,66
3.7147269248962402,-1,1440
3.7147278785705566,-1,1440
3.7147819995880127,1,66
3.714833974838257,1,66
3.7159080505371094,-1,1440
3.715909957885742,-1,1440
3.7159109115600586,-1,1440
3.715912103652954,-1,1440
3.7159130573272705,-1,1440
3.715914011001587,-1,916
3.715965986251831,1,66
3.716059923171997,1,66
3.7214019298553467,-1,1440
3.7215139865875244,1,66
3.7228310108184814,-1,1440
3.7228329181671143,-1,1440
3.7228970527648926,1,66
3.722990036010742,1,66
3.7237720489501953,-1,1440
3.7237730026245117,-1,1440
3.723773956298828,-1,1440
3.7238149642944336,1,602
3.7238729000091553,1,66
3.7441189289093018,-1,1440
3.744119882583618,-1,1440
3.7442209720611572,1,66
3.7452280521392822,-1,66
3.7459189891815186,-1,1440
3.7465620040893555,-1,1440
3.7465999126434326,1,66
3.7697129249572754,-1,66
3.7706918716430664,-1,78
3.7706918716430664,-1,66
3.8280670642852783,-1,1440
3.8283820152282715,-1,1440
3.828489065170288,1,66
3.8303639888763428,-1,1440
3.8311309814453125,-1,1440
3.8311328887939453,-1,1440
3.831217050552368,1,66
3.832365036010742,-1,1440
3.8323659896850586,-1,1440
3.8323678970336914,-1,1440
3.8323709964752197,-1,1440
3.8323729038238525,-1,1440
3.832374095916748,-1,1440
3.832376003265381,-1,1440
3.8323779106140137,-1,1440
3.8323800563812256,-1,1440
3.8323819637298584,-1,1440
3.8323841094970703,-1,1440
3.832386016845703,-1,1440
3.832387924194336,-1,1440
3.8323888778686523,-1,1440
3.8323910236358643,-1,1440
3.832674026489258,1,1138
3.836421012878418,-1,1440
3.8370840549468994,-1,1440
3.837085008621216,-1,1440
3.83713698387146,1,66
3.8375110626220703,-1,1440
3.8375110626220703,-1,1440
3.837559938430786,1,66
3.8382740020751953,-1,1440
3.8383469581604004,1,66
3.838881015777588,-1,1440
3.8389499187469482,1,66
3.8396570682525635,-1,1440
3.8396589756011963,-1,1440
3.8396599292755127,-1,1440
3.8396620750427246,-1,1440
3.8397340774536133,1,66
3.8399980068206787,-1,1440
3.8400468826293945,1,602
3.843790054321289,1,602
3.8451790809631348,1,1440
3.845180034637451,1,1440
3.845189094543457,1,1388
