delta_time,direction,length
0.0,-1,602
0.00017595291137695312,1,66
0.0011508464813232422,1,602
0.1472158432006836,-1,66
0.17394685745239258,-1,602
0.17404389381408691,1,66
2.2507810592651367,-1,602
2.2509329319000244,1,66
3.367581844329834,1,590
3.4237399101257324,1,602
3.4793128967285156,-1,56
3.479459047317505,1,590
3.539909839630127,-1,602
3.5400638580322266,1,66
3.5407960414886475,1,602
3.5440280437469482,-1,590
3.5441439151763916,1,54
3.587193012237549,-1,56
3.5873630046844482,1,1104
3.652111053466797,-1,590
3.6523149013519287,1,54
3.6869208812713623,-1,66
3.6953020095825195,-1,56
3.695452928543091,1,590
3.7225279808044434,-1,602
3.7226719856262207,1,66
3.7240378856658936,1,602
3.7691738605499268,-1,1440
3.769227981567383,-1,1440
3.7693169116973877,1,54
3.7694289684295654,1,54
3.7695329189300537,1,54
3.770009994506836,-1,902
3.770108938217163,1,54
3.7883830070495605,-1,1440
3.7885138988494873,1,54
3.8035240173339844,-1,56
3.805166006088257,-1,1440
3.8052680492401123,1,54
3.8769638538360596,-1,66
3.8781449794769287,-1,924
3.878274917602539,1,54
3.885298013687134,1,590
3.9313619136810303,-1,602
3.9314990043640137,1,66
3.9323959350585938,1,602
4.03377890586853,-1,56
4.0532310009002686,-1,590
4.053360939025879,1,54
4.054358959197998,1,590
4.086906909942627,-1,66
4.142536878585815,-1,602
4.142673015594482,1,66
4.1430559158325195,1,602
4.162567853927612,-1,56
4.253115892410278,-1,1104
4.253257989883423,1,54
4.256208896636963,1,590
4.296769857406616,-1,66
4.364268064498901,-1,56
4.364404916763306,1,590
4.426321029663086,-1,590
4.426446914672852,1,54
4.472545862197876,-1,56
4.472683906555176,1,1126
4.5378758907318115,-1,590
4.5380120277404785,1,54
4.580844879150391,-1,56
4.601486921310425,-1,1440
4.601538896560669,-1,1440
4.601629018783569,1,54
4.601776838302612,1,54
4.601887941360474,1,54
4.602792024612427,1,590
4.622725963592529,-1,1440
4.622729063034058,-1,1440
4.622730016708374,-1,1440
4.62273097038269,-1,1440
4.622732877731323,-1,1440
4.622865915298462,1,54
4.623096942901611,1,54
4.624176979064941,-1,1440
4.624178886413574,-1,1440
4.624320983886719,1,590
4.6244988441467285,1,54
4.645827054977417,-1,1440
4.64582896232605,-1,1440
4.646004915237427,1,54
4.673217058181763,1,1440
4.673218011856079,1,1440
4.67323899269104,1,1438
4.680474042892456,-1,1354
4.6804749965667725,-1,1354
4.6804749965667725,-1,1110
4.6805260181427,1,66
4.680578947067261,1,66
4.682453870773315,-1,1354
4.682455062866211,-1,1354
4.682492971420288,1,66
4.682538032531738,1,66
4.684212923049927,-1,1354
4.684231996536255,1,66
4.684952974319458,-1,1354
4.684953927993774,-1,1354
4.684983015060425,1,66
4.685013055801392,1,66
4.709872007369995,-1,1440
4.709873914718628,-1,1440
4.70987606048584,-1,1440
4.709877014160156,-1,1440
4.7100348472595215,1,54
4.730758905410767,-1,1440
4.7307610511779785,-1,1440
4.730902910232544,-1,1440
4.730905055999756,-1,1440
4.730906009674072,-1,1440
4.730907917022705,-1,1440
4.7309088706970215,-1,1440
4.730911016464233,-1,1440
4.730959892272949,1,54
4.731004953384399,-1,1440
4.731006860733032,-1,1440
4.731029987335205,1,54
4.731071949005127,1,590
4.732676029205322,-1,1440
4.732676982879639,-1,1440
4.73272705078125,1,54
4.732763051986694,1,54
4.733446836471558,-1,1440
4.7334489822387695,-1,1440
4.733527898788452,1,54
4.7437849044799805,-1,1354
4.743785858154297,-1,1354
4.743835926055908,1,66
4.743907928466797,1,66
4.754202842712402,-1,1440
4.754204988479614,-1,1440
4.754299879074097,1,54
4.754549980163574,-1,1440
4.754551887512207,-1,1440
4.754628896713257,1,590
4.761261940002441,1,1440
4.761263847351074,1,1440
4.761282920837402,1,410
4.781467914581299,-1,56
4.794997930526733,-1,1354
4.79499888420105,-1,1354
4.794999837875366,-1,1354
4.795001029968262,-1,1354
4.795071840286255,1,66
4.79511284828186,-1,1354
4.795114040374756,-1,1354
4.795150995254517,1,66
4.795161962509155,1,66
4.795197010040283,1,602
4.797391891479492,-1,1354
4.797392845153809,-1,1354
4.797392845153809,-1,1354
4.797394037246704,-1,1354
4.797445058822632,1,66
4.797492980957031,1,66
4.798991918563843,-1,1354
4.799031972885132,1,66
4.799543857574463,-1,1354
4.799577951431274,1,66
4.799855947494507,-1,1354
4.799897909164429,1,66
4.802203893661499,-1,1354
4.802206039428711,-1,1354
4.802239894866943,1,66
4.802315950393677,1,66
4.817721843719482,-1,1440
4.817786931991577,1,1104
4.8179709911346436,-1,1440
4.81797194480896,-1,1440
4.817973852157593,-1,1440
4.818053960800171,1,54
4.819370985031128,-1,1440
4.819372892379761,-1,1440
4.819373846054077,-1,1440
4.819375038146973,-1,610
4.819474935531616,1,54
4.825093984603882,1,1440
4.8251049518585205,1,254
4.858921051025391,-1,1354
4.858922958374023,-1,1354
4.859017848968506,1,66
4.859112024307251,1,66
4.859360933303833,-1,1354
4.859361886978149,-1,1354
4.859364032745361,-1,1354
4.8594138622283936,1,66
4.85946798324585,1,66
4.861788034439087,-1,1440
4.861827850341797,1,590
4.8620710372924805,-1,1440
4.862109899520874,1,54
4.862643003463745,-1,1440
4.8626439571380615,-1,1440
4.862644910812378,-1,1440
4.86264705657959,-1,1440
4.862648010253906,-1,1440
4.862648963928223,-1,1440
4.862649917602539,-1,1440
4.862652063369751,-1,1440
4.8627588748931885,1,54
4.86453104019165,-1,1440
4.864531993865967,-1,1440
4.864585876464844,1,54
4.864651918411255,1,54
4.865179061889648,-1,1440
4.865180015563965,-1,1440
4.865181922912598,-1,1440
4.86526083946228,1,54
4.866497039794922,-1,1440
4.866498947143555,-1,1440
4.866499900817871,-1,1440
4.8665008544921875,-1,1440
4.866503000259399,-1,1440
4.866503953933716,-1,1440
4.866598844528198,1,590
4.869039058685303,-1,56
4.877087831497192,-1,1440
4.877089977264404,-1,1440
4.877136945724487,1,54
4.877246856689453,1,54
4.889761924743652,-1,1440
4.891756057739258,-1,1440
4.891757011413574,-1,1440
4.891758918762207,-1,1440
4.891759872436523,-1,1440
4.891761064529419,-1,1440
4.891762018203735,-1,1440
4.891762971878052,-1,1440
4.891764879226685,-1,1440
4.891765832901001,-1,1440
4.8917670249938965,-1,1440
4.891767978668213,-1,1440
4.891904830932617,1,54
4.898015975952148,-1,1440
4.90912389755249,-1,1354
4.911097049713135,-1,1354
4.911098957061768,-1,1354
4.911099910736084,-1,1354
4.9111008644104,-1,1354
4.911102056503296,-1,1354
4.911103963851929,-1,1354
4.911104917526245,-1,1354
4.9111058712005615,-1,1354
4.911107063293457,-1,1354
4.911191940307617,1,602
4.911291837692261,1,66
4.913104057312012,-1,1354
4.9131059646606445,-1,1354
4.9131999015808105,1,602
4.913329839706421,1,66
4.913539886474609,1,1440
4.913564920425415,1,254
4.91520094871521,-1,1354
4.915202856063843,-1,1354
4.915205001831055,-1,1354
4.915205955505371,-1,1354
4.915287017822266,1,66
4.915350914001465,1,66
4.926003932952881,-1,1440
4.926005840301514,-1,1440
4.9260969161987305,1,1104
4.926209926605225,1,54
